col0,col1,col2
1,New York Gothams,San Diego Padres
2,Buccos,Montreal Expos
3,Perfectos,San Diego Padres
4,Cincinnati Reds,Expos
5,New York Mets,San Diego Padres
6,Houston Astros,Montreal Expos
7,Atlanta Braves,SDP
8,Philadelphia Phillies,Expos
9,Chicago Cubs,San Diego Padres
10,Los Angeles Dodgers,Expos
11,Pittsburgh Pirates,Expos
12,St. Louis Cardinals,Padres
13,San Francisco Giants,Expos
14,Cincinnati Reds,Padres
15,Philadelphia Phillies,Montreal Expos
16,New York Mets,SDP
17,Atlanta Braves,Montreal Expos
18,Houston Astros,San Diego Padres
19,Chicago Cubs,Montreal Expos
20,Los Angeles Dodgers,San Diego Padres
21,Pittsburgh Pirates,Expos
22,Chicago Cubs,Padres
23,Philadelphia Phillies,Montreal Expos
24,St. Louis Cardinals,Padres
25,SFG,Montreal Expos
26,New York Mets,San Diego Padres
27,Cincinnati Reds,Montreal Expos
28,Atlanta Braves,San Diego Padres
29,Houston Astros,Expos
30,Los Angeles Dodgers,San Diego Padres
31,SFG,SDP
32,Cincinnati Reds,Expos
33,Houston Astros,SDP
34,Atlanta Braves,Expos
35,Chicago Cubs,San Diego Padres
36,Los Angeles Dodgers,Expos
37,Philadelphia Phillies,San Diego Padres
38,St. Louis Cardinals,Montreal Expos
39,Pittsburgh Pirates,SDP
40,New York Mets,Montreal Expos
41,San Francisco Giants,Expos
42,Houston Astros,San Diego Padres
43,Chicago Cubs,Expos
44,Los Angeles Dodgers,SDP
45,Atlanta Braves,Montreal Expos
46,Cincinnati Reds,San Diego Padres
47,St. Louis Cardinals,Montreal Expos
48,Philadelphia Phillies,San Diego Padres
49,New York Mets,Expos
50,Pirates,San Diego Padres
51,San Francisco Giants,San Diego Padres
52,Los Angeles Dodgers,Montreal Expos
53,Cincinnati Reds,SDP
54,St. Louis Brown Stockings,Expos
55,Alleghenys,San Diego Padres
56,Chicago Cubs,Expos
57,Philadelphia Phillies,San Diego Padres
58,Houston Astros,Expos
59,Atlanta Braves,San Diego Padres
60,New York Mets,Montreal Expos
