col0,col1,col2,col3,col4
AU,New Hollandia,AU,Australia,Australia
"Darwin, Northern Territory",DRW,YPDN,Darwin International Airport,Terminated
Gadi,SYD,YSSY,Sydney Airport,Terminated
Bahrain,Bahrain,مملكة البحرين,Bahrain,bh
Bahrain,BAH,OBBI,Bahrain International Airport,Terminated
Egypt,Egypt,Egypt,Egypt,Egypt
Cairo,CAI,HECA,Cairo International Airport,Terminated
France,France,France,France,France
Paris,CDG,LFPG,Charles de Gaulle Airport,Terminated
India,India,India,India,India
Madras,MAA,VOMM,Chennai International Airport,Terminated
Bombay,BOM,VABB,Sahar International Airport,Terminated
Tiruchirappalli,TRZ,VOTR,Tiruchirappalli International Airport,Terminated
Indonesia,Indonesia,Indonesia,Indonesia,Indonesia
Jakarta,CGK,WIII,Kemayoran Airport,Terminated
Israel,Israel,Israel,Israel,Israel
Tel Aviv,TLV,LLBG,Ben Gurion Airport,Terminated
Italy,Italy,Italy,Italy,Italy
Rome,FCO,LIRF,Leonardo da Vinci-Fiumicino Airport,Terminated
Kuwait,Kuwait,Kuwait,Kuwait,Kuwait
Kuwait City,KWI,OKBK,Kuwait International Airport,Terminated
Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
Kuala Lumpur,KUL,WMKK,Subang International Airport,Terminated
Maldives,Maldives,Maldives,Maldives,Maldives
Malé,MLE,VRMM,Ibrahim Nasir International Airport,Terminated
Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
Amsterdam,AMS,EHAM,Amsterdam Airport Schiphol,Terminated
Pakistan,Pakistan,Pakistan,Pakistan,Pakistan
Karachi,KHI,OPKC,Jinnah International Airport,Terminated
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Ampara,ADP,VCCG,Ampara Airport,Terminated
Batticaloa,BTC,VCCB,Batticaloa Airport,Terminated
Colombo,CMB,VCBI,Bandaranaike International Airport,Terminated
Colombo,RML,VCCC,Ratmalana Airport,Terminated
Jaffna,JAF,VCCJ,Jaffna Airport,Terminated
Trincomalee,TRR,VCCT,China Bay Airport,Terminated
Singapore,Singapore,Singapore,Singapore,Singapore
Singapore,SIN,WSSS,Paya Lebar Airport,Terminated
Thailand,Thailand,Thailand,Thailand,Thailand
Bangkok,BKK,VTBS,Don Muang International Airport,Terminated
United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
London,LHR,EGLL,Heathrow Airport,Terminated
