col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
1984,"Ronald Reagan
(Republican)","Walter Mondale
(Democrat)",True,True,True,True,True,False,True,True,True,True,False,True,True,2,Ronald Wilson Reagan,Ronald Reagan
"United States presidential election, 1988","George H. W. Bush
(Republican)","Michael Dukakis
(Democrat)",True,True,False,True,True,True,False,True,True,True,True,False,True,3,George H W Bush,George H. W. Bush
United States presidential election 1992,"George H. W. Bush
(Republican)","Bill Clinton
(Democrat)",False,True,True,False,False,False,False,True,True,True,True,False,True,6,President Clinton,Bill Clinton
"United States presidential election, 1996","Bill Clinton
(Democrat)","Bob Dole
(Republican)",False,True,True,False,True,True,False,True,True,True,False,False,True,5,Bill Clinton,Bill Clinton
"United States presidential election, 2000","Al Gore
(Democrat)","George W. Bush
(Republican)",True,True,False,True,True,True,False,True,False,True,False,False,True,5,Al Gore Jr.,Bush
2004 US presidential election,"George W. Bush
(Republican)","John Kerry
(Democrat)",True,True,True,True,True,False,False,True,True,False,True,False,True,4,George W. Bush,George W. Bush
United States presidential election of 2008,"John McCain
(Republican)","Barack Obama
(Democrat)",False,True,False,True,False,False,False,True,True,False,False,False,False,9,President Obama,Obama
US Presidential Election 2012,"Barack Obama
(Democrat)","Mitt Romney
(Republican)",False,True,True,True,True,False,True,True,True,True,True,False,True,3,Barack Obama,Barack Obama
2016,"Hillary Clinton
(Democrat)","Donald Trump
(Republican)",False,False,False,True,True,True,False,True,True,True,False,False,True,6,Donald Trump,Donald Trump
2020,"Donald Trump
(Republican)","Joe Biden
(Democrat)",False,True,True,True,False,False,True,False,False,True,False,False,True,7,Joe Biden,Joseph R. Biden
2024,"Joe Biden
(Democrat)","Donald Trump
(Republican)",False,True,True,Leans True,True,True,True,Leans True,True,Likely False,Likely False,False,True,2-4,Leans Joe Biden,TBD
