col0,col1,col2
Mila Kunis,Black Swan,Lily / The Black Swan
Scarlett Johansson,Iron Man 2,Natalie Rushman / Natasha Romanoff
Keira Christina Knightley,Never Let Me Go,Ruth C
Helen Mirren,RED,Victoria Winslow
Vanessa Redgrave,Letters to Juliet,Claire Smith-Wyman
Jacki Weaver,Animal Kingdom,Janine 'Smurf' Cody
Emily Blunt,The Adjustment Bureau,Elise Sellas
Elena Anaya,The Skin I Live In,Vera Cruz
Charlotte Gainsbourg,Melancholia,Claire
Paula Patton,Mission: Impossible - Ghost Protocol,Jane Carter
Lin Shaye,Insidious,Elise Rainier
Emma Watson,Harry Potter and the Deathly Hallows - Part 2,Hermione Granger
Anne Hathaway,The Dark Knight Rises,Selina Kyle / Catwoman
Judi Dench,Skyfall,M
Gina Gershon,Killer Joe,Sharla Smith
Anne Hathaway,Les Misérables,Fantine
Nicole Kidman,The Paperboy,Charlotte Bless
Charlize Theron,Snow White and the Huntsman,Queen Ravenna
Scarlett Ingrid Johansson,Her,Samantha (voice)
Nicole Kidman,Stoker,Evelyn Stoker
Melissa Leo,Prisoners,Holly Jones
Evangeline Lilly,The Hobbit: The Desolation of Smaug,Tauriel
Jena Malone,The Hunger Games: Catching Fire,Johanna Mason
Emily Watson,The Book Thief,Rosa Hubermann
Rene Russo,Nightcrawler,Nina Romina
Jessica Chastain,Interstellar,Murphy Murph Cooper
Scarlett Johansson,Captain America: The Winter Soldier,Natalia Alianovna Romanova
Evangeline Lilly,The Hobbit: The Battle of the Five Armies,Tauriel
Emma Stone,Birdman,Sam Thomson
Meryl Streep,Into the Woods,The Witch
Jessica Chastain,Crimson Peak,Lady Lucille Sharpe
Carrie Fisher,Star Wars: The Force Awakens,General Leia Organa
Evangeline Lilly,Ant-Man,Hope van Dyne
Lupita Nyong'o,Star Wars: The Force Awakens,Maz Kanata
Tamannaah Bhatia,Baahubali: The Beginning,Avanthika
Alicia Vikander,Ex Machina,Ava
Tilda Swinton,Doctor Strange,The Ancient One
Betty Buckley,Split,Dr. Karen Fletcher
Bryce Dallas Howard,Gold,Kay
Scarlett Johansson,Captain America: Civil War,Natalia Alianovna Romanoff
Kate McKinnon,Ghostbusters,Dr. Jillian Holtz Holtzmann
Margot Robbie,Suicide Squad,Harleen Quinzel / Harley Quinn
Danai Gurira,Black Panther,Okoye
Ana de Armas,Blade Runner 2049,Joi
Carrie Fisher  (posthumously),Star Wars: The Last Jedi,General Leia Organa
Lois Smith,Marjorie Prime,Marjorie
Octavia Spencer,The Shape of Water,Zelda Delilah Fuller
Tessa Thompson,Thor: Ragnarok,Valkyrie
Kelly Marie Tran,Star Wars: The Last Jedi,Rose Tico
Zendaya,Spider-Man: Far From Home,MJ
Cynthia Erivo,Bad Times at the El Royale,Darlene Sweet
Karen Gillan,Avengers: Endgame,Nebula
Amber Heard,Aquaman,Mera
Scarlett Johansson,Avengers: Endgame,Natasha Romanoff / Black Widow
Naomi Scott,Aladdin,Princess Jasmine
Hailee Steinfeld,Bumblebee,Charlie Watson
Ana de Armas,Knives Out,Marta Cabrera
Zazie Beetz,Joker,Sophie Dumond
Ellen Burstyn,Lucy in the Sky,Nana Holbrook
Jamie Lee Curtis,Knives Out,Linda Drysdale
Linda Hamilton,Terminator: Dark Fate,Sarah Connor
Amanda Seyfried,Mank,Marion Davies
Jurnee Smollett,Birds of Prey,Dinah Lance / Black Canary
