col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
2007,Peugeot Sport España,Enrique García Ojeda,Safari Rally Kenya,TUR   3,BEL   2,RUS   2,POR   4,CZE   2,ITA   6,SWI   2,CHI,,1st,47
2007,Peugeot Sport España,Nicolas Vouilloz,KEN,TUR   1,BEL   Ret,RUS   3,POR   9,CZE   1,ITA   3,SWI   1,CHI,,2nd,42
2007,Peugeot Team Belux,Bernd Casier,Safari Rally Kenya,TUR,BEL   4,RUS,POR   5,CZE   5,ITA   14,SWI   Ret,CHI,,8th,13
2008,Peugeot Team Bel-Lux,Nicolas Vouilloz,TUR   2,POR   3,BEL   2,RUS   5,POR   1,CZE   2,ESP   2,ITA   2,SWI   2,CHI,1st,68
2008,Peugeot Team Bel-Lux,Freddy Loix,IST   8,POR   Ret,YPR   1,RUS   4,MAD   6,ZLI   1,AST   3,SAN   5,VAL   1,CHN,2nd,48
2008,BF Goodrich Drivers Team,Patrick Snijers,,,YPR   5,RUS,MAD,,,,,,18th,4
2009,Peugeot UK,Kris Meeke,MON   Ret,CUR   1,KEN,AZO   1,BEL   1,RUS,POR   5,CZE   2,ESP   2,ITA   1,1st,66
2009,Peugeot Team Belux,Freddy Loix,MON   2,CUR   4,Safari Rally Kenya,AZO   4,YPR   3,RUS,MAD   6,ZLI   Ret,AST   6,ITA   4,3rd,37
2009,Peugeot Team Belux,Nicolas Vouilloz,MON   Ret,CUR   2,KEN,AZO   3,BEL   Ret,RUS,POR   4,CZE   Ret,ESP   3,ITA   3,4th,31
2009,Peugeot Team Belux,Pieter Tsjoen,77ème Rallye Automobile de Monte-Carlo,CUR,KEN,AZO,YPR   4,RUS,MAD,Barum Rally Zlin,AST,ITA,19th,5
2009,BF Goodrich Drivers Team,Sébastien Ogier,MON   1,CUR,Safari Rally Kenya,AZO,,,,,,,8th,10
2010,Peugeot UK,Kris Meeke,MON   Ret,BRA   1,ARG   Ret,CAN   4,ITA   Ret,BEL   Ret,AZO   2,MAD   Ret,CZE   4,ITA   4,3rd,39
2010,Peugeot Team Bel-Lux,Thierry Neuville,MON,BRA,ARG,CAN   Ret,ITA   4,BEL   3,AZO,MAD,CZE   Ret,ITA   8,9th,12
2011,Peugeot Team Bel-Lux,Thierry Neuville,MON   Ret,CAN   3,COR    1,YAL   6,YPR   Ret,AZO,ZLI   4,MEC   2,SAN    1,SCO    6,5th,115
2011,Peugeot UK,Guy Wilks,MON   3,CAN   5,COR   Ret,YAL   5,YPR   4,AZO   Ret,ZLI   Ret,MEC   Ret,SAN   Ret,SCO   Ret,7th,47
