col0,col1,col2,col3
"2010
 (17th)",Steve Buscemi,Boardwalk Empire,Nucky Thompson
"2010
 (17th)",Bryan Lee Cranston,BB,Walter White
"2010
 (17th)",Michael C. Hall,Dexter,Dexter Morgan
"2010
 (17th)",Jon Hamm,Mad Men,Don Draper
"2010
 (17th)",Hugh Laurie,House,Gregory House
"2011
 (18th)",Steven Vincent Buscemi,Boardwalk Empire,Nucky Thompson
"2011
 (18th)",Patrick J. Adams,Suits,Mike Ross
"2011
 (18th)",Kyle Chandler,Friday Night Lights,Eric Taylor
"2011
 (18th)",Bryan Cranston,BrBa,Walter Sr.
"2011
 (18th)",Michael C. Hall,Dexter,Dexter Moser
"2012
 (19th)",Bryan Cranston,Breaking Bad,Walter White
"2012
 (19th)",Steven Vincent Buscemi,Boardwalk Empire,Nucky Thompson
"2012
 (19th)",Jeff Daniels,The Newsroom,Will McAvoy
"2012
 (19th)",Jon Hamm,Mad Men,Don Draper
"2012
 (19th)",Damian Lewis,Homeland,Nicholas Brody
"2013
 (20th)",Bryan Cranston,Breaking Bad,Heisenberg
"2013
 (20th)",Steven Vincent Buscemi,Boardwalk Empire,Nucky Thompson
"2013
 (20th)",Jeff Daniels,The Newsroom,Will McAvoy
"2013
 (20th)",Peter Dinklage,Game of Thrones,Tyrion Lannister
"2013
 (20th)",Kevin Spacey,House of Cards,Francis Underwood
"2014
 (21st)",Kevin Spacey,House of Cards,Francis Underwood
"2014
 (21st)",Steve Buscemi,Boardwalk Empire,Nucky Thompson
"2014
 (21st)",Peter Dinklage,Game of Thrones,Tyrion Lannister
"2014
 (21st)",Woody Harrelson,True Detective,Martin Hart
"2014
 (21st)",Matthew McConaughey,True Detective,Rust Cohle
"2015
 (22nd)",Kevin Spacey,House of Cards,Francis Underwood
"2015
 (22nd)",Peter Dinklage,Game of Thrones,Tyrion Lannister
"2015
 (22nd)",Jon Hamm,Mad Men,Don Draper
"2015
 (22nd)",Rami Malek,Mr. Robot,Elliot Alderson
"2015
 (22nd)",Bob Odenkirk,Better Call Saul,Jimmy McGill
"2016
 (23rd)",John Lithgow,The Crown,Winston Churchill
"2016
 (23rd)",Sterling K. Brown,This Is Us,Randall Pearson
"2016
 (23rd)",Peter Dinklage,Game of Thrones,Tyrion Lannister
"2016
 (23rd)",Rami Malek,Mr. Robot,Elliot Alderson
"2016
 (23rd)",Kevin Spacey,House of Cards,Francis Underwood
"2017
 (24th)",Sterling K. Brown,This Is Us,Randall Pearson
"2017
 (24th)",Jason Bateman,Ozark,Marty Byrde
"2017
 (24th)",Peter Dinklage,Game of Thrones,Tyrion Lannister
"2017
 (24th)",David Harbour,Stranger Things,Jim Hopper
"2017
 (24th)",Bob Odenkirk,Better Call Saul,Jimmy McGill
"2018
 (25th)",Jason Bateman,Ozark,Marty Byrde
"2018
 (25th)",Sterling K. Brown,This Is Us,Randall Pearson
"2018
 (25th)",Joseph Fiennes,The Handmaid's Tale,Commander Fred Waterford
"2018
 (25th)",John Krasinski,Tom Clancy's Jack Ryan,Jack Ryan
"2018
 (25th)",Bob Odenkirk,Better Call Saul,Jimmy McGill
"2019
 (26th)",Peter Dinklage,Game of Thrones,Tyrion Lannister
"2019
 (26th)",Sterling K. Brown,This Is Us,Randall Pearson
"2019
 (26th)",Steve Carell,The Morning Show,Mitch Kessler
"2019
 (26th)",Billy Crudup,The Morning Show,Corey Ellison
"2019
 (26th)",David Harbour,Stranger Things,Jim Hopper
