col0,col1,col2
Alabama,Dothan,Dothan Eagle
Bama,Opelika,Opelika-Auburn News
Arizona,Tucson,Arizona Daily Star
California,Napa,Napa Valley Register
Idaho,Twin Falls,Times-News
Illinois,Bloomington,The Pantagraph
Illinois,Decatur,Herald & Review
Illinois,Quad Cities,The Dispatch / The Rock Island Argus
Illinois,Mattoon & Charleston,Journal Gazette / Times-Courier
Indiana,Munster (Northwest Indiana),The Times of Northwest Indiana
Iowa,Clarinda,Clarinda Herald-Journal
Iowa,Council Bluffs,The Daily Nonpareil
Iowa,Davenport,Quad-City Times
Iowa,Denison,Denison Bulletin & Review
Iowa,Mason City,Globe Gazette
Iowa,Muscatine,Muscatine Journal
Iowa,Shenandoah,The Valley News
Iowa,Sioux City,Sioux City Journal
Iowa,Waterloo,The Waterloo-Cedar Falls Courier
Iowa,Woodbine/Logan,Twiner-Herald
Missouri,St. Louis,St. Louis Post-Dispatch
Minnesota,Winona,Winona Daily News
Montana,Billings,Billings Gazette
Montana,Butte,The Montana Standard
Montana,Hamilton,Ravalli Republic
Montana,Helena,Independent Record
Montana,Missoula,Missoulian
Nebraska,Beatrice,Beatrice Daily Sun
Nebraska,Columbus,Columbus Telegram
Nebraska,Fremont,Fremont Tribune
Nebraska,Grand Island,The Grand Island Independent
Nebraska,Lincoln,Lincoln Journal Star
Nebraska,Kearney,Kearney Hub
Nebraska,Lexington,Lexington Clipper-Herald
Nebraska,North Platte,The North Platte Telegraph
Nebraska,Omaha,Omaha World-Herald
Nebraska,Scottsbluff,Star-Herald
Nebraska,Wahoo,Wahoo Newspaper
Nebraska,York,York News-Times
Nevada,Elko,Elko Daily Free Press
New Jersey,Atlantic City,The Press of Atlantic City
New York,Auburn,The Citizen
New York,Buffalo,The Buffalo News
New York,Glens Falls,The Post-Star
North Carolina,Concord,Independent Tribune
North Carolina,Greensboro,News & Record
North Carolina,Hickory,Hickory Daily Record
North Carolina,Marion,The McDowell News
North Carolina,Morganton,The News Herald
North Carolina,Mooresville,Mooresville Tribune
North Carolina,Statesville,Statesville Record & Landmark
North Carolina,Winston-Salem,Winston-Salem Journal
North Dakota,Bismarck,The Bismarck Tribune
Oklahoma,Tulsa,Tulsa World
Oregon,Albany,Albany Democrat-Herald
Oregon,Corvallis,Corvallis Gazette-Times
Oregon,Lebanon,Lebanon Express
Pennsylvania,Carlisle,The Sentinel
South Carolina,Florence,The Morning News
South Carolina,Orangeburg,The Times and Democrat
South Dakota,Rapid City,Rapid City Journal
Texas,Bryan-College Station,The Eagle
Texas,Waco,Waco Tribune-Herald
Virginia,Bristol,Bristol Herald Courier
Virginia,Charlottesville,The Daily Progress
Virginia,Culpeper,Culpeper Star-Exponent
Virginia,Danville,Danville Register & Bee
Virginia,Fredericksburg,The Free Lance-Star
Virginia,Lynchburg,The News & Advance
Virginia,Martinsville,Martinsville Bulletin
Virginia,Richmond,Richmond Times-Dispatch
Virginia,Roanoke,The Roanoke Times
Virginia,Rocky Mount,The Franklin News-Post
Virginia,Waynesboro,The News Virginian
Washington,Longview,The Daily News
Wisconsin,Chippewa Falls,The Chippewa Herald
Wisconsin,Kenosha,Kenosha News
Wisconsin,La Crosse,La Crosse Tribune
Wisconsin,Madison,Wisconsin State Journal
Wisconsin,Racine,Racine Journal Times
Wyoming,Casper,The Casper Journal
Wyoming,Casper,Casper Star-Tribune
