col0,col1
Joanna Hughes,"Melbourne, Victoria"
Nicole Kantek,"Liverpool, New South Wales"
Ruth Moniz,"Adelaide, S. Aust."
Lisa Moro,"Melbourne, Victoria"
Lisa Skinner,"Clear Mountain, Queensland"
Jenny Smith,"Perth, Western Australia"
Svetlana Boginskaya,"Minsk, Belarus"
Elena Piskun,"Minsk, Belarus"
Alena Polozkova,"Mogilev, Belarus"
Svetlana Tarasevich,"Grodno, Belarus"
Ludmila Vityukova,"Babruysk, Belarus"
Olga Yurkina,"Minsk, Belarus"
Tatyana Zharganova,"Grodno, Belarus"
Veselina Gencheva,"Sofia, Bulgaria"
Jennifer Exaltacion,"Windsor, Ontario"
Shanyn MacEachern,"Brampton, Ontario"
Yvonne Tousek,"Kitchener, Ontario"
Bi Wenjing,"Xintai, Shandong"
Ji Liya,"Hengyang, Hunan"
Kui Yuanyuan,"Xicheng District, Beijing"
Liu Xuan,"Changsha, Hunan"
Mo Huilan,"Guilin, Guangxi"
Qiao Ya,"Shashi District, Hubei"
Gabriela Krčmářová,"Karviná, Czech Republic"
Cécile Canqueteau,"Paris, France"
Ludivine Furnon,"Nîmes, France"
Laure Gély,"Saint-Étienne, France"
Isabelle Severino,"Paris, France"
Elvire Teza,"Saint-Denis, Réunion"
Orélie Troscompt,"Vevey, Switzerland"
Émilie Volle,"Saint-Étienne, France"
Yvonne Pioch,"Neubrandenburg, Germany"
Kathleen Stark,"Rostock, Germany"
Sonia Lawrence,"Caerphilly, Wales"
Annika Reeder,"Epping, England"
Kyriaki Firinidou,"Thessaloniki, Greece"
Virginia Karentzou,"Thessaloniki, Greece"
Aikaterini Mamouti,"Thessaloniki, Greece"
Konstantina Margariti,"Athens, Greece"
Kyriaki Papanikolaou,"Thessaloniki, Greece"
Georgia Tempou,"Thessaloniki, Greece"
Vasiliki Tsavdaridou,"Thessaloniki, Greece"
Ildikó Balog,"Békéscsaba, Hungary"
Nikolett Krausz,"Budapest, Hungary"
Andrea Molnár,"Budapest, Hungary"
Adrienn Nyeste,"Mezőhegyes, Hungary"
Henrietta Ónodi,"Békéscsaba, Hungary"
Eszter Óváry,"Budapest, Hungary"
Adrienn Varga,"Gyula, Hungary"
Francesca Morotti,"Calcinate, Italy"
Giordana Rocchi,"Rome, Italy"
Miho Hashiguchi,"Aichi Prefecture, Japan"
Naho Hoshiyama,"Tokyo, Japan"
Hanako Miura,"Hiroshima Prefecture, Japan"
Satsuki Obata,"Shiga Prefecture, Japan"
Masumi Okawa,"Shizuoka Prefecture, Japan"
Aya Sekine,"Gunma Prefecture, Japan"
Risa Sugawara,"Toda, Japan"
Olga Kozhevnikova,"Almaty, Kazakhstan"
Ludmila Prince,"Riga, Latvia"
Naima El-Rhouati,"Youssoufia, Morocco"
Diana Teixeira,"Porto, Portugal"
Eileen Díaz,"Río Piedras, Puerto Rico"
Simona Amânar,"Constanța, Romania"
Gina Gogean,"Câmpuri, Romania"
Ionela Loaieș,"Comănești, Romania"
Alexandra Marinescu,"Bucharest, Romania"
Lavinia Miloșovici,"Lugoj, Romania"
Mirela Țugurlan,"Focșani, Romania"
Elena Dolgopolova,"Volzhsky, Russia"
Roza Galiyeva,"Olmaliq, Uzbekistan"
Elena Grosheva,"Yaroslavl, Russia"
Svetlana Khorkina,"Belgorod, Russia"
Dina Kochetkova,"Moscow, Russia"
Evgeniya Kuznetsova,"Saint Petersburg, Russia"
Oksana Lyapina,"Armavir, Russia"
Klaudia Kinská,"Košice, Slovakia"
Kong Yoon-jin,"Seoul, South Korea"
Verónica Castro,"Gijón, Spain"
Joana Juárez,"Barcelona, Spain"
Mónica Martín,"Gijón, Spain"
Mercedes Pacheco,"Madrid, Spain"
Gemma Paz,"Madrid, Spain"
Diana Plaza,"Madrid, Spain"
Elisabeth Valle,"Barcelona, Spain"
Pascale Grossenbacher,"Chavannes, Switzerland"
Oksana Knizhnik,"Kyiv, Ukraine"
Anna Mirgorodskaya,"Odesa, Ukraine"
Lilia Podkopayeva,"Donetsk, Ukraine"
Olena Shaparna,"Kherson, Ukraine"
Liubov Sheremeta,"Lviv, Ukraine"
Olha Teslenko,"Kropyvnytskyi, Ukraine"
Svetlana Zelepukina,"Kropyvnytskyi, Ukraine"
Amanda Borden,"Cincinnati, Ohio"
Amy Chow,"San Jose, California"
Dominique Dawes,"Silver Spring, Maryland"
Shannon Miller,"Rolla, Missouri"
Dominique Moceanu,"Los Angeles, California"
Jaycie Phelps,"Indianapolis, Indiana"
Kerri Strug,"Tucson, Arizona"
Oksana Chusovitina,"Bukhara, Uzbekistan"
