col0,col1,col2,col3
2000,Russell Ira Crowe,Maximus Decimus Meridius,Gladiator
2001,Russell Crowe,The Phantom of Fine Hall,A Beautiful Mind
2001,Pappy Pariah,Sam Dawson,I Am Sam
2001,Will Smith,Muhammad Ali,Ali
2002,Daniel Day-Lewis (TIE),William Bill the Butcher Cutting,Gangs of New York
2002,Jack Nicholson (TIE),Warren Schmidt,About Schmidt
2002,Robin Williams,Seymour Sy Parrish,One Hour Photo
2003,Sean Justin Penn,Jimmy Markum,Mystic River
2003,Russell Ira Crowe,Captain Jack Aubrey,Master and Commander: The Far Side of the World
2003,Johnny Depp,Captain Jack Sparrow,Pirates of the Caribbean: The Curse of the Black Pearl
2003,Ben Kingsley,Colonel Massoud Amir Behrani,House of Sand and Fog
2003,Bill Murray,Bob Harris,Lost in Translation
2004,Jamie Foxx,Ray Charles,Ray
2004,Javier Bardem,Ramón Sampedro,The Sea Inside
2004,Don Cheadle,Paul Rusesabagina,Hotel Rwanda
2004,Johnny Depp,J. M. Barrie,Finding Neverland
2004,Leonardo DiCaprio,Howard Hughes,The Aviator
2004,Paul Giamatti,Miles Raymond,Sideways
2005,Philip Seymour Hoffman,Truman Capote,Capote
2005,Russell Crowe,James J. Braddock,Cinderella Man
2005,Terrence Howard,DJay,Hustle & Flow
2005,Heath Ledger,Ennis Del Mar,Brokeback Mountain
2005,Joaquin Phoenix,Johnny Cash,Walk the Line
2005,David Strathairn,Edward R. Murrow,"Good Night, and Good Luck"
2006,Forest Whitaker,Idi Amin,The Last King of Scotland
2006,Leonardo DiCaprio,Danny Archer,Blood Diamond
2006,Leonardo DiCaprio,"William Billy Costigan, Jr.",The Departed
2006,Ryan Gosling,Dan Dunne,Half Nelson
2006,Peter O'Toole,Maurice Russell,Venus
2006,Will Smith,Chris Gardner,The Pursuit of Happyness
2007,Daniel Day-Lewis,Daniel Plainview,There Will Be Blood
2007,George Clooney,Michael Clayton,Michael Clayton
2007,Johnny Depp,Benjamin Barker / Sweeney Todd,Sweeney Todd: The Demon Barber of Fleet Street
2007,Ryan Gosling,Lars Lindstrom,Lars and the Real Girl
2007,Emile Hirsch,Chris McCandless,Into the Wild
2007,Viggo Mortensen,Nikolai Luzhin,Eastern Promises
2008,Sean Penn,Harvey Milk,Milk
2008,Clint Eastwood,Walt Kowalski,Gran Torino
2008,Richard Jenkins,Walter Vale,The Visitor
2008,Frank Langella,Richard Nixon,Frost/Nixon
2008,Brad Pitt,Benjamin Button,The Curious Case of Benjamin Button
2008,Mickey Rourke,Randy The Ram Robinson,The Wrestler
2009,Jeff Bridges,Otis Bad Blake,Crazy Heart
2009,George Clooney,Ryan Bingham,Up in the Air
2009,Colin Firth,George Falconer,A Single Man
2009,Morgan Freeman,Nelson Mandela,Invictus
2009,Viggo Mortensen,Man,The Road
2009,Jeremy Renner,Sergeant First Class William James,The Hurt Locker
