col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
Antrim (Two members),Craig,Craig,Craig,Craig,McConnell,McConnell,McConnell,McConnell,"Sir Joseph McConnell, 2nd Bt.",McConnell,"Sir Joseph McConnell, 2nd Bt.",John Campbell,Haughton,Haughton,Haughton
Antrim (Two members),O'Neill,O'Neill,Robert William Hugh O'Neill,O'Neill,O'Neill,Robert William Hugh O'Neill,Robert William Hugh O'Neill,Robert William Hugh O'Neill,Robert William Hugh O'Neill,Robert William Hugh O'Neill,O'Neill,Robert William Hugh O'Neill,Robert William Hugh O'Neill,Robert William Hugh O'Neill,O'Neill
County Armagh,Allen,Allen,Allen,Allen,Allen,Allen,Allen,Allen,Allen,Allen,Allen,Allen,Allen,Allen,Harden
Belfast East,Dixon,Dixon,Dixon,Dixon,Dixon,Dixon,Dixon,Dixon,Dixon,Dixon,Harland,Harland,Cole,Cole,Cole
Belfast North,McConnell,McConnell,McConnell,McConnell,Somerset,Sir Thomas Somerset,Somerset,Sir Thomas Somerset,Somerset,Somerset,Somerset,Somerset,Neill,Neill,Neill
Londonderry,Sir Malcolm Martin Macnaghten,Sir Malcolm Martin Macnaghten,Malcolm Martin Macnaghten,Ross,Ross,Ronald D. Ross,Ronald D. Ross,Ross,Ross,Ross,Ross,Ross,Ross,Ross,Ronald D. Ross
Queen's University of Belfast,Whitla,Sinclair,Sinclair,Sinclair,Sinclair,Sinclair,Sinclair,Sinclair,Sinclair,Sinclair,Savory,Savory,Savory,Savory,Savory
Down (Two members),Simms,Simms,Simms,Simms,Simms,Simms,Vane-Tempest-Stewart,Vane-Tempest-Stewart,Vane-Tempest-Stewart,Vane-Tempest-Stewart,Vane-Tempest-Stewart,Vane-Tempest-Stewart,Smiles,Smiles,Sir Walter Smiles
Down (Two members),David Douglas Reid,David Douglas Reid,David Douglas Reid,Reid,David Douglas Reid,David Douglas Reid,Reid,Reid,David Douglas Reid,Little,Little,Little,,Mullan,Mullan
Belfast South,Moles,Moles,Moles,Moles,Stewart,Stewart,Stewart,Stewart,,,,,Gage,Gage,Gage
Belfast West,Lynn,Sir Robert John Lynn,Lynn,Lynn,Allen,,Browne,Browne,Browne,Alexander Crawford Browne,Browne,,,,
No. of UUP MPs,11,11,13,13,11,10,11,11,10,10,10,9,9,10,10
