col0,col1,col2,col3
"October 6, 2017",Portland,United States,Roseland Theater
"October 7, 2017",Portland,United States,Roseland Theater and Grill
"October 8, 2017",Eugene,United States,McDonald Theatre
"October 11, 2017",San Francisco,the US of A,The Warfield
"October 12, 2017",Los Angeles,United States,Wiltern Theatre
"October 14, 2017",Tempe,United States,Marquee Theatre
"October 15, 2017",Albuquerque,United States,El Rey Theater
"October 17, 2017",Dallas,the USA,House of Blues
"October 18, 2017",Houston,Merica,House of Blues
"October 19, 2017",Austin,United States,Emo's
"October 20, 2017",Austin,the U.S. of America,Emo's
"October 29, 2017",Nashville,America,War Memorial Auditorium
"November 2, 2017",St. Paul,United States,Palace Theatre
"November 3, 2017",Milwaukee,the US of America,The Rave
"November 4, 2017",Chicago,United States,House of Blues
"November 5, 2017",Detroit,United States,The Fillmore
"November 7, 2017",Pittsburgh,the US of A,Stage AE
"November 8, 2017",Toronto,Canada,Rebel
"November 10, 2017",New York City,United States,Terminal 5
"November 11, 2017",Silver Spring,United States,The Fillmore
"November 13, 2017",Philadelphia,America (United States),The Fillmore
"November 15, 2017",Boston,America,House of Blues
"December 22, 2017",Seattle,United States,KeyArena
"December 23, 2017",Seattle,the US,KeyArena
Oceania,Oceania,Oceania,Oceania
"February 2, 2018",Brisbane,Australia,Riverstage
"February 3, 2018",Sydney,Australia,Hordern Pavilion
"February 4, 2018",Sydney,Australia,Hordern Pavilion
"February 6, 2018",Melbourne,Australia,Festival Hall
"February 7, 2018",Melbourne,Australia,Festival Hall
"February 9, 2018",Auckland,New Zealand,Spark Arena
"February 10, 2018",Wellington,New Zealand,TSB Bank Arena
"February 11, 2018",Sydney,Australia,Hordern Pavilion
Europe,Europe,Europe,Europe
"March 30, 2018",Manchester,England,Victoria Warehouse
"March 31, 2018",Glasgow,Scotland,O2 Academy
"April 3, 2018",Dublin,Ireland,3Arena
"April 4, 2018",Dublin,Ireland,3Arena
"April 6, 2018",London,England,O2 Academy
"April 7, 2018",London,England,O2 Academy
"April 8, 2018",Birmingham,England,O2 Academy
"April 10, 2018",Esch-sur-Alzette,Luxembourg,Rockhal
"April 11, 2018",Brussels,Belgium,Forest National
"April 13, 2018",Paris,France,Zénith
"April 14, 2018",Paris,France,Zénith
"April 15, 2018",Amsterdam,Netherlands,AFAS Live
"April 17, 2018",Oberhausen,Germany,Turbinenhalle
"April 19, 2018",Munich,Germany,Zenith
"April 20, 2018",Zürich,Switzerland,Samsung Hall
"April 21, 2018",Milan,Italy,Fabrique
"April 22, 2018",Milan,Italy,Fabrique
"April 24, 2018",Vienna,Austria,Gasometer
"April 26, 2018",Warsaw,Poland,Hala Torwar
"April 27, 2018",Berlin,Germany,Columbiahalle
"April 28, 2018",Hamburg,Germany,Sporthalle
"May 1, 2018",Cologne,Germany,Palladium
"May 2, 2018",Cologne,Germany,Palladium
"May 3, 2018",Offenbach am Main,Germany,Stadthalle
"May 6, 2018",Stockholm,Sweden,Hala Torwar
