col0,col1,col2
2010,The Twilight Saga: New Moon,Christopher John Weitz
2010,Alice in Wonderland,Tim Burton
2010,Avatar,J.F. Cameron
2010,The Hangover,Todd Phillips
2010,Harry Potter and the Half-Blood Prince,David Yates
2011,The Twilight Saga: Eclipse,David Slade
2011,Black Swan,Darren Aronofsky
2011,Harry Potter and the Deathly Hallows - Part 1,David Yates
2011,Inception,Christopher Nolan
2011,The Social Network,David Fincher
2012,The Twilight Saga: Breaking Dawn - Part 1,Bill Condon
2012,Bridesmaids,Paul Feig
2012,Harry Potter and the Deathly Hallows - Part 2,David Yates
2012,The Help,Tate Taylor
2012,The Hunger Games,Gary Ross
2013,The Avengers,Joss Whedon
2013,The Dark Knight Rises,Christopher Nolan
2013,Django Unchained,Quentin Tarantino
2013,Silver Linings Playbook,David O. Russell
2013,Ted,Seth MacFarlane
2014,The Hunger Games: Catching Fire,Francis Lawrence
2014,12 Years a Slave,Steve McQueen
2014,American Hustle,David O. Russell
2014,The Hobbit: The Desolation of Smaug,Peter Jackson
2014,The Wolf of Wall Street,Martin Scorsese
2015,The Fault in Our Stars,Josh Boone
2015,American Sniper,Clint Eastwood
2015,Boyhood,Richard Linklater
2015,Gone Girl,David Fincher
2015,Guardians of the Galaxy,James Gunn
2015,The Hunger Games: Mockingjay - Part 1,Francis Lawrence
2015,Selma,Ava DuVernay
2015,Whiplash,Damien Chazelle
2016,Star Wars: The Force Awakens,J. J. Abrams
2016,Avengers: Age of Ultron,Joss Whedon
2016,Creed,Ryan Coogler
2016,Deadpool,Tim Miller
2016,Jurassic World,Colin Trevorrow
2016,Straight Outta Compton,F. Gary Gray
2017,Beauty and the Beast,Bill Condon
2017,The Edge of Seventeen,Kelly Fremon Craig
2017,Get Out,Jordan Peele
2017,Logan,James Mangold
2017,Rogue One: A Star Wars Story,Gareth Edwards
2018,Black Panther,Ryan Coogler
2018,Avengers: Infinity War,Anthony and Joe Russo
2018,Girls Trip,Malcolm D. Lee
2018,It,Andy Muschietti
2018,Wonder Woman,Patty Jenkins
2019,Avengers: Endgame,Anthony and Joe Russo
2019,BlacKkKlansman,Spike Lee
2019,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey and Rodney Rothman"
2019,To All the Boys I've Loved Before,Susan Johnson
2019,Us,Jordan Peele
