col0,col1,col2,col3,col4
1st César Awards,3 April 1976,Jean Gabin Alexis Moncorgé,Pierre Tchernia,Le Vieux Fusil
2nd César Awards,19 February 1977,Lino Ventura,Pierre Tchernia,Monsieur Klein
3rd César Awards,4 February 1978,Jeanne Moreau,Pierre Tscherniakowsky,Providence
4th César Awards,3 February 1979,Charles-Marie Vanel,Pierre Tchernia and Jean-Claude Brialy,Argent des autres
5th César Awards,2 February 1980,Jean Marais,Pierre Tchernia and Peter Ustinov,Tess
6th César Awards,31 January 1981,Yves Montand,Pierre Tchernia,The Last Metro
7th César Awards,27 February 1982,Orson Welles,Jacques Martin and Pierre Tchernia,Quest for Fire
8th César Awards,26 February 1983,Catherine Deneuve,Jean-Claude Brialy,La Balance
9th César Awards,3 March 1984,Gene Kelly,Léon Zitrone,(Tie) À nos amours   &    Le Bal
10th César Awards,3 February 1985,Simone Signoret,Pierre Tscherniakowski,My New Partner
11th César Awards,22 February 1986,Madeleine Renaud and Jean-Louis Barrault,Michel Drucker,Three Men and a Cradle
12th César Awards,7 March 1987,Sean Connery,Michel Drucker and Pierre Tchernia,Thérèse
13th César Awards,12 March 1988,Miloš Forman,Michel Drucker and Jane Birkin,Au revoir les enfants
14th César Awards,4 March 1989,Peter Ustinov,Pierre Tchernia,Camille Claudel
15th César Awards,4 March 1990,Kirk Douglas,,Too Beautiful for You
16th César Awards,9 March 1991,Sophia Loren,Richard Bohringer,Cyrano de Bergerac
17th César Awards,22 February 1992,Michèle Morgan,Frédéric Mitterrand,Tous les Matins du Monde
18th César Awards,8 March 1993,Marcello Mastroianni,Frédéric Mitterrand,Savage Nights
19th César Awards,26 February 1994,Gérard Depardieu,Fabrice Luchini and Clémentine Célarié,Smoking / No Smoking
20th César Awards,25 February 1995,Alain Delon,Jean-Claude Brialy and Pierre Tchernia,Wild Reeds
21st César Awards,3 February 1996,Philippe Noiret,Antoine de Caunes,La Haine
22nd César Awards,8 February 1997,Annie Girardot,Antoine de Caunes,Ridicule
23rd César Awards,28 February 1998,Juliette Binoche,Antoine de Caunes,Same Old Song
24th César Awards,6 March 1999,Isabelle Huppert,Antoine de Caunes,The Dreamlife of Angels
25th César Awards,19 February 2000,Alain Delon,Alain Chabat,Venus Beauty Institute
26th César Awards,24 February 2001,Daniel Auteuil,Édouard Baer,The Taste of Others
27th César Awards,2 March 2002,Nathalie Baye,Édouard Baer,Amélie
28th César Awards,22 February 2003,—,Géraldine Pailhas,The Pianist
29th César Awards,21 February 2004,Fanny Ardant,Gad Elmaleh,The Barbarian Invasions
30th César Awards,26 February 2005,Isabelle Adjani,Gad Elmaleh,Games of Love and Chance
31st César Awards,25 February 2006,Carole Bouquet,Valérie Lemercier,The Beat That My Heart Skipped
32nd César Awards,24 February 2007,Claude Brasseur,Valérie Lemercier,Lady Chatterley
33rd César Awards,22 February 2008,Jean Rochefort,Antoine de Caunes,The Secret of the Grain
34th César Awards,27 February 2009,Charlotte Gainsbourg,Antoine de Caunes,Séraphine
35th César Awards,27 February 2010,Marion Cotillard,Valérie Lemercier and Gad Elmaleh,A Prophet
36th César Awards,25 February 2011,Jodie Foster,Antoine de Caunes,Of Gods and Men
37th César Awards,24 February 2012,Guillaume Canet,Antoine de Caunes,The Artist
38th César Awards,22 February 2013,Jamel Debbouze,Antoine de Caunes,Amour
39th César Awards,28 February 2014,François Cluzet,Cécile de France,"Me, Myself and Mum"
40th César Awards,20 February 2015,Dany Boon,Édouard Baer,Timbuktu
41st César Awards,26 February 2016,Claude Lelouch,Florence Foresti,Fatima
42nd César Awards,24 February 2017,—,Jérôme Commandeur,Elle
43rd César Awards,2 March 2018,Vanessa Paradis,Manu Payet,BPM (Beats per Minute)
44th César Awards,22 February 2019,Kristin Scott Thomas,Kad Merad,Custody
45th César Awards,28 February 2020,Sandrine Kiberlain,Florence Foresti,Les Misérables
46th César Awards,12 March 2021,Roschdy Zem,Marina Foïs,Bye Bye Morons
47th César Awards,25 February 2022,Danièle Thompson,Antoine de Caunes,Lost Illusions
48th César Awards,24 February 2023,Tahar Rahim,"Emmanuelle Devos, Léa Drucker, Eye Haïdara, Leïla Bekhti, Jérôme Commandeur, Ahmed Sylla, Jamel Debbouze, Alex Lutz and Raphaël Personnaz",The Night of the 12th
49th César Awards,23 February 2024,Valérie Lemercier,"Ariane Ascaride, Bérénice Bejo, Dali Benssalah, Juliette Binoche, Dany Boon, Bastien Bouillon, Audrey Diwan, Ana Girardot, Diane Kruger, Benoît Magimel, Paul Mirabel, Nadia Tereszkiewicz and Jean-Pascal Zadi",Anatomy of a Fall
