col0,col1,col2
Argenteuil—Deux-Montagnes,Roger Régimbal,Progressive Conservative
Beauce,Jean-Paul Racine,Canadian Liberals
Beauharnois—Salaberry,Gerald Laniel,LPC
Bellechasse,Herman Laverdière,LPC
Berthier—Maskinongé—delanaudière,Antonio Yanakis,Liberal
Bonaventure,Albert Béchard,Canadian Liberals
Brome—Missisquoi,Heward Grafftey,Progressive Conservative
Cartier,Milton L. Klein,LPC
Chambly—Rouville,Bernard Pilon,Liberal
Champlain,Jean-Paul Matte,Liberal
Chapleau,Gérard Laprise,Ralliement Créditiste
Charlevoix,Martial Asselin,Progressive Conservative
Chicoutimi,Paul Langlois,Liberal
Châteauguay—Huntingdon—Laprairie,Ian Watson,Liberal
Compton—Frontenac,Henry Latulippe,Ralliement Créditiste
Dollard,Jean-Pierre Goyer,Liberal
Dorchester,Gustave Côté,Liberal
Drummond—Arthabaska,Jean-Luc Pépin,Liberal
Gaspé,James Russell Keays,Progressive Conservative
Gatineau,Joseph Isabelle,Liberal
Hochelaga,Gérard Pelletier,Liberal
Hull,Alexis Caron (died 31 August 1966),Liberal
Hull,Pierre Caron (by-election of 1967-05-29),Liberal
Îles-de-la-Madeleine,Maurice Sauvé,Liberal
Jacques-Cartier—Lasalle,Raymond Rock,Grits
Joliette—l'Assomption—Montcalm,Joseph-Roland Comtois,LPC
Kamouraska,Charles-Eugène Dionne,Ralliement Créditiste
Labelle,Gaston Clermont,Liberal
Lac-Saint-Jean,Alcide Simard,Ralliement Créditiste
Lafontaine,Georges-C. Lachance,Liberal
Lapointe,Gilles Grégoire,Ralliement Créditiste
Lapointe,Gilles Grégoire,Independent
Laurier,Fernand Leblanc,LPC
Laval,Jean-Léo Rochon,Liberal
Lévis,Raynald Guay,Liberal
Longueuil,Jean-Pierre Côté,LPC
Lotbinière,Auguste Choquette,Liberal
Maisonneuve—Rosemont,J. Antonio Thomas,Liberal
Matapédia—Matane,René Tremblay,Liberal
Mégantic,Raymond Langlois,Ralliement Créditiste
Mercier,Prosper Boulanger,Liberal
Montmagny—L'Islet,Jean-Charles Richard Berger,LPC
Mount Royal,Pierre Trudeau,LPC
Nicolet—Yamaska,Clément Vincent (resigned 4 May 1966),Progressive Conservative
Nicolet—Yamaska,Florian Côté (by-election of 1966-09-19),Liberal
Notre-Dame-de-Grâce,Warren Allmand,Canadian Liberals
Outremont—St-Jean,Maurice Lamontagne,LPC
Outremont—St-Jean,Aurélien Noël (by-election of 1967-05-29),Canadian Liberals
Papineau,Guy Favreau (resigned 4 April 1967),Liberal
Papineau,André Ouellet (by-election of 1967-05-29),Liberal
Pontiac—Témiscamingue,Thomas Lefebvre,Canadian Liberals
Portneuf,Roland Godin,Ralliement Créditiste
Québec—Montmorency,Ovide Laflamme,Liberal
Quebec East,Gérard Duquet,Grits
Quebec South,Jean-Charles Cantin,LPC
Quebec West,Jean Marchand,LPC
Richelieu—Verchères,Lucien Cardin (resigned 4 April 1967),LPC
Richelieu—Verchères,Jacques-Raymond Tremblay (by-election of 1967-05-29),LPC
Richmond—Wolfe,Patrick Tobin Asselin,Liberal
Rimouski,Louis Guy LeBlanc,Liberal
Rivière-du-Loup—Témiscouata,Rosaire Gendron,Liberal
Roberval,Charles-Arthur Gauthier,Ralliement Créditiste
Saguenay,Gustave Blouin,Grits
St. Ann,Gérard Loiselle,Liberal
Saint-Antoine—Westmount,Charles (Bud) Drury,Liberal
Saint-Denis,Marcel Prud'homme,Liberal
Saint-Henri,Hilarion-Pit Lessard,Grits
Saint-Hyacinthe—Bagot,Théogène Ricard,Progressive Conservative
Saint-Jacques,Maurice Rinfret,Liberal
Saint-Jean—Iberville—Napierville,Jean-Paul Beaulieu,Progressive Conservative
St. Lawrence—St. George,John Turner,LPC
Sainte-Marie,Georges Valade,Progressive Conservative
Saint-Maurice—Laflèche,Jean Chrétien,Liberal
Shefford,Louis-Paul Neveu,LPC
Sherbrooke,Maurice Allard,Independent Progressive Conservative
Stanstead,Yves Forest,Canadian Liberals
Terrebonne,Léo Cadieux,Canadian Liberals
Trois-Rivières,Joseph-Alfred Mongrain,Independent
Vaudreuil—Soulanges,René Émard,Grits
Verdun,Bryce Mackasey,Grits
Villeneuve,Réal Caouette,Ralliement Créditiste
