col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
1973,Audi - NSU France,Audi 80,MON,SWE,POR,KEN,MOR,GRE,POL,FIN,AUT,ITA,,
1974,Guy Fréquelin,Alfa Romeo Alfetta,MON,SWE,POR,KEN,GRE,FIN,ITA,CAN,USA,GBR,,
1975,Guy Fréquelin,Alfa Romeo 2000 GTV,MON,SWE,KEN,GRE,MOR,POR,FIN,ITA,FRA,GBR,,
1976,Guy Fréquelin,Porsche 911 Carrera,MON,SWE,POR,KEN,GRE,MOR,FIN,ITA,,,,
1977,Guy Fréquelin,Alpine A310 1800,MON,SWE,POR,KEN,NZL,GRE,FIN,CAN,,,NC,0
1978,Guy Fréquelin,Renault 5 Alpine,MON,SWE,KEN,POR,GRE,FIN,CAN,ITA,,,NC,0
1979,Guy Fréquelin,Renault 5 Alpine,MON,SWE,POR,KEN,GRE,NZL,FIN,CAN,ITA,FRA,54th,3
1980,Talbot Cars GB,Talbot Sunbeam Lotus,,,POR,KEN,GRE,ARG,FIN,NZL,ITA,,8th,34
1981,Talbot Sport,Talbot Sunbeam Lotus,MON,SWE,POR,,FRA,GRE,ARG,BRA,FIN,ITA,2nd,89
1982,Esso,Porsche 911 SC,MON,SWE,POR,KEN,,,,,,,12th,16
1982,Alméras / Esso,Porsche 911 SC,,,,,FRA,GRE,NZL,BRA,FIN,ITA,12th,16
1983,Rothmans Opel Rally Team,Opel Ascona 400,MON,SWE,POR,KEN,,,,,,,NC,0
1983,Rothmans Opel Rally Team,Opel Manta 400,,,,,FRA,GRE,NZL,ARG,FIN,ITA,NC,0
1984,Opel Euro Team,Opel Manta 400,MON,SWE,POR,KEN,FRA,GRE,NZL,ARG,FIN,ITA,53rd,2
1985,Opel Euro Team,Opel Manta 400,MON,SWE,POR,KEN,FRA,GRE,NZL,ARG,FIN,ITA,NC,0
1987,GM Euro Sport,Opel Kadett GSI 16V,MON,SWE,POR,KEN,FRA,GRE,USA,NZL,ARG,FIN,36th,6
