col0,col1,col2,col3,col4
14 November 1963,Indonesia,3-2,Mali,Gelora Bung Karno Stadium
15 November 1963,Laos,0-15,Egypt,
9 August 1965,Indonesia,1-3,Guinea,
25 July 1977,Indonesia,0-4,Libya,Bukit Jalil National Stadium
27 July 1977,Myanmar,1-3,Libya,Bukit Jalil National Stadium
15 October 1980,Myanmar,2-2,Morocco,Stadium Merdeka
22 October 1980,Thailand,1-2,Morocco,Stadium Merdeka
29 October 1980,Indonesia,0-2,Morocco,Stadium Merdeka
3 November 1980,Singapore,0-1,Morocco,Old Kallang National Stadium
7 August 1982,Singapore,0-3,Ghana,Stadium Merdeka
11 August 1982,Indonesia,2-2,Senegal,Stadium Merdeka
11 August 1982,Thailand,1-4,Ghana,Stadium Merdeka
4 June 1983,Thailand,0-0,Nigeria,Dongdaemun Stadium
10 June 1983,Indonesia,1-2,Nigeria,Busan Gudeok Stadium
19 September 1983,Thailand,1-2,Ghana,Stadium Merdeka
1 September 1984,Thailand,1-2,Liberia,Stadium Merdeka
4 September 1984,Indonesia,1-2,Liberia,Stadium Merdeka
20 August 1986,Indonesia,0-1,Algeria,
29 January 1990,Thailand,2-1,Kenya,
11 June 1991,Indonesia,0-6,Egypt,
22 February 1997,Indonesia,0-0,Zimbabwe,Stadium Merdeka
26 February 1997,Vietnam,0-6,Zimbabwe,Stadium Merdeka
12 June 1987,Thailand,1-1,Egypt,Busan Gudeok Stadium
14 September 1997,Indonesia,3-1,Tanzania,Siliwangi Stadiu
25 January 1998,Thailand,1-1,Egypt,
30 June 2007,Indonesia,2-1,Liberia,Gelora Sriwijaya Stadium
20 August 2007,Myanmar,1-0,Lesotho,MBPJ Stadium
22 August 2007,Laos,1-3,Lesotho,MBPJ Stadium
16 May 2010,Thailand,0-4,South Africa,Mbombela Stadium
17 May 2012,Indonesia,2-0,Mauritania,Nablus Football Stadium
23 June 2023,Vietnam,1-0,Mozambique,Thống Nhất Stadium
17 November 2012,Indonesia,0-0,Cameroon,Gelora Bung Karno Stadium
25 March 2015,Indonesia,0-1,Cameroon,Gelora Delta Stadium
30 March 2015,Thailand,2-3,Cameroon,Rajamangala Stadium
8 October 2017,Thailand,1-0,Kenya,Thunderdome Stadium
7 September 2018,Singapore,1-1,Mauritius,Bishan Stadium
10 October 2018,Indonesia,1-0,Mauritius,Wibawa Mukti Stadium
22 March 2018,Thailand,0-0,Gabon,Rajamangala Stadium
10 October 2019,Thailand,1-1,Congo,BG Stadium
13 November 2021,Myanmar,1-2,Burundi,Arslan Zeki Demirci Sports Complex
25 March 2023,Indonesia,3-1,Burundi,Patriot Candrabhaga Stadium
28 March 2023,Indonesia,2-2,Burundi,Patriot Candrabhaga Stadium
2 January 2024,Indonesia,0-4,Libya,Mardan Sports Complex
5 January 2024,Indonesia,1-2,Libya,Mardan Sports Complex
22 March 2024,Cambodia,0-2,Equatorial Guinea,Prince Abdullah Al-Faisal Sports City
2 June 2024,Indonesia,0-0,Tanzania,Madya Stadium
