col0,col1,col2,col3,col4,col5
Tricholaema leucomelas,African black swift,African cuckoo,African dusky flycatcher,African firefinch,Haliaeetus vocifer
African golden oriole,African goshawk,African grey hornbill,African harrier-hawk,African hawk-eagle,African palm swift
African paradise flycatcher,Anthus cinnamomeus,African pygmy kingfisher,Pycnonotus nigricans,African scops owl,Alpine swift
Chalcomitra amethystina,Ant-eating chat,Arrow-marked babbler,Banded martin,Barn owl,Barn swallow
Barred wren-warbler,Bar-throated apalis,Bateleur,Bearded scrub robin,Bearded woodpecker,Black cuckoo
Ciconia nigra,Dryoscopus cubla,Circaetus pectoralis,Black-collared barbet,black-crowned night-heron,Black-crowned tchagra
Black-faced waxbill,Black-headed heron,Black-headed oriole,Blacksmith lapwing,Black-winged kite,Black-winged stilt
Blue waxbill,Bronze-winged courser,Brown snake eagle,Brown-backed honeybird,Brown-crowned tchagra,Brown-hooded kingfisher
Brubru,White-browed coucal,Burchell's starling,Burnt-necked eremomela,Bushveld pipit,Cape batis
Cape rock thrush,Cape starling,Cape vulture,Cape white-eye,Cardinal woodpecker,Cattle egret
Chestnut-vented warbler,Chinspot batis,Cinnamon roller,Cinnamon-breasted bunting,Collared sunbird,Common bulbul
Common buttonquail,Common quail,Common scimitarbill,Common waxbill,Crested barbet,Crested francolin
Crested guineafowl,Crimson-breasted shrike,Crowned lapwing,Cut-throat finch,Dark chanting goshawk,Desert cisticola
Diederik cuckoo,Double-banded courser,Double-banded sandgrouse,Egyptian goose,Emerald-spotted wood dove,Eurasian spoonbill
European bee-eater,European nightjar,European roller,Fiery-necked nightjar,Fork-tailed drongo,Freckled nightjar
Gabar goshawk,Golden-breasted bunting,Golden-tailed woodpecker,Gorgeous bushshrike,Greater blue-eared starling,Greater double-collared sunbird
Greater honeyguide,Greater painted-snipe,Greater striped swallow,Green wood hoopoe,Green-backed camaroptera,Green-backed twinspot
Green-winged pytilia,Grey go-away-bird,Grey heron,Grey penduline tit,Grey tit-flycatcher,Grey-backed camaroptera
Grey-headed bushshrike,Grey-headed kingfisher,Groundscraper thrush,Hadada ibis,Hamerkop,Helmeted guineafowl
Hooded vulture,Hoopoe,Jacobin cuckoo,Jameson's firefinch,Kalahari scrub robin,Karoo thrush
Klaas's cuckoo,Knob-billed duck,Kori bustard,Kurrichane thrush,Lanner falcon,Lappet-faced vulture
Laughing dove,Lesser grey shrike,Lesser honeyguide,Lesser striped swallow,Levaillant's cisticola,Levaillant's cuckoo
Lilac-breasted roller,Little bee-eater,Little sparrowhawk,Lizard buzzard,Long-billed crombec,Long-tailed paradise whydah
Long-tailed widowbird,Magpie shrike,Malachite kingfisher,Marabou stork,Marico flycatcher,Marico sunbird
Martial eagle,Meves's Starling,Mocking cliff chat,Monotonous lark,Mountain wheatear,Namaqua dove
Natal spurfowl,Neddicky,Olive bushshrike,Orange-breasted bushshrike,Ostrich,Ovambo sparrowhawk
Pale chanting goshawk,Pale flycatcher,Pearl-breasted swallow,Pearl-spotted owlet,Peregrine falcon,Pied crow
Purple roller,Purple-crested turaco,Rattling cisticola,Red-backed shrike,Red-billed buffalo weaver,Red-billed oxpecker
Red-billed quelea,Red-billed teal,Red-breasted swallow,Red-capped lark,Red-capped robin-chat,Red-chested cuckoo
Red-crested korhaan,Red-eyed dove,Red-faced mousebird,Red-headed weaver,Red-winged starling,Retz's helmetshrike
Ring-necked dove,Rock kestrel,Rock martin,Rufous-naped lark,Rüppell's vulture,Sabota lark
Scaly-feathered weaver,Scarlet-chested sunbird,Secretarybird,Shikra,Sombre greenbul,Southern black flycatcher
Southern black tit,Southern boubou,Southern carmine bee-eater,Southern grey-headed sparrow,Southern ground hornbill,Southern masked weaver
Southern pied babbler,Southern pochard,Southern red-billed hornbill,Southern red bishop,Southern white-crowned shrike,Southern white-faced owl
Southern yellow-billed hornbill,Speckled mousebird,Speckled pigeon,Spectacled weaver,Spotted eagle-owl,Spotted flycatcher
Spotted thick-knee,Spur-winged goose,Steppe eagle,Striped kingfisher,Swainson's spurfowl,Swallow-tailed bee-eater
Tambourine dove,Tawny eagle,Tawny-flanked prinia,Terrestrial brownbul,Three-banded courser,Thrush nightingale
Verreaux's eagle,Verreaux's eagle-owl,Violet-backed starling,Violet-eared waxbill,Wahlberg's eagle,Wattled starling
White stork,White-backed vulture,White-bellied sunbird,White-browed robin-chat,White-browed scrub robin,White-browed sparrow-weaver
White-crested helmetshrike,White-faced whistling duck,White-fronted bee-eater,White-rumped swift,White-throated robin-chat,White-winged widowbird
Willow warbler,Woodland kingfisher,Yellow-bellied eremomela,Yellow-bellied greenbul,Yellow-billed kite,Yellow-breasted apalis
