col0,col1,col2,col3
George Washington,Philip Merivale,Valley Forge,1934
George Washington,Cecil Humphreys,The Patriots,1943
George Washington,James Daly,The White House,1964
The American Fabius,Ken Howard,1600 Pennsylvania Avenue,1976
The American Fabius,Christopher Jackson,Hamilton (musical),2015
John Adams,Eric Berry,The White House,1964
John Adams,William Daniels,1776,1969
John Adams,Ken Howard,1600 Pennsylvania Avenue,1976
John Adams,Brent Spiner,1776,1997
Thomas Jefferson,Carl Anthony,Hamilton (play),1917
Thomas Jefferson,Raymond Edward Johnson,The Patriots,1943
Thomas Jefferson,Fritz Weaver,The White House,1964
Thomas Jefferson,Ken Howard,1776,1969
Thomas Jefferson,Ken Howard,1600 Pennsylvania Avenue,1976
Thomas Jefferson,Paul Michael Valley,1776,1997
Thomas Jefferson,Daveed Diggs,Hamilton (musical),2015
James Madison,Okieriete Onaodowan,Hamilton (musical),2015
James Monroe,Hardee Kirkland,Hamilton (play),1917
James Monroe,Judson Laire,The Patriots,1943
James Monroe,James Daly,The White House,1964
James Monroe,Ken Howard,1600 Pennsylvania Avenue,1976
John Quincy Adams,Gene Wilder,The White House,1964
John Quincy Adams,Jeff Hiller,Bloody Bloody Andrew Jackson,2008
Andrew Jackson,Fritz Weaver,The White House,1964
Andrew Jackson,Benjamin Walker,Bloody Bloody Andrew Jackson,2008
Martin Van Buren,James Daly,The White House,1964
Martin Van Buren,Lucas Near-Verbrugghe,Bloody Bloody Andrew Jackson,2008
William Henry Harrison,James Daly,The White House,1964
John Tyler,Gene Wilder,The White House,1964
James K. Polk,Eric Berry,The White House,1964
Zachary Taylor,Eugene Roche,The White House,1964
Millard Fillmore,Fritz Weaver,The White House,1964
Franklin Pierce,Fritz Weaver,The White House,1964
James Buchanan,James Daly,The White House,1964
Abraham Lincoln,Benjamin Chapin,Lincoln,1906
Abraham Lincoln,Frank McGlynn,Abraham Lincoln,1918
Abraham Lincoln,Raymond Massey,Abe Lincoln in Illinois,1938
Abraham Lincoln,Fritz Weaver,The White House,1964
Andrew Johnson,James Daly,The White House,1964
Andrew Johnson,Ken Howard,1600 Pennsylvania Avenue,1976
Ulysses S. Grant,Sorrell Booke,The White House,1964
Ulysses S. Grant,Bill Raymond,Cold Harbor,1983
Rutherford B. Hayes,Gene Wilder,The White House,1964
James A. Garfield,William Parry,Assassins,1990
Chester A. Arthur,Eric Berry,The White House,1964
Grover Cleveland,James Daly,The White House,1964
William McKinley,Eric Berry,The White House,1964
Theodore Roosevelt,James Daly,The White House,1964
Theodore Roosevelt,Kevin Carolan,Newsies,2012
Woodrow Wilson,Fritz Weaver,The White House,1964
Franklin D. Roosevelt,Ralph Bellamy,Sunrise at Campobello,1958
Franklin D. Roosevelt,Raymond Thorne,Annie,1977
Harry S. Truman,James Whitmore,"Give 'em Hell, Harry!",1975
Lyndon B. Johnson,Bryan Cranston,All the Way,2014
Lyndon B. Johnson,Brian Cox,The Great Society,2019
Richard Nixon,George S. Irving,An Evening with Richard Nixon,1972
Richard Nixon,Frank Langella,Frost/Nixon,2006
Gerald Ford,William Parry,Assassins,1990
Bill Clinton,John Lithgow,Hillary and Clinton,2016
George W. Bush,Alex Jennings,Stuff Happens,2004
George W. Bush,Will Ferrell,You're Welcome America,2009
Barack Obama,Peter Francis James,Hillary and Clinton,2018
Joe Biden,Brian Church,"Say It Ain't So, Joe",2009
