col0,col1,col2,col3,col4
2010    (68th),Claire Danes,Temple Grandin,Temple Grandin,HBO
2010    (68th),Hayley Elizabeth Atwell,Aliena,Pillars of the Earth,Starz
2010    (68th),Judi Dench,Matilda Matty Jenkyns,Return to Cranford,PBS
2010    (68th),Romola Garai,Emma Woodhouse,Emma,PBS
2010    (68th),Jennifer Love Hewitt,Samantha Horton,Client List,Lifetime
2011    (69th),Kate Winslet,Mildred Pierce,Mildred Pierce,HBO
2011    (69th),Romola Garai,Bel Rowley,The Hour,BBC America
2011    (69th),Diane Lane,Pat Loud,Cinema Verite,Home Box Office
2011    (69th),Elizabeth McGovern,"Cora Crawley, Countess of Grantham",Downton Abbey,PBS
2011    (69th),Emily Watson,Janet Leach,Appropriate Adult,Sundance Channel
2012    (70th),Julianne Moore,Sarah Palin,Game Change,HBO Family
2012    (70th),Nicole Kidman,Martha Gellhorn,Hemingway & Gellhorn,HBO
2012    (70th),Jessica Lange,Sister Jude Martin / Judy Martin,American Horror Story: Asylum,FX
2012    (70th),Sienna Miller,Tippi Hedren,The Girl,HBO Family
2012    (70th),Sigourney Weaver,Elaine Barrish,Political Animals,USA
2013    (71st),Elisabeth Moss,Det. Robin Griffin,Top of the Lake,Sundance Channel
2013    (71st),Helena Bonham Carter,Elizabeth Taylor,Burton & Taylor,BBC America
2013    (71st),Rebecca Ferguson,Elizabeth Woodville,The White Queen,Starz
2013    (71st),Jessica Lange,Fiona Goode,American Horror Story: Coven,FX
2013    (71st),Helen Mirren,Linda Kenney Baden,Phil Spector,HBO Family
2014    (72nd),Maggie Gyllenhaal,"Nessa Stein, Baroness Stein of Tilbury",The Honourable Woman,Sundance Channel
2014    (72nd),Jessica Lange,Elsa Mars,American Horror Story: Freak Show,FX
2014    (72nd),Frances McDormand,Olive Kitteridge,Olive Kitteridge,HBO
2014    (72nd),Frances O'Connor,Emily Hughes,The Missing,Starz
2014    (72nd),Allison Tolman,Molly Solverson,Fargo,FX
2015    (73rd),Lady Gaga,Elizabeth Johnson / The Countess,American Horror Story: Hotel,FX
2015    (73rd),Kirsten Dunst,Peggy Blumquist,Fargo,FX
2015    (73rd),Sarah Hay,Claire Robbins,Flesh and Bone,STARZ!
2015    (73rd),Felicity Huffman,Barbara Barb Hanlon,American Crime,ABC
2015    (73rd),Queen Latifah,Bessie Smith,Bessie,HBO
2016    (74th),Sarah Paulson,Marcia Clark,The People v. O. J. Simpson: American Crime Story,FX
2016    (74th),Felicity Huffman,Leslie Graham,American Crime,ABC
2016    (74th),Riley Keough,Christine Reade,The Girlfriend Experience,Starz
2016    (74th),Charlotte Rampling,Frances Turner,London Spy,BBC America
2016    (74th),Kerry Washington,Anita Hill,Confirmation,HBO
2017    (75th),Nicole Kidman,Celeste Wright,Big Little Lies,HBO
2017    (75th),Jessica Biel,Cora Tannetti,The Sinner,USA
2017    (75th),Jessica Lange,Joan Crawford,Feud: Bette and Joan,FX
2017    (75th),Susan Sarandon,Bette Davis,Feud: Bette and Joan,FX
2017    (75th),Reese Witherspoon,Madeline Martha Mackenzie,Big Little Lies,Home Box Office
2018    (76th),Patricia Arquette,Joyce Tilly Mitchell,Escape at Dannemora,Showtime
2018    (76th),Amy Adams,Camille Preaker,Sharp Objects,HBO Family
2018    (76th),Connie Britton,Debra Newell,Dirty John,Bravo
2018    (76th),Laura Dern,Jennifer Fox,The Tale,Home Box Office
2018    (76th),Regina King,Latrice Butler,Seven Seconds,Netflix
2019    (77th),Michelle Williams,Gwen Verdon,Fosse/Verdon,FX
2019    (77th),Kaitlyn Dever,Marie Adler,Unbelievable,Netflix
2019    (77th),Joey King,Gypsy Blanchard,The Act,Hulu
2019    (77th),Helen Mirren,Catherine the Great,Catherine the Great,HBO Family
2019    (77th),Merritt Wever,Detective Karen Duvall,Unbelievable,Netflix
