col0,col1,col2,col3,col4
Gold,Marathon,Xiamen International Marathon,Xia-men,China
Silver,Marathon,Standard Chartered Mumbai Marathon,Bombay,Indostan
Silver,Marathon,Osaka Intl Ladies Marathon,Osaka,Land of the Rising Sun
Silver,Marathon,58th Beppu-Oita Mainichi Marathon,Kitakyushu,Land of the Rising Sun
Silver,Half marathon,RAK Half Marathon,Ras Al Khaimah,the U.A.E.
Gold,10K run,World's Best 10k Race,San Juan,Puerto Rico
Gold,Marathon,Lake Biwa Mainichi Marathon,Osaka,Japan
Silver,Marathon,Nagoya Intl Women's Marathon,Nagoya,Japan
Silver,Marathon,Seoul International Marathon,Seoul,South Korea
Silver,Marathon,Maratona di Rome,Rome,Italy
Gold,Half marathon,EDP Half Marathon of Lisbon,Lisbon,Portugal
Silver,Marathon,Tokyo Marathon,Tokyo,Jap
Silver,Half marathon,Hervis Prague Half Marathon,Prague,Czech Republic
Silver,Marathon,Fortis Rotterdam Marathon,Rotterdam,Netherlands
Gold,Marathon,Marathon International de Paris,Paris,France
Silver,Marathon,Vienna City Marathon,Vienna,Austria
Silver,Marathon,Nagano Olympic Commemorative Marathon,Nagano,Nihon
Silver,Marathon,Turin Marathon,Turin,Italy
Gold,Marathon,B.A.A. Boston Marathon,Boston,United States
Gold,Marathon,Marathon Hamburg,Hamburg,Germany
Silver,Marathon,Madrid Marathon,Madrid,Spain
Gold,Marathon,Flora London Marathon,London,United Kingdom
Silver,Marathon,Volkswagen Prague Marathon,Prague,Czech Republic
Gold,10K run,Bupa Great Manchester Run,Manchester,United Kingdom
Silver,10K run,Nordion 10K,Ottawa,Canada
Silver,Marathon,Ottawa Marathon,Ottawa,Canada
Silver,5K run,Freihofer's Run for Women,Albany,United States
Gold,Half marathon,Bogota International Half Marathon,Bogotá,Colombia
Silver,10K run,Metro Men's Race 10km,Prague,Czech Republic
Gold,Marathon,"real,- Berlin-Marathon",Berlin,Germany
Gold,Half marathon,Bupa Great North Run,Newcastle upon Tyne,United Kingdom
Silver,Marathon,Scotiabank Toronto Waterfront Marathon,Toronto,Canada
Silver,Marathon,Köln Marathon präsentiert von der Sparkasse KölnBonn,Cologne,Germany
Gold,Half marathon,Half Marathon Vodafone,Lisbon,Portugal
Gold,Marathon,Bank of America Chicago Marathon,Chicago,United States
Silver,Marathon,Amsterdam Marathon,Amsterdam,Netherlands
Gold,Marathon,Beijing International Marathon,Beijing,CN
Silver,Marathon,31st Intercontinental Istanbul Eurasia Marathon,Istanbul,Turkey
Silver,Half marathon,Classique Internationale Marseille-Cassis,Marseille,France
Gold,Marathon,Commerzbank Frankfurt Marathon,Frankfurt,Germany
Gold,10 miles,Bupa Great South Run,Portsmouth,United Kingdom
Silver,Marathon,Venice Marathon,Venice,Italy
Gold,Half marathon,Airtel Delhi Half Marathon,Delhi,India
Gold,Marathon,ING New York City Marathon,New York City,United States
Silver,Marathon,JoongAng Seoul Marathon,Seoul,South Korea
Silver,Marathon,Athens Classic Marathon,Athens,Greece
Silver,Marathon,Fukuoka Intl Open Marathon Champs,Fukuoka,Japan
Silver,Marathon,Singapore Marathon,Singapore,Singapore
Silver,10K run,San Silvestre Vallecana,Madrid,Spain
