col0,col1
Bagot,Walgett
Baloon,Walgett Shire
Barnbah,Walgett
Barrangeel,Walgett
Bibble,Moree Plains Shire
Bimber,Walgett Shire
Birben,Walgett Shire
Birrah,Walgett Shire
Blackwood,Walgett
Bloxsome,Walgett
Bogra,Walgett Shire
Bon Bon,Walgett Shire
Boorara,Walgett Shire
Boorooma,Walgett Shire
Borah,Walgett
Buddah,Walgett Shire
Buggee,Walgett
Bukkulla,Walgett
Bumble,Walgett Shire
Bundabarrina,Walgett
Bundah,Walgett
Bunghill,Walgett Shire
Burbah,Walgett Shire
Burrabebe,Walgett Shire
Burran Burran,Walgett Shire
Burrandown,Walgett
Burrawandool,Walgett Shire
Calmuldi,Walgett Shire
Cambo Cambo,Walgett Shire
Campbell,Walgett Shire
Collarindabri,Walgett
Combadery,Walgett Shire
Coocoran,Walgett Shire
Coogarah,Walgett Shire
Corona,Walgett Shire
Cowelba,Walgett Shire
Cumborah,Walgett
Cunnianna,Walgett Shire
Currall,Walgett Shire
Daraaba,Walgett
Deripas,Walgett
Dungalear,Walgett Shire
Dungell,Walgett Shire
Dunumbral,Walgett Shire
Durabeba,Walgett Shire
Eales,Walgett Shire
Eckford,Walgett
Elphinstone,Walgett
Eulan,Walgett
Euminbah,Walgett
Eurawin,Walgett Shire
Finch,Walgett Shire
Gamalally,Walgett Shire
Gingie,Walgett Shire
Glatherindi,Walgett Shire
Gooningeri,Walgett Shire
Gooraway,Walgett
Gordon,Walgett Shire
Gorie Gorie,Walgett Shire
Grawin,Walgett
Greaves,Walgett Shire
Green,Walgett Shire
Gummanaldi,Walgett Shire
Gundabloui,Walgett Shire
Gurilly,Walgett Shire
Gurley,Walgett Shire
Hungerford,Walgett
Imbergee,Walgett
Kee Kee,Walgett Shire
Keilmoi,Walgett Shire
Kennedy,Walgett Shire
Kigwigil,Walgett Shire
Kurragong,Walgett Shire
Langloh,Walgett
Llanillo,Walgett
Lolleep,Walgett
Maggarie,Walgett Shire
Manning,Walgett Shire
Mebea,Walgett Shire
Mein,Walgett
Milrea,Walgett Shire
Mogil Mogul,Walgett Shire
Moongulla,Walgett Shire
Mooni,Walgett Shire
Mooroo,Walgett Shire
Moramina,Walgett Shire
Morendah,Walgett
Mullingowba,Walgett Shire
Mundoo,Walgett Shire
Mureabun,Walgett
Narran,Walgett
Peelborough,Walgett Shire
Pine,Walgett Shire
Pinegobla,Walgett
Plumbolah,Walgett Shire
Queega,Walgett Shire
Rose,Walgett
Scott,Walgett Shire
Somerville,Walgett
Talawa,Walgett Shire
Telinebone,Walgett Shire
Tomorrago,Walgett Shire
Townday,Walgett Shire
Tutawa,Walgett
Ulah,Walgett Shire
Urandool,Walgett
Wallah,Walgett Shire
Wallangulla,Walgett Shire
Wammell,Walgett
Waugh,Walgett Shire
Wee Warra,Walgett
Werribilla,Walgett
Wilby Wilby,Walgett
Wilga,Walgett Shire
Wilkie,Walgett
Wooburrabebe,Walgett
Yarraman,Walgett
Yeranbah,Walgett Shire
Yerangle,Walgett
Yourblah,Walgett Shire
