col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
2008,JvO Autosport,Porsche 997 GT3 Cup,OSC   1,Oschersleben (Bode),NÜR   1,Nurburgring,NOR   1,NOR   2,aka.onenote.com,ASS   2,NÜR2   1,Green Hell,LAU   1,LAU   2,SAC   1,SAC   2,NC,0
2010,Abt Sportsline,Audi R8 LMS,Oschersleben (Bode),Oschersleben (Bode),SAC   1,SAC   2,HOC   1,HOC   2,ASS   1,ASS   2,LAU   1,LAU   2,NÜR   1,The Ring,OSC   1,OSC   2,2nd,214
2011,Audi Sport ABT,Audi R8 LMS,OSC   1,OSC   2,SAC   1,SAC   2,ZOL   1,ZOL   2,NÜR   1,NÜR   2,RBR   1,Österreichring,LAU   1,LAU   2,ASS   1,aka.onenote.com,3rd,133
2012,Prosperia uhc speed,Audi R8 LMS Ultra,OSC   1,OSC   2,ZAN   1,Circuit Zandvoort,SAC   1,SAC   2,NÜR   1,NÜR   2,RBR   1,Österreichring,LAU   1,LAU   2,NÜR   1,The Ring,20th,39
2013,Prosperia C. Abt Racing,Audi R8 LMS Ultra,OSC   1,Oschersleben (Bode),Spa-Francorchamps,SPA   2,SAC   1,SAC   2,Nurburgring,Nurburgring,A1-Ring,RBR   2,LAU   1,LAU   2,SVK   1,SVK   2,9th,146
2016,Montaplast by Land-Motorsport,Audi R8 LMS,Oschersleben (Bode),OSC   2,SAC   1,SAC   2,LAU   1,LAU   2,RBR   1,RBR   2,NÜR   1,NÜR   2,ZAN   1,ZAN   2,HOC   1,HOC   2,1st,168
2017,Montaplast by Land-Motorsport,Audi R8 LMS,Oschersleben (Bode),OSC   2,LAU   1,LAU   2,Österreichring,RBR   2,ZAN   1,ZAN   2,NÜR   1,NÜR   2,SAC   1,SAC   2,HOC   1,HOC   2,3rd,120
2018,Montaplast by Land-Motorsport,Audi R8 LMS,Oschersleben (Bode),OSC   2,MST   1,MST   2,Osterreichring,RBR   2,NÜR   1,Nurburgring,ZAN   1,ZAN   2,SAC   1,SAC   2,HOC   1,HOC   2,18th,34
2019,Montaplast by Land-Motorsport,Audi R8 LMS Evo,OSC   1,OSC   2,MST   1,MST   2,RBR   1,Österreichring,ZAN   1,ZAN   2,NÜR   1,NÜR   2,HOC   1,HOC   2,SAC   1,SAC   2,4th,134
2020,Montaplast by Land-Motorsport,Audi R8 LMS Evo,LAU1   1,LAU1   2,Nurburgring,Nurburgring,HOC   1,HOC   2,SAC   1,SAC   2,Österreichring,RBR   2,LAU2   1,LAU2   2,OSC   1,OSC   2,26th,29
2021,Montaplast by Land-Motorsport,Audi R8 LMS Evo,OSC   1,OSC   2,RBR   1,RBR   2,Circuit Zandvoort,ZAN   2,LAU   1,LAU   2,SAC   1,SAC   2,HOC   1,HOC   2,NÜR   1,NÜR   2,1st,199
2022,Montaplast by Land-Motorsport,Audi R8 LMS Evo II,OSC   1,OSC   2,A1-Ring,Österreichring,ZAN   1,ZAN   2,The Ring,The Ring,LAU   1,LAU   2,SAC   1,SAC   2,HOC   1,HOC   2,12th,104
