col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
2014,Dempsey Racing,GTD,Porsche 911 GT America,Porsche 4.0 L Flat-6,2014 Sebring 12 Hours,LGA,DET,WGL,MOS,IND,ELK,VIR,COA,PET,26th,66
2015,Konrad Motorsport,GTD,Porsche 911 GT America,Porsche 4.0 L Flat-6,SEB,LGA,BEL,WGL,LIM,ELK,VIR,AUS,ATL,,61st,1
2016,Konrad Motorsport,GTD,Lamborghini Huracán GT3,Lamborghini 5.2L V10,2016 12 Hours of Sebring,LGA,BEL,WGL,MOS,LIM,ELK,VIR,AUS,PET,50th,22
2017,GRT,GTD,Lamborghini Huracán GT3,Lamborghini 5.2L V10,2017 12 Hours of Sebring,LBH,AUS,BEL,WGL,MOS,LIM,ELK,VIR,LGA,50th,38
2018,GRT Grasser Racing Team,GTD,Lamborghini Huracán GT3,Lamborghini 5.2L V10,SEB,MOH,BEL,WGL,MOS,LIM,ELK,VIR,LGA,PET,45th,35
2019,GRT,GTD,Lamborghini Huracán GT3 Evo,Lamborghini 5.2L V10,SEB,MDO,DET,WGL,MOS,LIM,ELK,VIR,LGA,PET,35th,70
2020,Team WRT,GTD,Audi R8 LMS Evo,Audi 5.2L V10,DAY,SEB,ELK,VIR,ATL,MDO,CLT,PET,LGA,SEB,41st,30
2021,GRT,GTD,Lamborghini Huracán GT3 Evo,Lamborghini 5.2L V10,SEB,MDO,DET,WGL,WGL,LIM,ELK,LGA,LBH,VIR,34th,160
2022,TR3 Racing,GTD Pro,Lamborghini Huracán GT3 Evo,Lamborghini 5.2 L V10,SEB,LBH,LGA,WGL,MOS,LIM,ELK,VIR,PET,,36th,225
2023,Iron Lynx,GTD,Lamborghini Huracán GT3 Evo 2,Lamborghini 5.2 L V10,SEB,LBH,MON,WGL,MOS,LIM,ELK,VIR,IMS,PET,60th,190
