col0,col1,col2,col3,col4,col5
2010-11,Philippine,Talk 'N Text,4-2,San Miguel,"Vincent ""Chot"" Reyes"
2010-11,Commissioner's,Talk 'N Text,4-2,Barangay Ginebra,Chot Reyes
2010-11,Governors',Petron,4-3,Talk 'N Text,Ato Agustin
2011-12,2011-12 PBA Philippine Cup,Talk 'N Text,4-1,Powerade,Chot Reyes
2011-12,Commissioner's,B-Meg,4-3,Talk 'N Text,Earl Timothy Cone
2011-12,Governors',Rain or Shine,4-3,B-Meg,Yeng Guiao
2012-13,Philippine,Talk 'N Text,4-0,Rain or Shine,Norman Black
2012-13,Commissioner's,Alaska,3-0,Barangay Ginebra,Luigi Trillo
2012-13,Governors',San Mig Coffee,4-3,Petron,Tim Cone
2013-14,Philippine,San Mig Coffee,4-2,Rain or Shine,Tim Cone
2013-14,Commissioner's,San Mig Coffee,3-1,Talk 'N Text,Tim Cone
2013-14,Governors',San Mig Coffee,3-2,Rain or Shine,Tim Cone
2014-15,Philippine,San Miguel,4-3,Alaska,Leo Austria
2014-15,Commissioner's,Talk 'N Text,4-3,Rain or Shine,Jong Uichico
2014-15,Governors',San Miguel,4-0,Alaska,Leo Austria
2015-16,Philippine,San Miguel,4-3,Alaska,Leo Austria
2015-16,Commissioner's,Rain or Shine,4-2,Alaska,Yeng Guiao
2015-16,Governors',Barangay Ginebra,4-2,Meralco,Tim Cone
2016-17,Philippine,San Miguel,4-1,Barangay Ginebra,Leo Austria
2016-17,Commissioner's,San Miguel,4-2,TNT,Leo Austria
2016-17,Governors',Barangay Ginebra,4-3,Meralco,Tim Cone
2017-18,Philippine,San Miguel,4-1,Magnolia,Leo Austria
2017-18,Commissioner's,Barangay Ginebra,4-2,San Miguel,Tim Cone
2017-18,Governors',Magnolia,4-2,Alaska,Chito Victolero
2019,Philippine,San Miguel,4-3,Magnolia,Leo Austria
2019,Commissioner's,San Miguel,4-2,TNT,Leo Austria
2019,Governors',Barangay Ginebra,4-1,Meralco,Earl Timothy Cone
2020,Philippine,Barangay Ginebra,4-1,TNT,Tim Cone
2021,Philippine,TNT,4-1,Magnolia,Chot Reyes
2021,Governors',Barangay Ginebra,4-2,Meralco,Earl Timothy Cone
2022-23,Philippine,San Miguel,4-3,TNT,Leo Austria
2022-23,Commissioner's,Barangay Ginebra,4-3,Bay Area,Earl Timothy Cone
2022-23,Governors',TNT,4-2,Barangay Ginebra,Jojo Lastimosa
2023-24,Commissioner's,San Miguel,4-2,Magnolia,Jorge Gallent
2023-24,Philippine,Meralco,4-2,San Miguel,Luigi Trillo
