col0,col1,col2,col3
1990,The Grifters,Miramax Films,Stephen Frears
1990,Henry: Portrait of a Serial Killer,Greycat Films,John McNaughton
1990,The Plot Against Harry,New Yorker Films,Michael Roemer
1990,Pump Up the Volume,New Line Cinema,Allan Moyle
1990,To Sleep with Anger,The Samuel Goldwyn Company,Charles Burnett
1991,Rambling Rose,New Line/Seven Arts,Martha Coolidge
1991,City of Hope,The Samuel Goldwyn Company,John Sayles
1991,Hangin' with the Homeboys,New Line Cinema,Joseph Vasquez
1991,Homicide,Triumph Films,David Mamet
1991,My Own Private Idaho,Fine Line Features,Gus Van Sant
1992,The Player,Fine Line Features,Robert Altman
1992,Bad Lieutenant,Aries Films,Abel Ferrara
1992,Gas Food Lodging,Cineville,Allison Anders
1992,Mississippi Masala,The Samuel Goldwyn Company,Mira Nair
1992,One False Move,I.R.S. Releasing,Carl Franklin
1993,Short Cuts,Fine Line Features,Robert Altman
1993,Equinox,IRS Media,Alan Rudolph
1993,Much Ado About Nothing,The Samuel Goldwyn Company,Kenneth Branagh
1993,Ruby in Paradise,October Films,Victor Nuñez
1993,The Wedding Banquet,The Samuel Goldwyn Company,Ang Lee
1994,Pulp Fiction,Miramax Films,Quentin Tarantino
1994,Bullets over Broadway,Miramax Films,Woody Allen
1994,Eat Drink Man Woman,The Samuel Goldwyn Company,Ang Lee
1994,Mrs. Parker and the Vicious Circle,Fine Line Features,Alan Rudolph
1994,Wes Craven's New Nightmare,New Line Cinema,Wes Craven
1995,Leaving Las Vegas,United Artists,Mike Figgis
1995,The Addiction,October Films,Abel Ferrara
1995,Living in Oblivion,Sony Pictures Classics,Tom DiCillo
1995,Safe,Sony Pictures Classics,Todd Haynes
1995,The Secret of Roan Inish,Sony Pictures Classics,John Sayles
1996,Fargo,Gramercy Pictures,Joel Coen
1996,Dead Man,Miramax Films,Jim Jarmusch
1996,The Funeral,October Films,Abel Ferrara
1996,Lone Star,Sony Pictures Classics,John Sayles
1996,Welcome to the Dollhouse,Sony Pictures Classics,Todd Solondz
1997,The Apostle,October Films,Robert Duvall
1997,Chasing Amy,Miramax Films,Kevin Smith
1997,Loved,MDP Worldwide,Erin Dignam
1997,Ulee's Gold,Orion Pictures,Victor Nuñez
1997,Waiting for Guffman,Sony Pictures Classics,Christopher Guest
1998,Gods and Monsters,Lionsgate Films,Bill Condon
1998,Affliction,Lionsgate Films,Paul Schrader
1998,Claire Dolan,New Yorker Films,Lodge Kerrigan
1998,A Soldier's Daughter Never Cries,October Films,James Ivory
1998,Velvet Goldmine,Miramax Films,Todd Haynes
1999,Election,Paramount Pictures,Alexander Payne
1999,Cookie's Fortune,October Films,Robert Altman
1999,The Limey,Artisan Entertainment,Steven Soderbergh
1999,The Straight Story,Walt Disney Pictures,David Lynch
1999,Sugar Town,October Films/USA Films,Allison Anders and Kurt Voss
