col0,col1,col2,col3,col4
2000   6th,Wu Hu Zang Long,卧虎藏龍 / Wo hu cang long,Ang Lee,Taiwan
2001   7th,Amélie 'Amelie' concludes foreign film festival|California Lutheran,Le fabuleux destin d'Amélie Poulain,Jean-Pierre Jeunet,FR
2001   7th,In the Mood for Love,花樣年華 / Faa yeung nin wa,Wong Kar-wai,Hong Kong
2001   7th,No Man's Land,Ničija zemlja,Danis Tanović,Bosnia and Herzegovina
2002   8th,And Your Mother Too,Y Tu Mamá También,Alfonso Cuarón,Mexico
2002   8th,Monsoon Wedding,Monsoon Wedding,Mira Nair,India
2002   8th,Talk to Her,Hable con ella,Pedro Almodóvar,Spain
2003   9th,The Barbarian Invasions,Les Invasions barbares,Denys Arcand,Canada
2003   9th,City of God,Cidade de Deus,Fernando Meirelles,Brazil
2003   9th,Swimming Pool,Swimming Pool,François Ozon,France
2004   10th,The Sea Inside,Mar adentro,Alejandro Amenábar,Spain
2004   10th,House of Flying Daggers,十面埋伏 / Shi mian mai fu,Zhang Yimou,China
2004   10th,Maria Full of Grace,María llena eres de gracia,Joshua Marston,Colombia
2004   10th,The Motorcycle Diaries,Diarios de motocicleta,Walter Salles,Argentina
2004   10th,A Very Long Engagement,Un long dimanche de fiançailles,Jean-Pierre Jeunet,France
2005   11th,Kung Fu Hustle,功夫 / Kung fu,Stephen Chow,Hong Kong
2005   11th,2046,2046,Kar-Wai Wong,🇭🇰
2005   11th,Hidden,Caché,Michael Haneke,France
2005   11th,Oldboy,올드보이,Park Chan-wook,South Korea
2005   11th,Paradise Now,الجنّة الآن,Hany Abu-Assad,Palestine / France / Germany / Israel / Netherlands
2006   12th,Letters from Iwo Jima,硫黄島からの手紙 / Iwo Jima kara no tegami,Clint Eastwood,USA
2006   12th,Apocalypto,Apocalypto,Mel Gibson,USA
2006   12th,Days of Glory,بلديون / Indigènes,Rachid Bouchareb,France
2006   12th,Pan's Labyrinth,El laberinto del fauno,Guillermo del Toro,Spain
2006   12th,Volver,Volver,Pedro Almodóvar,Spain
2006   12th,Water,वाटर,Deepa Mehta,Canada
2007   13th,The Diving Bell and the Butterfly,Le Scaphandre et le Papillon,Julian Schnabel,France
2007   13th,"4 Months, 3 Weeks and 2 Days","4 luni, 3 săptămâni şi 2 zile",Cristian Mungiu,Romania
2007   13th,La Vie en Rose,La Môme,Olivier Dahan,French Republic
2007   13th,"Lust, Caution","色，戒 / Se, jie",Lee Ang,China Hong Kong
2007   13th,The Orphanage,El orfanato,Juan Antonio Bayona,Spain
2008   14th,Waltz with Bashir,ואלס עם באשיר / Vals im Bashir,Ari Folman,Israel
2008   14th,A Christmas Tale,Un conte de Noël,Arnaud Desplechin,France
2008   14th,Gomorrah,Gomorra,Matteo Garrone,Italy
2008   14th,I've Loved You So Long,Il y a longtemps que je t'aime,Philippe Claudel,the Hexagon
2008   14th,Let the Right One In,Låt den rätte komma in,Tomas Alfredson,Sweden
2008   14th,Mongol,Монгол,Sergei Bodrov,Kazakhstan
2009   15th,Broken Embraces,Los abrazos rotos,Pedro Almodóvar,Spain
2009   15th,Coco Before Chanel,Coco avant Chanel,Anne Fontaine,France
2009   15th,Red Cliff,赤壁 / Chi bi,John Woo,China
2009   15th,Sin Nombre,Sin Nombre,Cary Joji Fukunaga,Mexico / USA
2009   15th,The White Ribbon,Das weiße Band - Eine deutsche Kindergeschichte,Michael Haneke,Germany
