col0,col1,col2,col3
2001,Lantana,Ray Lawrence,Jan Chapman
2001,A Beautiful Mind,Ronald William Howard,"Brian Grazer, Ron Howard"
2001,In the Bedroom,William Todd Field,"Todd Field, Ross Katz, Graham Leader"
2001,Iris,Richard Eyre,"Robert Fox, Scott Rudin"
2002,About Schmidt,Alexander Payne,"Michael Besman, Harry Gittes"
2002,Far from Heaven,Todd Haynes,"Jody Allen, Christine Vachon"
2002,The Hours,Stephen Daldry,"Scott Rudin, Robert Fox"
2002,The Quiet American,Phillip Noyce,"Staffan Ahrenberg, William Horberg"
2003,Mystic River,Clint Eastwood,"Clint Eastwood, Robert Lorenz, Judie G. Hoyt"
2003,House of Sand and Fog,Vadim Perelman,"Vadim Perelman, Michael London"
2003,Lost in Translation,Sofia Coppola,"Ross Katz, Sofia Coppola"
2003,A Mighty Wind,Christopher Guest,Karen Murphy
2003,Seabiscuit,Gary Ross,"Kathleen Kennedy, Frank Marshall, Gary Ross, Jane Sindell"
2004,Ray,Taylor Hackford,"Taylor Hackford, Stuart Benjamin, Howard Baldwin, Karen Baldwin"
2004,The Aviator,Martin Scorsese,"Michael Mann, Sandy Climan, Graham King, Charles Evans Jr."
2004,In Good Company,Paul Weitz,"Lawrence Pressman, Paul Weitz"
2004,Kinsey,Bill Condon,Gail Mutrux
2004,The Notebook,Nick Cassavetes,"Lynn Harris, Mark Johnson"
2004,Sideways,Alexander Payne,Michael London
2005,Capote,Bennett Miller,"Caroline Baron, William Vince, Michael Ohoven"
2005,Cinderella Man,Ronald William Howard,"Ron Howard, Penny Marshall, Brian Grazer"
2005,Crash,Paul Haggis,"Don Cheadle, Paul Haggis, Mark R. Harris, Bobby Moresco, Cathy Schulman, Bob Yari"
2005,"Good Night, and Good Luck",George Clooney,Grant Heslov
2005,Walk the Line,James Mangold,"James Keach, Cathy Konrad"
2006,The Last King of Scotland,Kevin Macdonald,"Charles Steel, Lisa Bryer, Andrea Calderwood"
2006,Aurora Borealis,James C.E. Burke,Scott Disharoon
2006,Flags of Our Fathers,Clint Eastwood,"Clint Eastwood, Robert Lorenz, Steven Spielberg"
2006,The Illusionist,Neil Burger,"Brian Koppelman, David Levien, Michael London, Cathy Schulman, Bob Yari"
2006,Letters from Iwo Jima,Clint Eastwood,"Clint Eastwood, Robert Lorenz, Steven Spielberg"
2006,Little Miss Sunshine,"Jonathan Dayton, Valerie Faris","Marc Turtletaub, David T. Friendly, Peter Saraf, Albert Berger, Ron Yerxa"
2006,The Queen,Stephen Frears,"Andy Harries, Christine Langan, Tracey Seaward"
2007,The Savages,Tamara Jenkins,"Ted Hope, Anne Carey, Erica Westheimer"
2007,Atonement,Joe Wright,"Tim Bevan, Eric Fellner, Paul Webster"
2007,The Bucket List,Rob Reiner,"Craig Zadan, Neil Meron, Alan Greisman, Rob Reiner"
2007,The Kite Runner,Marc Forster,"William Horberg, Walter F. Parkes, Rebecca Yeldham, E. Bennett Walsh"
2007,Michael Clayton,Tony Gilroy,"Sydney Pollack, Steven Samuels, Jennifer Fox, Kerry Orent"
2008,Frost/Nixon,Ronald William Howard,"Brian Grazer, Ron Howard, Tim Bevan, Eric Fellner"
2008,The Curious Case of Benjamin Button,David Fincher,"Ceán Chaffin, Kathleen Kennedy, Frank Marshall"
2008,Doubt,John Patrick Shanley,Scott Rudin
2008,Married Life,Ira Sachs,"Ira Sachs, Steve Golin, Sidney Kimmel, Jawal Nga"
2008,The Wrestler,Darren Aronofsky,"Darren Aronofsky, Scott Franklin"
2009,Invictus,Clint Eastwood,"Clint Eastwood, Lori McCreary, Robert Lorenz, Mace Neufeld"
2009,Crazy Heart,Scott Cooper,"Robert Duvall, Robert Carliner, Judy Cairo, T Bone Burnett, Scott Cooper"
2009,Julie & Julia,Nora Ephron,"Nora Ephron, Laurence Mark, Eric Steel, Amy Robinson"
2009,Up,Pete Docter,Jonas Rivera
2009,Up in the Air,Jason Reitman,"Daniel Dubiecki, Jeffrey Clifford, Ivan Reitman, Jason Reitman"
