col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
2009,apr,Toyota Corolla Axio,GT300,OKA,SUZ,FUJ,SEP,SUG,SUZ,FUJ,AUT,10th,32
2010,apr,Toyota Corolla Axio,GT300,SUZ,OKA,FUJ,SEP,SUG,SUZ,Fuji International Speedway,MOT,5th,47
2011,apr,Toyota Corolla Axio,GT300,OKA,FUJ,SEP,SUG,SUZ,FUJ,AUT,MOT,7th,38
2012,Lexus Team KeePer Kraft,Lexus SC430,GT500,OKA,FUJ,SEP,SUG,SUZ,FUJ,AUT,MOT,13th,28
2013,Le Mans Ltd.,Lexus SC430,GT500,OKA,Fuji International Speedway,SEP,SUG,SUZ,FUJ,AUT,MOT,5th,52
2014,Lexus Team LeMans ENEOS,Lexus RC F,GT500,OKA,FUJ,AUT,SUG,FUJ,SUZ,BUR,MOT,7th,44
2015,Lexus Team LeMans ENEOS,Lexus RC F,GT500,OKA,Fuji International Speedway,CHA,FUJ,SUZ,SUG,AUT,MOT,9th,32
2016,Lexus Team WedsSport BANDOH,Lexus RC F,GT500,OKA,Fuji International Speedway,SUG,Fuji International Speedway,SUZ,CHA,MOT,MOT,4th,58
2017,Lexus Team WedsSport BANDOH,Lexus LC 500,GT500,OKA,FUJ,AUT,SUG,FUJ,SUZ,CHA,MOT,14th,22
2018,Lexus Team WedsSport BANDOH,Lexus LC 500,GT500,OKA,Fuji International Speedway,SUZ,CHA,FUJ,SUG,AUT,MOT,11th,32
2019,Lexus Team WedsSport BANDOH,Lexus LC 500,GT500,OKA   ‡,Fuji International Speedway,SUZ,Buriram International Circuit,FUJ,SUG,AUT,MOT,11th,27.5
2020,TGR Team WedsSport BANDOH,Toyota GR Supra GT500,GT500,FUJ,FUJ,SUZ,MOT,Fuji International Speedway,SUZ,MOT,FUJ,17th,10
2021,TGR Team WedsSport BANDOH,Toyota GR Supra GT500,GT500,OKA,FUJ,MOT,SUZ,SUG,AUT,MOT,Fuji International Speedway,11th,36
2022,TGR Team WedsSport BANDOH,Toyota GR Supra GT500,GT500,OKA,Fuji International Speedway,SUZ,FUJ,SUZ,SUG,AUT,MOT,11th,28.5
2023,TGR Team WedsSport BANDOH,Toyota GR Supra GT500,GT500,OKA,FUJ,SUZ,Fuji International Speedway,SUZ,SUG,AUT,MOT,12th,30
2024,TGR Team WedsSport BANDOH,Toyota GR Supra GT500,GT500,OKA,Fuji International Speedway,SUZ,Fuji International Speedway,SUZ,SUG,AUT,MOT,,
