col0,col1,col2,col3
1996,Cuba Gooding Jr.,Jerry Maguire,Rod Tidwell
1996,Allen Stewart Konigsberg,Everyone Says I Love You,Joe Berlin
1996,Danny DeVito,Matilda,Harry Wormwood
1996,Gene Hackman,The Birdcage,Kevin Keeley
1996,Ian McKellen,Cold Comfort Farm,Amos Starkadder
1997,Rupert Everett,My Best Friend's Wedding,George Downes
1997,Mark Addy,The Full Monty,Dave Horsefall
1997,Cuba Gooding Jr.,As Good as It Gets,Frank Sachs
1997,Greg Kinnear,As Good as It Gets,Simon Bishop
1997,Rip Torn,Men in Black,Agent Zed
1998,Bill Murray,Rushmore,Herman Blume
1998,Jeff Daniels,Pleasantville,Bill Johnson
1998,John Goodman,The Big Lebowski,Walter Sobchak
1998,Bill Nighy,Still Crazy,Ray Simms
1998,Geoffrey Rush,Shakespeare in Love,Philip Henslowe
1999,William H. Macy,"Happy, Texas",Chappy Dent
1999,Dan Hedaya,Dick,Richard Nixon
1999,Rhys Ifans,Notting Hill,Spike
1999,Bill Murray,Cradle Will Rock,Tommy Crickshaw
1999,Ving Rhames,Bringing Out the Dead,Marcus
1999,Alan Rickman,Dogma,Metatron
2000,Willem Dafoe,Shadow of the Vampire,Max Schreck
2000,Philip Seymour Hoffman,Almost Famous,Lester Bangs
2000,Morgan Freeman,Nurse Betty,Charlie
2000,Tim Blake Nelson,"O Brother, Where Art Thou?",Delmar O'Donnell
2000,Brad Pitt,Snatch.,Mickey O'Neil
2000,Owen Wilson,Shanghai Noon,Roy O'Bannon
2001,Jim Broadbent,Moulin Rouge!,Harold Zidler
2001,Steve Buscemi,Ghost World,Seymour
2001,Hugh Grant,Bridget Jones's Diary,Daniel Cleaver
2001,Carl Reiner,Ocean's Eleven,Saul Bloom
2001,Ben Stiller,The Royal Tenenbaums,Chas Tenenbaum
2001,Owen Wilson,The Royal Tenenbaums,Eli Cash
2002,Michael Constantine,My Big Fat Greek Wedding,Kostas Gus Portokalos
2002,Chris Cooper,Adaptation.,John Laroche
2002,Jake Gyllenhaal,The Good Girl,Thomas Holden Worther
2002,Philip Seymour Hoffman,Punch-Drunk Love,Dean Trumbell
2002,Nicky Katt,Full Frontal,Adolf Hitler
2002,John C. Reilly,The Good Girl,Phil Last
2003,Eugene Levy,A Mighty Wind,Mitch Cohen
2003,Johnny Depp,Once Upon a Time in Mexico,Sheldon Jeffrey Sands (Eyeless Jack)
2003,Bill Nighy,Love Actually,Billy Mack
2003,Sam Rockwell,Matchstick Men,Frank Mercer
2003,Geoffrey Rush,Pirates of the Caribbean: The Curse of the Black Pearl,Hector Barbossa
2003,Thomas Sangster,Love Actually,Sam
2004,Thomas Haden Church,Sideways,Jack Cole
2004,Joseph Fiennes,The Merchant of Venice,Bassanio
2004,Jeremy Irons,Being Julia,Michael Gosselyn
2004,Peter Sarsgaard,Garden State,Mark
2004,Mark Wahlberg,I Heart Huckabees,Tommy Corn
2004,Patrick Wilson,The Phantom of the Opera,Viscount Raoul de Chagny
2005,Val Kilmer,Kiss Kiss Bang Bang,Gay Perry van Shrike
2005,Tom Arnold,Happy Endings,Frank McKee
2005,Corbin Bernsen,Kiss Kiss Bang Bang,Harlan Dexter
2005,Steve Coogan,Happy Endings,Charley Peppitone
2005,Craig T. Nelson,The Family Stone,Kelly Stone
2005,Jason Schwartzman,Shopgirl,Jeremy
