col0,col1
Yosef Almogi,Mifleget poʻale Erets-Yiśraʼel
Zalman Aran,Mifleget poʻale Erets-Yiśraʼel
Meir Argov,Mifleget poʻale Erets-Yiśraʼel
Ami Assaf,Mifleget poʻale Erets-Yiśraʼel
David Bar-Rav-Hai,Mifleget poʻale Erets-Yiśraʼel
Moshe Baram,Mapai
Aharon Becker,Mifleget poʻale Erets-Yiśraʼel
David Ben-Gurion,Mapai
Gideon Ben-Yisrael,Mapai
Herzl Berger,Mapai
Menachem Cohen,Mapai
Yitzhak Coren,Mifleget poʻale Erets-Yiśraʼel
Moshe Dayan,Mapai
Amos Degani,Mapai
Abba Eban,Mapai
Yosef Efrati,Mapai
Levi Eshkol,Mapai
Yosef Fischer,Mapai
Akiva Govrin,Mifleget poʻale Erets-Yiśraʼel
Yisrael Guri,Mifleget poʻale Erets-Yiśraʼel
David Hacohen,Mifleget poʻale Erets-Yiśraʼel
Asher Hassin,Mapai
Avraham Herzfeld,Mapai
Beba Idelson,Mapai
Yisrael Kargman,Mapai
Yona Kesse,Mapai
Hannah Lamdan,Mapai
Pinhas Lavon,Mifleget poʻale Erets-Yiśraʼel
Kadish Luz,Mifleget poʻale Erets-Yiśraʼel
Golda Meir,Mapai
Mordechai Namir,Mapai
Dvora Netzer,Mifleget poʻale Erets-Yiśraʼel
Baruch Osnia,Mapai
Shimon Peres,Mapai
David Petel,Mapai
Pinhas Sapir,Mapai
Moshe Sardines,Mifleget poʻale Erets-Yiśraʼel
Moshe Sharett,Mapai
Bechor-Shalom Sheetrit,Mapai
Shmuel Shoresh,Mapai
Yizhar Smilansky,Mifleget poʻale Erets-Yiśraʼel
Rachel Tzabari,Mifleget poʻale Erets-Yiśraʼel
Jenia Tversky,Mifleget poʻale Erets-Yiśraʼel
Yisrael Yeshayahu,Mapai
Giora Yoseftal,Mifleget poʻale Erets-Yiśraʼel
Haim Yosef Zadok,Mapai
Mordechai Zar,Mapai
Aryeh Altman,Herut
Binyamin Arditi,Herut
Binyamin Avniel,Herut
Yohanan Bader,Herut
Menachem Begin,Herut
Aryeh Ben-Eliezer,Herut
Haim Cohen-Meguri,Herut
Haim Landau,Herut
Nahum Levin,Herut
Eliyahu Meridor,Herut
Ya'akov Meridor,Herut
Mordechai Olmert,Herut
Esther Raziel-Naor,Herut
Shabtai Shikhman,Herut
Yosef Shofman,Herut
Eliezer Shostak,Herut
Shimshon Unichman,Herut
Shlomo-Yisrael Ben-Meir,National Religious Party
Yosef Burg,National Religious Party
Michael Hasani,National Religious Party
Aharon-Ya'akov Greenberg,National Religious Party
Mordechai Nurock,National Religious Party
Yitzhak Rafael,National Religious Party
Tova Sanhadray,National Religious Party
Binyamin Shahor,National Religious Party
Haim-Moshe Shapira,National Religious Party
Moshe Unna,National Religious Party
Zerach Warhaftig,National Religious Party
Frija Zoaretz,National Religious Party
Yisrael Barzilai,Mapam
Mordechai Bentov,Mapam
Ya'akov Hazan,Mapam
Yussuf Hamis,Mapam
Ya'akov Riftin,Mapam
Hanan Rubin,Mapam
Emma Talmi,Mapam
Meir Ya'ari,Mapam
Haim Yehuda,Mapam
Zalman Abramov,General Zionists
Peretz Bernstein,General Zionists
Ezra Ichilov,General Zionists
Moshe Nissim,General Zionists
Elimelekh Rimalt,General Zionists
Yosef Sapir,General Zionists
Yosef Serlin,General Zionists
Zvi Zimmerman,General Zionists
Yigal Allon,Ahdut HaAvoda
Yisrael Bar-Yehuda,Ahdut HaAvoda
Yitzhak Ben-Aharon,Ahdut HaAvoda
Mordechai Bibi,Ahdut HaAvoda
Moshe Carmel,Ahdut HaAvoda
Yisrael Galili,Ahdut HaAvoda
Nahum Nir,Ahdut HaAvoda
Kalman Kahana,Religious Torah Front
Ya'akov Katz,Religious Torah Front
Yitzhak-Meir Levin,Religious Torah Front
Shlomo Lorincz,Religious Torah Front
Binyamin Mintz,Religious Torah Front
Menachem Porush,Religious Torah Front
Idov Cohen,Progressive Party
Yitzhak Golan,Progressive Party
Yizhar Harari,Progressive Party
Shimon Kanovitch,Progressive Party
Moshe Kol,Progressive Party
Pinhas Rosen,Progressive Party
Shmuel Mikunis,Maki
Tawfik Toubi,Maki
Meir Vilner,Maki
Ahmed A-Dahar,Progress and Development
Elias Nakhleh,Progress and Development
Labib Hussein Abu Rokan,Cooperation and Brotherhood
Yussef Diab,Cooperation and Brotherhood
Mahmud A-Nashaf,Agriculture and Development
