col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
Ashfield,Haynes,David Francis Haynes,Hoon,Hoon,Hoon,Geoffrey William Hoon,De Piero,De Piero,De Piero,De Piero,De Piero,De Piero,Anderson,30p Lee,→
Bassetlaw,Joseph William Ashton,Joseph William Ashton,Ashton,Ashton,Mann,Mann,Mann,Mann,Mann,Mann,Mann,Mann,Clarke-Smith,Clarke-Smith,White
Broxtowe,Sir James Theodore Lester,Lester,Lester,Palmer,Palmer,Palmer,Soubry,Anna Mary Soubry,Anna Mary Soubry,Soubry,Soubry,→,Darren George Henry,Henry,Campbell
Gedling,Holland,Mitchell,Andrew John Bower Mitchell,Coaker,Coaker,Coaker,Coaker,Coaker,Coaker,Coaker,Coaker,Coaker,Thomas William Randall,Thomas William Randall,Payne
Mansfield,Concannon,Sir Joseph Alan Meale,Sir Joseph Alan Meale,Meale,Meale,Meale,Sir Joseph Alan Meale,Meale,Meale,Meale,Benjamin David Bradley,Benjamin David Bradley,Bradley,Benjamin David Bradley,Yemm
Newark,Alexander,Alexander,Alexander,Jones,Mercer,Mercer,Mercer,→,Robert Edward Jenrick,Robert Edward Jenrick,Robert Edward Jenrick,Robert Edward Jenrick,Jenrick,Jenrick,Jenrick
Nottingham East,Knowles,Knowles,Heppell,Heppell,Heppell,Heppell,Leslie,Leslie,Leslie,Leslie,Leslie,Christopher Leslie,Whittome,Whittome,Nadia Edith Whittome
Nottingham North / & Kimberley ('24),Sir Richard Geoffrey James Ottaway,Allen,Allen,Graham William Allen,Graham William Allen,Allen,Graham William Allen,Allen,Allen,Graham William Allen,Norris,Norris,Norris,Norris,Norris
Nottingham South,Brandon-Bravo,Martin Maurice Brandon-Bravo,Simpson,Simpson,Simpson,Alan John Simpson,Lilian Rachel Greenwood,Greenwood,Lilian Rachel Greenwood,Greenwood,Greenwood,Lilian Rachel Greenwood,Lilian Rachel Greenwood,Greenwood,Greenwood
Rushcliffe,Clarke,Ken Clarke,Ken Clarke,Clarke,Ken Clarke,Ken Clarke,Clarke,Kenneth Harry Clarke,Kenneth Harry Clarke,Kenneth Harry Clarke,Clarke,→,Edwards,Ruth Rosamond Edwards,Naish
Sherwood / Sherwood Forest (2024),Andrew Struthers Stewart,Stewart,Simon Patrick Tipping,Simon Patrick Tipping,Tipping,Tipping,Spencer,Mark Steven Spencer,Mark Steven Spencer,Mark Steven Spencer,Spencer,Spencer,Spencer,Mark Steven Spencer,Welsh
