col0,col1,col2,col3,col4,col5,col6
1,17 March 1972,1972 Gulf Cup of Nations,"Prince Faisal bin Fahd Stadium, Riyadh",United Arab Emirates,1-0,Qatar
2,29 March 1974,1974 Gulf Cup of Nations,"Al Kuwait Sports Club Stadium, Kaifan",United Arab Emirates,1-1,Qatar
3,29 March 1976,Arabian Gulf Cup,"Khalifa International Stadium, Doha",Qatar,3-1,United Arab Emirates
4,29 March 1979,1979 Gulf Cup of Nations,"Al-Shaab Stadium, Baghdad",Qatar,1-0,United Arab Emirates
5,17 September 1980,1980 AFC Asian Cup,"Sabah Al Salem Stadium, Kuwait City",Qatar,2-1,United Arab Emirates
6,19 March 1982,6th Arabian Gulf Cup,"Zayed Sports City Stadium, Abu Dhabi",United Arab Emirates,1-0,Qatar
7,12 March 1984,7th Arabian Gulf Cup,"Royal Oman Police Stadium, Muscat",United Arab Emirates,1-0,Qatar
8,7 April 1984,8th Arabian Gulf Cup,"Bahrain National Stadium, Manama",Qatar,3-2,United Arab Emirates
9,7 April 1988,9th Arabian Gulf Cup,"King Fahd International Stadium, Riyadh",Qatar,2-1,United Arab Emirates
10,7 April 1988,1988 AFC Asian Cup,"Suheim bin Hamad Stadium, Doha",Qatar,2-1,United Arab Emirates
11,24 October 1989,1990 FIFA World Cup Qualification,"National Stadium, Singapore",Qatar,1-1,United Arab Emirates
12,27 February 1990,10th Arabian Gulf Cup,"Al-Sadaqua Walsalam Stadium, Kuwait City",Qatar,0-0,United Arab Emirates
13,14 May 1992,Friendly,"Zayed Sports City Stadium, Abu Dhabi",United Arab Emirates,1-0,Qatar
14,6 December 1992,11th Arabian Gulf Cup,"Khalifa International Stadium, Doha",Qatar,1-0,United Arab Emirates
15,9 October 1994,1994 Asian Games,"Bingo Stadium, Onomichi",United Arab Emirates,2-2,Qatar
16,3 November 1994,12th Arabian Gulf Cup,"Zayed Sports City Stadium, Abu Dhabi",United Arab Emirates,2-0,Qatar
17,16 October 1996,13th Arabian Gulf Cup,"Sultan Qaboos Sports Complex, Muscat",United Arab Emirates,0-1,Qatar
18,29 September 1998,1998 Arab Nations Cup,"Jassim bin Hamad Stadium, Doha",Qatar,2-1,United Arab Emirates
19,5 November 1998,14th Arabian Gulf Cup,"Bahrain National Stadium, Manama",Qatar,0-0,United Arab Emirates
20,31 August 2001,2002 FIFA World Cup qualification,"Zayed Sports City Stadium, Abu Dhabi",United Arab Emirates,0-2,Qatar
21,4 October 2001,2002 FIFA World Cup qualification,"Khalifa International Stadium, Doha",Qatar,1-2,United Arab Emirates
22,20 January 2002,15th Arabian Gulf Cup,"King Fahd International Stadium, Riyadh",Qatar,2-0,United Arab Emirates
23,3 January 2004,16th Arabian Gulf Cup,"Al-Sadaqua Walsalam Stadium, Kuwait City",Qatar,0-0,United Arab Emirates
24,10 December 2004,17th Arabian Gulf Cup,"Khalifa International Stadium, Doha",Qatar,2-2,United Arab Emirates
25,16 July 2007,2007 AFC Asian Cup,"Quân khu 7 Stadium, Ho Chi Minh City",Qatar,1-2,United Arab Emirates
26,8 January 2009,19th Arabian Gulf Cup,"Royal Oman Police Stadium, Muscat",Qatar,0-0,United Arab Emirates
27,25 August 2011,Friendly,"Tahnoun bin Mohammed Stadium, Al Ain",United Arab Emirates,3-1,Qatar
28,25 August 2013,21st Arabian Gulf Cup,"Khalifa Sports City Stadium, Isa Town",United Arab Emirates,3-1,Qatar
29,11 January 2015,2015 AFC Asian Cup,"Canberra Stadium, Canberra",United Arab Emirates,4-1,Qatar
30,29 January 2019,2019 AFC Asian Cup,"Mohammed bin Zayed Stadium, Abu Dhabi",United Arab Emirates,0-4,Qatar
31,2 December 2019,24th Arabian Gulf Cup,"Khalifa International Stadium, Doha",Qatar,4-2,United Arab Emirates
32,10 December 2021,2021 FIFA Arab Cup,"Al Bayt Stadium, Al Khor",Qatar,5-0,United Arab Emirates
33,13 January 2023,25th Arabian Gulf Cup,"Al-Minaa Olympic Stadium, Basra",Qatar,1-1,United Arab Emirates
