col0,col1,col2,col3
1992,Shakhtar Donetsk,Lokomotyv Kharkiv,Azot Cherkasy
1992-93,Shakhtar Donetsk,Dynamo Luhansk,Torpedo Odesa
1993-94,Lokomotyv Kharkiv,Lokomotyv Kyiv,Torpedo Odesa
1994-95,Lokomotyv Kyiv,Lokomotyv Kharkiv,Shakhtar Donetsk
1995-96,Lokomotyv Kharkiv,Dorozhnyk-SKA Odesa,Azot Cherkasy
1996-97,Dorozhnyk-SKA Odesa,Azot Cherkasy,Stirol Horlivka
1997-98,Dorozhnyk-SKA Odesa,Dynamo Luhansk,Azot Cherkasy
1998-99,Dorozhnyk-SKA Odesa,Azot Cherkasy,VPS Vinnytsia
1999-00,Azot Cherkasy,Dorozhnyk-SKA Odesa,Lokomotyv Kharkiv
2000-01,Lokomotyv Kharkiv,Azot Cherkasy,Yurydychna Akademiya
2001-02,Lokomotyv Kharkiv,Azot Cherkasy,Yurydychna Akademiya
2002-03,Lokomotyv Kharkiv,Yurydychna Akademiya,Azot-Spartak Cherkasy
2003-04,Lokomotyv Kharkiv,Yurydychna Akademiya,Markokhim Mariupol
2004-05,Lokomotyv Kharkiv,Markokhim Mariupol,Azot-Spartak Cherkasy
2005-06,Azot-Spartak Cherkasy,Krymsoda Krasnoperekopsk,Markokhim Mariupol
2006-07,Lokomotyv Kharkiv,Azot-Spartak Cherkasy,Azovstal Mariupol
2007-08,Lokomotyv Kyiv,Lokomotyv Kharkiv,Impexahro Sport Cherkasy
2008-09,Lokomotyv Kharkiv,Budivelnyk-Dynamo-Bukovyna Chernivtsi,Krymsoda Krasnoperekopsk
2009-10,Lokomotyv Kharkiv,Krymsoda Krasnoperekopsk,Impexahro Sport Cherkasy
2010-11,Lokomotyv Kharkiv,Impexahro Sport Cherkasy,Loko-Ekspres Kharkiv
2011-12,Lokomotyv Kharkiv,Krymsoda Krasnoperekopsk,Favoryt Lubny
2012-13,Lokomotyv Kharkiv,Krymsoda Krasnoperekopsk,Favoryt Lubny
2013-14,Lokomotyv Kharkiv,Khimprom Sumy,Favoryt Lubny
2014-15,Lokomotyv Kharkiv,Khimprom Sumy,Yurydychna Akademiya
2015-16,Lokomotyv Kharkiv,Dnipro,Yurydychna Akademiya
2016-17,Lokomotyv Kharkiv,Barkom-Kazhany,Vinnytsya
2017-18,Barkom-Kazhany,Lokomotyv Kharkiv,Novator Khmelnytskyi
2018-19,Barkom-Kazhany,Sertse Podillia,MKhP-Vinnytsia Trostianets
2019-20,Barkom-Kazhany,MKhP-Vinnytsia Trostianets,Sertse Podillia
2020-21,Barkom-Kazhany,Epicentr-Podoliany,Yurydychna Akademiya
2021-22,Epicentr-Podoliany,Barkom-Kazhany,Prometey Dnipro
2022-23,Prometey Dnipro,Epicentr-Podoliany,VC Yurydychna Akademiya Kharkiv
2023-24,Prometey Dnipro,Epicentr-Podoliany,Zhytychi Zhytomyr
