col0,col1
Aharon Abuhatzira,Likud Party
Shaul Amor,Likud
Moshe Arens,Likud (politická strana)
Benny Begin,Likud
Eliyahu Ben-Elissar,Likud-National Liberal Movement
Yigal Cohen,Likud
Haim Corfu,Likud
Sarah Doron,Likud
Michael Eitan,Likud
Ovadia Eli,Likud (politická strana)
Gideon Gadot,Likud
Yosef Goldberg,Likud
Pinchas Goldstein,Likud-National Liberal Movement
Pesach Grupper,Likud
Tzachi Hanegbi,Likud
Yigal Hurvitz,Likud
Moshe Katsav,Likud
Uzi Landau,Likud-National Liberal Movement
David Levy,Likud
Uriel Lynn,Likud
David Magen,Likud-National Liberal Movement
Joshua Matza,Likud
Dan Meridor,Likud (politická strana)
Roni Milo,Likud (politická strana)
Yitzhak Moda'i,Likud
Benjamin Netanyahu,Likud
Moshe Nissim,Likud
Ehud Olmert,Likud
Gideon Patt,Likud
Yehuda Perah,Likud
Reuven Rivlin,Likud Party
Yehoshua Saguy,Likud
Ya'akov Shamai,Likud-National Liberal Movement
Yitzhak Shamir,Likud-National Liberal Movement
Avraham Sharir,Likud
Ariel Sharon,Likud (politická strana)
Dov Shilansky,Likud-National Liberal Movement
Zalman Shoval,Consolidation
Dan Tichon,Likud
Ariel Weinstein,Likud (politická strana)
Nava Arad,Alignment
Shoshana Arbeli-Almozlino,Alignment
Haim Bar-Lev,Alignment
Michael Bar-Zohar,Alignment
Uzi Baram,Alignment
Yossi Beilin,Alignment
Binyamin Ben-Eliezer,Alignment
Eli Ben-Menachem,Alignment
Avraham Burg,Alignment
Ra'anan Cohen,Alignment
Eli Dayan,Alignment
Rafael Edri,Alignment
Aryeh Eliav,Alignment
Gedalia Gal,Alignment
Micha Goldman,Alignment
Efraim Gur,Alignment
Mordechai Gur,Alignment
Michael Harish,Alignment
Shlomo Hillel,Alignment
Avraham Katz-Oz,Alignment
Israel Kessar,Alignment
David Libai,Alignment
Nawaf Massalha,Alignment
Hagai Meirom,Alignment
Ora Namir,Alignment
Yitzhak Navon,Alignment
Shimon Peres,Alignment
Amir Peretz,Alignment
Yitzhak Rabin,Alignment
Haim Ramon,Alignment
Moshe Shahal,Alignment
Shimon Shetreet,Alignment
Avraham Shochat,Alignment
Edna Solodar,Alignment
Ya'akov Tzur,Alignment
Shevah Weiss,Alignment
Ezer Weizman,Alignment
Gad Yaacobi,Alignment
Emanuel Zisman,Alignment
Yosef Azran,Shas
Shlomo Dayan,Shas
Aryeh Gamliel,Shas
Yair Levy,Shas
Yitzhak Peretz,Shas
Rafael Pinhasi,Shas
Moshe Ze'ev Feldman,Agudat Yisrael
Shmuel Halpert,Agudat Yisrael
Eliezer Mizrahi,Agudat Yisrael
Menachem Porush,Agudat Yisrael
Avraham Verdiger,Agudat Yisrael
Shulamit Aloni,Ratz
Ran Cohen,Ratz
Yossi Sarid,Ratz
Mordechai Virshubski,Ratz
David Zucker,Ratz
Yigal Bibi,National Religious Party
Zevulun Hammer,National Religious Party
Yitzhak Levy,National Religious Party
Hanan Porat,National Religious Party
Avner Shaki,National Religious Party
Charlie Biton,Hadash
Tawfik Toubi,Hadash
Meir Vilner,Hadash
Tawfiq Ziad,Hadash
Geula Cohen,Tehiya
Yuval Ne'eman,Tehiya
Eliezer Waldman,Tehiya
Hussein Faris,Mapam
Haim Oron,Mapam
Yair Tzaban,Mapam
Rafael Eitan,Tzomet
Yoash Tzidon,Tzomet
Yair Sprinzak,Moledet
Rehavam Ze'evi,Moledet
Avraham Poraz,Shinui
Amnon Rubinstein,Shinui
Moshe Gafni,Degel HaTorah
Avraham Ravitz,Degel HaTorah
Mohammed Miari,Progressive List for Peace
Abdulwahab Darawshe,Arab Democratic Party
