col0,col1,col2
Agra,Ajay Singh,Janata Dal
Akbarpur (SC),Ram Awadh,Janata Dal
Akbarpur (SC),Mayawati,Bahujan Samaj Party
Aligarh,Satya Pal Malik,Janata Dal
Allahabad,Janeshwar Mishra,Janata Dal
Amethi,Rajiv Gandhi,Indian National Congress (I)
Amroha,Har Govind Singh,Janata Dal
Aonla,Rajveer Singh,Bharatiya Janata Party
Azamgarh,Ram Krishna Yadav,Bharatiya Janata Party
Baghpat,Ajit Singh,Rashtriya Lok Dal
Bahraich,Arif Mohammed Khan,Indian National Congress
Bahraich,Rudrasen Chaudhary,Bharatiya Janata Party
Ballia,Chandra Sekhar,Samajwadi Janata Party (Rashtriya)
Balrampur,Fasi-ur-Rehman Munnan Khan,Independent
Banda,Ram Sajeevan,Bahujan Samaj Party
Bansgaon (SC),Mahabir Prasad,Indian National Congress
Barabanki (SC),Ram Sagar,Janata Dal
Bareilly,Santosh Kumar Gangwar,Bharatiya Janata Party
Basti (SC),Kalpnath Sonkar,Janata Dal
Bilhaur,Arun Kumar Nehru,Janata Dal
Bulandshahar,Sarwar Hussain,Janata Dal
Chail (SC),Ram Nihore Rakesh,Indian National Congress (I)
Chandauli,Kailash Nath Singh Yadav,Janata Dal
Deoria,Raj Mangal Pande,Janata Dal
Domariaganj,Brij Bhushan Tiwari,Janata Dal
Etah,Mahadeepak Singh Shakya,Bharatiya Janata Party
Etawah,Ram Singh Shakya,Janata Dal
Faizabad,Mitrasen Yadav,Communist Party of India
Farrukhabad,Santosh Bhartiya,Janata Dal
Fatehpur,Vishwanath Pratap Singh,Janata Dal
Firozabad (SC),Ramji Lal Suman,Janata Dal
Garhwal,Chandra Mohan Singh Negi,Janata Dal
Ghatampur (SC),Keshari Lal,Janata Dal
Ghazipur,Jagdish Singh Kushwaha,Independent
Ghosi,Kalpnath Rai,Samata Party
Gonda,Anand Singh,Indian National Congress (I)
Gorakhpur,Mahant Avedyanath,Bharatiya Janata Party
Hamirpur,Ganga Charan Rajput,Bharatiya Janata Party
Hapur,Krishna Chandra Tyagi,Janata Dal
Hardoi (SC),Chand Ram,Janata Dal
Hardoi (SC),Parmai Lal,Janata Dal
Hardwar (SC),Jag Pal Singh,Indian National Congress (I)
Hathras (SC),Dr. Bengali Singh,Janata Dal
Jalaun (SC),Ramsewak Bhatia,Janata Dal
Jalesar,Choudhary Multan Singh,Janata Dal
Jaunpur,Dutt Yadvendra,Bharatiya Janata Party
Jhansi,Rajendra Agnihotri,Bharatiya Janata Party
Jhansi,Uma Bharti,Bharatiya Janata Party
Kairana,Harpal Singh Panwar,Janata Dal
Kannauj,Chhotey Singh Yadav,Janata Dal
Kanpur,Smt. Subhashini Ali,Communist Party of India (Marxist)
Khalilabad,Ram Prasad Choudhary,Janata Dal
Kheri,Usha Verma,Indian National Congress (I)
Khurja (SC),Dr. Bhagwan Dass Rathor,Janata Dal
Lalganj (SC),Ram Dhan,Janata Dal
Lucknow,Mandhata Singh,Janata Dal
Machhlishahr,Sheo Sharan Verma,Janata Dal
Maharajganj,Harsh Vardhan,Indian National Congress
Mainpuri,Uday Pratap Singh,Janata Party
Mathura,Manvendra Singh,Indian National Congress
Meerut,Harish Pal,Janata Dal
Mirzapur,Yusuf Beg,Janata Dal
Misrikh (SC),Ram Lal Rahi,Indian National Congress (I)
Mohanlalganj (SC),Sarju Prasad Saroj,Janata Dal
Moradabad,Haji Ghulam Mohd. Khan,Janata Dal
Padrauna,Baleshwar Yadav,Janata Dal
Phulpur,Ram Pujan Patel,Janata Dal
Pilibhit,Maneka Gandhi,Bharatiya Janata Party
Pratapgarh,Dinesh Singh,Indian National Congress (I)
Raebareli,Sheila Kaul,Indian National Congress (I)
Rampur,Zulfiquar Ali Khan,Indian National Congress (I)
Robertsganj (SC),Subedar Prasad,Bharatiya Janata Party
Saharanpur,Rasheed Masood,Samajwadi Party
Saidpur (SC),Ram Sagar,Bharatiya Janata Party
Salempur,Hari Kewal Prasad,Samajwadi Party
Sambhal,Prof.(Dr.) Sripal Singh Yadav,Janata Dal
Shahabad,Dharam Gaj Singh,Indian National Congress (I)
Shahjahanpur,Satyapal Singh Yadav,Bharatiya Janata Party
Sitapur,Dr. Rajendra Kumari Bajpai,Indian National Congress (I)
Sultanpur,Ram Singh,Janata Dal
Tehri Garhwal,Brahm Dutt,Indian National Congress (I)
Unnao,Anwar Ahmad,Janata Dal
Varanasi,Anil Kumar Shastri,Janata Dal
