col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
Broxbourne,Roe,Marion Audrey Roe,Roe,Dame Marion Audrey Roe,Roe,Charles Ashley Rupert Walker,Walker,Walker,Walker,Walker,Charles Ashley Rupert Walker,Cocking
West Herts / Hemel Hempstead (1997),Jones,Jones,Robert Brannock Jones,McWalter,McWalter,Penning,Penning,Penning,Penning,Penning,Penning,Taylor
Hertford & Stortford,Petrie Bowen Wells,Wells,Wells,Petrie Bowen Wells,Michael Mark Prisk,Prisk,Prisk,Michael Mark Prisk,Prisk,Michael Mark Prisk,Marson,Dean
North Herts / NE Herts (1997),I. H. Stewart,Stewart,Sir Oliver Heald,Sir Oliver Heald,Heald,Sir Oliver Heald,Sir Oliver Heald,Heald,Sir Oliver Heald,Heald,Heald,Hinchliff
Hertfordshire SW,Page,Page,Page,Richard Lewis Page,Richard Lewis Page,David Michael Gauke,David Michael Gauke,David Michael Gauke,David Michael Gauke,David Michael Gauke,Mohindra,Mohindra
Hertsmere,Parkinson,Parkinson,William James Clappison,William James Clappison,Clappison,Clappison,Clappison,Oliver James Dowden,Oliver James Dowden,Dowden,Oliver James Dowden,Dowden
Hitchin & Harpenden / Hitchin (2024) 1,,,,"Peter Bruce Lilley, Baron Lilley",Lilley,Lilley,Lilley,Lilley,Abimbola Afolami,Abimbola Afolami,Afolami,Strathern
St Albans,Lilley,Lilley,Lilley,Pollard,Pollard,Main,Main,Main,Anne Margaret Main,Anne Margaret Main,Cooper,Cooper
Stevenage,Wood,Timothy John Rogerson Wood,Wood,Daphne Barbara Follett,Daphne Barbara Follett,Follett,McPartland,Stephen Anthony McPartland,Stephen Anthony McPartland,McPartland,Stephen Anthony McPartland,Bonavia
Watford constituency,Garel-Jones,Garel-Jones,Garel-Jones,Claire Margaret Ward,Ward,Claire Margaret Ward,Harrington,Harrington,Harrington,Harrington,Russell,Turmaine
Welwyn and Hatfield,Murphy,David John Evans,Evans,Melanie Jane Johnson,Johnson,Shapps,Michael Green,Shapps,Michael Green,Shapps,Michael Green,Lewin
