col0,col1,col2,col3,col4,col5
Anti-Socialist Party,South Australia,31 December 1906,"Australian federal election, 1901",31 December 1906,Previously a member of the South Australian Legislative Council. Retired
Labour,Victoria,31 December 1903,"Australian federal election, 1901",1903,Previously held the Victorian Legislative Assembly seat of Carlton South. Lost seat
Protectionist,VIC,31 December 1903,1903,31 December 1903,Previously held the Victorian Legislative Assembly seat of Carlton South. Lost seat
Protectionist,Victoria,31 December 1903,"Australian federal election, 1901",30 June 1910,Previously held the Victorian Legislative Assembly seat of Fitzroy. Re-elected
Protectionist,Dimens Land,31 December 1903,29 March 1901,"Australian federal election, 1903",Lost seat. Later re-elected to the Senate in 1906
Anti-Socialist Party,South Australia,31 December 1903,30 March 1901,31 December 1903,Previously a member of the South Australian Legislative Council. Lost seat
Free Trade,Tasmania,31 December 1906,29 March 1901,5 September 1914,Re-elected
The Australian Labor Party,Queensland,31 December 1906,"Australian federal election, 1901",31 December 1906,Previously held the Queensland Legislative Assembly seat of Charters Towers. Lost seat
Labour,Western Australia,31 December 1903,29 March 1901,30 June 1923,Re-elected
Free Trade,State of Tasmania,31 December 1903,29 March 1901,30 June 1910,Previously held the Tasmanian House of Assembly seat of Brighton. Re-elected
Protectionist,South Australia,31 December 1903,"Australian federal election, 1901",31 December 1903,Previously held the South Australian House of Assembly seat of Barossa. Retired. Later elected to the South Australian Legislative Council in 1905
Protectionist,Queensland,31 December 1906,"Australian federal election, 1901","Australian federal election, 1906",Previously a member of the Queensland Legislative Council. Lost preselection and retired
Revenue Tariff Party,Western Australia,31 December 1903,29 March 1901,17 April 1903,Previously held the Western Australian Legislative Assembly seat of Swan. Resigned to focus on legal practice. Later elected to the Tasmanian House of Assembly seat of Franklin in 1909
Anti-Socialist Party,Queensland,31 December 1903,30 March 1901,6 October 1903,Simultaneously a member of the Queensland Legislative Council. Seat made vacant due to prolonged absence without permission. Oldest member of the 1901-1903 Senate
Protectionist,Victoria,31 December 1906,29 March 1901,30 June 1913,Previously a member of the Victorian Legislative Council. Re-elected
Protectionist,Queensland,31 December 1903,30 March 1901,31 December 1903,Previously held the Queensland Legislative Assembly seat of Bundaberg. Lost seat
Anti-Socialist Party,New South Wales,31 December 1906,"Australian federal election, 1901",30 June 1917,Previously held the New South Wales Legislative Assembly seat of Singleton. Re-elected
Australian Free Trade and Liberal Association,Western Australia,31 December 1903,"Australian federal election, 1901","Australian federal election, 1903",Retired. Later elected to the British House of Commons seat of South Shields in 1922
ALP,Queensland,31 December 1906,"Australian federal election, 1901","Australian federal election, 1906",Previously held the Queensland Legislative Assembly seat of Fortitude Valley. Lost seat. Later elected to the Division of Capricornia in 1910
Protectionist,Tasmania,31 December 1906,30 March 1901,30 June 1923,Re-elected. Youngest member of the 1901-1903 Senate
Free Trade,Tassie,31 December 1903,29 March 1901,"Australian federal election, 1910",Re-elected
Protectionist,New South Wales,31 December 1903,8 October 1903,30 November 1903,Previously a member of the New South Wales Legislative Council. Resigned to return to the Legislative Council after deciding not to contest the 1903 federal election
Free Trade,Western Australia,31 December 1906,29 March 1901,31 December 1906,Previously a member of the Western Australian Legislative Council. Retired
Labour,S. Aust.,31 December 1903,30 March 1901,13 August 1914,Previously a member of the South Australian Legislative Council. Re-elected
Free Trade,New South Wales,31 December 1906,"Australian federal election, 1901",14 September 1923,Previously held the New South Wales Legislative Assembly seat of Bourke. Re-elected
Revenue Tariff Party,New South Wales,31 December 1903,29 March 1901,30 June 1910,Previously held the New South Wales Legislative Assembly seat of Paddington. Re-elected
Protectionist,New South Wales,31 December 1903,29 March 1901,27 September 1903,Previously a member of the New South Wales Legislative Council. Resigned in order to become a Justice of the High Court
Protectionist,Tasmania,31 December 1906,"Australian federal election, 1901",May 1901,Lost seat. Later re-elected to the Senate in 1910
Labour,Tasmania,31 December 1906,May 1901,31 December 1906,Lost seat. Later re-elected to the Senate in 1910
Labour,Western Australia,31 December 1906,"Australian federal election, 1901",30 June 1938,Re-elected. Last surviving member of the 1901-1903 Senate
Protectionist,S.A.,31 December 1906,"Australian federal election, 1901",31 December 1906,Previously held the South Australian House of Assembly seat of Gumeracha. Lost seat
Anti-Socialist Party,New South Wales,31 December 1903,"Australian federal election, 1901",30 June 1910,Previously a member of the New South Wales Legislative Council. Re-elected
Australian Free Trade and Liberal Association,Victoria,31 December 1903,21 January 1903,31 December 1903,Previously a member of the Victorian Legislative Council. Retired
Free Trade,Victoria,31 December 1903,29 March 1901,2 January 1903,Previously a member of the Victorian Legislative Council. Died in office
Revenue Tariff Party,Western Australia,31 December 1903,20 May 1903,31 December 1903,Previously a member of the Western Australian Legislative Council. Lost seat. Later elected to the Legislative Council in 1918
Australian Free Trade and Liberal Association,Western Australia,31 December 1906,"Australian federal election, 1901",31 December 1906,Retired
ALP,Queensland,31 December 1903,"Australian federal election, 1901",30 June 1917,Previously held the Queensland Legislative Assembly seat of Rockhampton North. Re-elected
Protectionist,"Victoria, Australia",31 December 1903,29 March 1901,31 December 1906,Previously held the Victorian Legislative Assembly seat of Williamstown. Lost seat
Free Trade,South Australia,31 December 1906,"Australian federal election, 1901",30 June 1913,Previously held the South Australian House of Assembly seat of Sturt. Re-elected
Australian Free Trade and Liberal Association,New South Wales,31 December 1906,"Australian federal election, 1901",30 June 1913,Re-elected
Protectionist,Victoria,31 December 1906,"Australian federal election, 1901",31 December 1906,Previously a member of the Victorian Legislative Council. Retired
