col0,col1,col2
1966,En Direct de L'Olympia,France
1967,Made in France,France
1967,En Direct De L'Olympia 1967,France
1968,Le merveilleux petit monde de Mireille Mathieu chante Noël,France
1969,La première étoile,France
1969,Sweet Souvenirs of Mireille Mathieu,France
1969,Olympia,France
1969,Mireille... Mireille,Germany
1970,Mireille... Mireille,France
1970,Merci Mireille,Germany
1971,Bonjour Mireille,France
1971,Mireille Mathieu en concert au Canada,Canada
1972,Mireille Mathieu chante Francis Lai,France
1972,J'étais si jeune,France
1972,Meine Träume,Germany
1972,Mes premières chansons,Canada
1973,Olympia,France
1973,L'amour et la vie,France
1974,Und der Wind wird ewig singen,Germany
1974,Le vent de la nuit,France
1974,Mireille Mathieu chante Ennio Morricone,France
1974,Mireille Mathieu en concert à Byblos,Lebanon
1975,Apprends-moi,France
1975,Rendezvous mit Mireille,Germany
1975,Wünsch Dir was - Eine musikalische Weltreise mit Mireille Mathieu,Germany
1975,On ne vit pas sans se dire adieu (Polydor 2490 128),Canada
1976,Et tu seras poète,France
1976,Herzlichst Mireille,Germany
1976,Und wieder wird es Weihnachtszeit,Germany
1977,Sentimentalement vôtre,France
1977,Die schönsten deutschen Volkslieder,Germany
1977,Der Rhein und Das Lied von der Elbe,Germany
1977,Das neue Schlager-Album,Germany
1977,Es ist Zeit für Musik,Germany
1978,Fidèlement vôtre,France
1978,J'ai peur d'aimer un souvenir,Japan
1978,Alle Kinder dieser Erde,Germany
1979,Mireille Mathieu Chante Paul Anka: Toi et Moi,France
1979,Mireille Mathieu Sings Paul Anka,World
1979,Romantiquement vôtre,France
1979,So ein schöner Abend,Germany
1980,Un peu... beaucoup... passionnément,France
1980,Gefuhle,Germany
1980,30 Favoritas de Mireille,Mexico
1981,Bravo tu as gagné,Japan
1981,Je vous aime…,France
1981,Die Liebe einer Frau,Germany
1982,Trois milliards de gens sur terre,France
1982,Ein neuer Morgen,Germany
1982,Bonsoir Mireille,Germany
1983,Je veux l'aimer,France
1983,Nur für dich,Germany
1984,Chanter,France
1984,Los cuentos de cri cri,Mexico
1984,The tales of cri cri,USA
1985,Les contes de Cri-Cri,France
1985,La demoiselle d'Orléans,France
1985,Les grandes chansons françaises,France
1985,Welterfolge aus Paris,Germany
1986,In Liebe Mireille,Germany
1986,Après toi,France
1986,French Collection,USSR
1987,Rencontres de femmes,France
1987,Tour de L'Europe,Germany
1988,Mireille Mathieu à Moscou,USSR
1989,L'Américain,France
1989,"Embrujo [Himno al amor, 1990]",Spain
1990,Ce soir je t'ai perdu,France
1991,Una mujer,Spain
1991,Mireille Mathieu - Que Pour Toi,France
1993,Mireille Mathieu chante Piaf,France
1993,Unter dem Himmel von Paris,Germany
1995,Vous lui direz,France
1996,In meinem Traum,Germany
1999,Alles nur ein Spiel,Germany
2002,De tes mains,France
2005,Une place dans mon coeur,France
2006,Films et Shows,France
2007,In Meinem Herzen,Germany
2009,Nah Bei Dir,Germany
2013,Wenn mein Lied deine Seele küsst,Germany
2014,Une vie d'amour,France
2015,Noël,France
