col0,col1,col2,col3,col4
400,"Francisco ""Chaleco"" López",Juan Pablo Latrach Vinagre,Can-AM,South Racing Can-Am
401,Gerard Farrés Güell,Armand Monleon,Can-Am Maverick,Monster Energy Can-Am
402,Reinaldo Varela,Gustavo Gugelmin,Can-Am Maveric X3,Monster Energy Can-Am
403,Cyril Despres,Michael Horn,OT3 buggy,Red Bull Off-Road Team USA
404,Conrad Rautenbach,Pedro Bianchi Prata,PH-Sport Zephyr,PH-Sport
405,Casey Currie,Sean Berriman,Can-Am Maverick,Monster Energy Can-Am
406,Jose Luis Pena Campo,Rafael Tornabell Cordoba,Polaris RZR 1000 Turbo,Xtremeplus Polaris Factory Team
407,Denis Berezovskiy,Ricardo Adrian Torlaschi,Can-Am Maverick X3,Forestal Team
409,Blade Hildebrand,Francois Cazalet,OT3 buggy,Red Bull Off-Road Team USA
410,José Antonio Hinojo López,Diego Ortega Gil,Can-Am Maverick X3,Hibor Raid
411,Sergey Karyakin,Anton Vlasiuk,BRP Maverick X3,Snag Racing Team
412,Mitchell Guthrie,Ola Fløene,OT3 buggy,Red Bull Off-Road Team USA
414,Josef Macháček,Vlastimil Tošenovský,Can-Am Maverick X RS Turbo R,Buggyra Racing
415,Ruben Gracia,Sergio Peinado Jimenez,Extreme GPR20,GPR Sport
417,Axel Alletru,Francois Beguin,Can-AM,# Je Peux 2020-BBR Mercier Racing
418,Graham Knight,David Watson,Polaris RZR 1000 Turbo,Xtremeplus Polaris Factory Team
419,Aron Domżała,Maciej Marton,Can-Am Maverick X3,Domzala
420,Jesus Puras,Xavier Blanco,Can-Am Maverick X3,Xraids & Buggymaster Team
421,Camelia Liparoti,Annett Fischer,Yamaha YXZ 1000R,C.A.T. Racing Yamaha
423,Omar Eliseo Gandara,Sergio Lafuente,Can-Am Maverick X3,Omar Gandara Dakar Team
424,Eric Abel,Christian Manez,Polaris RZR 1000 Turbo,Xtremeplus Polaris Factory Team
425,Maciej Domżała,Rafał Marton,Can-AM,Domzala
426,Patrick Sireyjol,Jean Luc Martin,Can-Am,Team BTR
427,Austin Jones,Kellon Walch,Can-AM,South Racing Can-Am
428,Herve Diers,Alain Brousse,Can-Am X3,# Je Peux 2020-BBR Mercier Racing
429,Kees Koolen,Jurgen Van Den Goorbergh,Can-AM,MEC Team
430,Roberto Carranza,Juan Carlos Fernandez,Extreme GPR20,GPR Sport
431,Juan Miguel Fidel Medero,Juan Silva,Can-AM,FN Speed Team
432,Fabio Del Punta,Giacomo Tognarini,Can-Am Maverick,R Team
433,Santiago Navarro,Marc Sola Terradellas,Can-Am X3,FN Speed Team
434,Vincent Gonzalez,Stephane Duple,Can-Am Maverick X-RS,El Blanco Rosso Racing Team
437,Antonio Marmolejo,Eduardo Blanco,Can-Am Maverick,South Racing Can-Am
438,Miguel Ardid Viturro,Pedro Lopez Chaves,Can-AM,Xraids & Buggymaster Team
439,Jeremy Croizon,Gregory Croizon,Suzuki 1000 GSXR,MD Rallye Sport
440,Hugues Lapouille,Eric Croquelois,Can-AM,# Je Peux 2020-BBR Mercier Racing
441,Frederic Pitout,Renaud Niveau,Can-Am DFDSF,Team BTR
442,Saleh Alsaif,Moad Alarja,Can-Am X3 RRS,Asasi
443,Aleksei Shmotev,Andrei Rudnitski,Can-Am Maverick X3 X RS,Snag Racing Team
444,Ilya Rouss,Anton Yarashuk,Can-AM,Forestal Team
445,Pedro Burgo Vilanova,Marcos Burgo Vilanova,Can-AM,Galimplant Team
446,Stefano Marrini,Nicolas Garcia,Yamaha YXZ 1000R,Stefano Marrini
447,Michele Cinotto,Marco Arnoletti,X3,FN Speed Team
448,Cedric Lemaire,Dominique Marcant,Can-Am X3,# Je Peux 2020-BBR Mercier Racing
450,Domingo Roman Pardos,Eduardo Izquierdo Rodriguez,Extreme GPR20,GPR Sport
451,Talal El Badr,Ali Mirza,Can-Am Lc200,TB Motorsports
473,Elvis Borsoi,Stefano Pelloni,Can-AM,RT73
