col0,col1,col2,col3,col4
2010    (68th),Chris Colfer,Kurt Hummel,Glee,Fox
2010    (68th),Scott Caan,Danny Williams,Hawaii Five-0,CBS
2010    (68th),Christopher Noth,Peter Florrick,The Good Wife,CBS
2010    (68th),Eric Stonestreet,Cameron Tucker,Modern Family,ABC
2010    (68th),David Strathairn,Dr. Carlock,Temple Grandin,HBO Family
2011    (69th),Peter Dinklage,Tyrion Lannister,Game of Thrones,HBO
2011    (69th),Paul Giamatti,Ben Bernanke,Too Big to Fail,HBO
2011    (69th),Guy Pearce,Monty Beragon,Mildred Pierce,HBO
2011    (69th),Tim Robbins,Bill Loud,Cinema Verite,HBO
2011    (69th),Eric Stonestreet,Cameron Tucker,Modern Family,ABC
2012    (70th),Ed Harris,John McCain,Game Change,HBO
2012    (70th),Max Greenfield,Schmidt,New Girl,Fox
2012    (70th),Danny Huston,Ben The Butcher Diamond,Magic City,Starz
2012    (70th),Mandy Patinkin,Saul Berenson,Homeland,Showtime
2012    (70th),Eric Allen Stonestreet,Cameron Tucker,Modern Family,ABC
2013    (71st),Jon Voight,Mickey Donovan,Ray Donovan,Showtime
2013    (71st),Josh Charles,Will Gardner,The Good Wife,CBS
2013    (71st),Rob Lowe,Dr. Jack Startz,Behind the Candelabra,HBO
2013    (71st),Aaron Paul,Jesse Pinkman,Breaking Bad,AMC
2013    (71st),Corey Stoll,Peter Russo,House of Cards,Netflix
2014    (72nd),Matt Bomer,Felix Turner,The Normal Heart,HBO Family
2014    (72nd),Alan Cumming,Eli Gold,The Good Wife,CBS
2014    (72nd),Colin Hanks,Officer Gus Grimly,Fargo,FX
2014    (72nd),Bill Murray,Jack Kennison,Olive Kitteridge,HBO
2014    (72nd),Jon Voight,Mickey Donovan,Ray Donovan,Showtime
2015    (73rd),Christian Slater,Mr. Robot / Edward Alderson,Mr. Robot,USA
2015    (73rd),Alan Cumming,Eli Gold,The Good Wife,Tiffany Network
2015    (73rd),Damian Lewis,Henry VIII,Wolf Hall,PBS
2015    (73rd),Ben Mendelsohn,Danny Rayburn,Bloodline,Netflix
2015    (73rd),Tobias Menzies,Frank Randall / Jonathan Black Jack Randall,Outlander,Starz
2016    (74th),Hugh Laurie,Richard Onslow Roper,The Night Manager,AMC
2016    (74th),Sterling K. Brown,Christopher Darden,The People v. O. J. Simpson: American Crime Story,FX
2016    (74th),John Lithgow,Winston Churchill,The Crown,Netflix
2016    (74th),Christian Slater,Mr. Robot / Edward Alderson,Mr. Robot,USA
2016    (74th),John Travolta,Robert Shapiro,The People v. O. J. Simpson: American Crime Story,FX
2017    (75th),Alexander Skarsgård,Perry Wright,Big Little Lies,HBO
2017    (75th),David Harbour,Jim Hopper,Stranger Things,Netflix
2017    (75th),Alfred Molina,Robert Aldrich,Feud: Bette and Joan,FX
2017    (75th),Christian Slater,Mr. Robot / Edward Alderson,Mr. Robot,USA
2017    (75th),David Thewlis,V. M. Varga,Fargo,FX
2018    (76th),Ben Whishaw,Norman Josiffe / Norman Scott,A Very English Scandal,Amazon
2018    (76th),Alan Arkin,Norman Newlander,The Kominsky Method,Netflix
2018    (76th),Kieran Culkin,Roman Roy,Succession,HBO
2018    (76th),Édgar Ramírez,Gianni Versace,The Assassination of Gianni Versace: American Crime Story,FX
2018    (76th),Henry Winkler,Gene Cousineau,Barry,Home Box Office
2019    (77th),Stellan Skarsgård,Boris Shcherbina,Chernobyl,HBO
2019    (77th),Alan Arkin,Norman Newlander,The Kominsky Method,Netflix
2019    (77th),Kieran Culkin,Roman Roy,Succession,HBO Family
2019    (77th),Andrew Scott,The Priest,Fleabag,Amazon
2019    (77th),Henry Winkler,Gene Cousineau,Barry,HBO Family
