col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
BMW Sauber F1 Team,BMW Sauber F1.06,BMW P86 2.4 V8,BHR,MAL,AUS,SMR,EUR,ESP,LXIV Grand Prix de Monaco,GBR,CAN,USA,XCII Grand Prix de France,Groser Mobil 1 Preis von Deutschland,HUN,TUR,ITA,CHN,JPN,BRA,16th,6
BMW Sauber F1 Team,BMW Sauber F1.07,BMW P86/7 2.4 V8,AUS,MAL,BHR,ESP,MON,CAN,USA,FRA,GBR,EUR,HUN,TUR,ITA,BEL,JPN,CHN,BRA,,6th,39
BMW Sauber F1 Team,BMW Sauber F1.08,BMW P86/8 2.4 V8,AUS,MAL,BHR,ESP,TUR,MON,CAN,FRA,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,CHN,BRA,4th,75
BMW Sauber F1 Team,BMW Sauber F1.09,BMW P86/9 2.4 V8,AUS,MAL,CHN,BHR,ESP,MON,TUR,GBR,GER,XXV ING Magyar Nagydíj,EUR,BEL,ITA,SIN,JPN,BRA,ABU,,14th,17
Renault F1 Team,Renault R30,Renault RS27-2010 2.4 V8,BHR,AUS,MAL,CHN,ESP,MON,TUR,CAN,EUR,GBR,GER,HUN,BEL,ITA,2010 Formula 1 SingTel Singapore Grand Prix,JPN,KOR,BRA,8th,136
Williams Martini Racing,Williams FW41,Mercedes M09 EQ Power+ 1.6 V6 t,AUS,Formula 1 2018 Gulf Air Bahrain Grand Prix,CHN,AZE,Formula 1 Gran Premio de España Emirates 2018,MON,CAN,Formula 1 Pirelli Grand Prix de France 2018,Formula 1 Eyetime Großer Preis von Österreich 2018,Formula 1 2018 Rolex British Grand Prix,GER,HUN,BEL,ITA,SIN,RUS,Formula 1 2018 Honda Japanese Grand Prix,Formula 1 Pirelli 2018 United States Grand Prix,-,-
Frank Williams Racing Cars,Williams FW42,Mercedes M10 EQ Power+ 1.6 V6 t,AUS,BHR,Formula 1 Heineken Chinese Grand Prix 2019,AZE,Formula 1 Emirates Gran Premio de España 2019,MON,CAN,Formula 1 Pirelli Grand Prix de France 2019,Formula 1 myWorld Großer Preis von Österreich 2019,GBR,GER,HUN,BEL,ITA,SIN,RUS,JPN,MEX,19th,1
Alfa Romeo Racing Orlen,Alfa Romeo Racing C39,Ferrari 065 1.6 V6 t,AUT,STY,HUN,GBR,Formula 1 Emirates 70th Anniversary Grand Prix 2020,ESP,Formula 1 Rolex Belgian Grand Prix 2020,Formula 1 Gran Premio Heineken d'Italia 2020,TUS,RUS,EIF,POR,2020 Grand Prix of Emilia-Romagna,TUR,BHR,SKH,ABU,,-,-
Alfa Romeo Racing Orlen,Alfa Romeo Racing C41,Ferrari 065/6 1.6 V6 t,BHR,EMI,POR,ESP,MON,AZE,FRA,STY,AUT,GBR,HUN,BEL,,,RUS,TUR,USA,2021 Mexican Grand Prix,,
Alfa Romeo F1 Team Orlen,Alfa Romeo C42,Ferrari 066/7 1.6 V6 t,BHR,SAU,2022 Formula One Australian Grand Prix,EMI,MIA,ESP,MON,AZE,CAN,GBR,AUT,FRA,HUN,BEL,NED,ITA,SIN,JPN,-,-
