col0,col1,col2,col3
1950,Kind Hearts and Coronets,Robert Hamer,United Kingdom
1950,Tight Little Island,Alexander Mackendrick,United Kingdom
1950,The Third Man,Sir Carol Reed,United Kingdom
1950,Paris 1900,Nicole Védrès,France
1950,The Titan: Story of Michelangelo,Richard Lyford,Germany
1951,The Browning Version,Anthony Asquith,United Kingdom
1951,Kon-Tiki,Thor Heyerdahl,"Norway, Sweden"
1951,Miracle in Milan,Vittorio De Sica,Italy
1951,Rashomon,Akira Kurosawa,Japan
1951,The River,Jean Renoir,United States
1952,Beauty and the Devil,René Clair,"France, Italy"
1952,Breaking the Sound Barrier,David Lean,United Kingdom
1952,Ivory Hunter,Harry Watt,United Kingdom
1952,The Man in the White Suit,Alexander Mackendrick,United Kingdom
1952,Forbidden Games,René Clément,France
1953,Strange Deception,Curzio Malaparte,Italy
1953,The Conquest of Everest,George Lowe,United Kingdom
1953,Moulin Rouge,John Hutson,United Kingdom
1953,A Queen is Crowned,Michael Waldman,United Kingdom
1953,The Little World of Don Camillo,Julien Duvivier,"Italy, France"
1954,The Detective,Robert James Hamer,United Kingdom
1954,Genevieve,Henry Cornelius,United Kingdom
1954,The Heart of the Matter,George More O'Ferrall,United Kingdom
1954,The Little Kidnappers,Philip Leacock,United Kingdom
1954,Beauties of the Night,René Clair,"France, Italy"
1954,Diary of a Country Priest,Robert Bresson,France
1954,Monsieur Hulot's Holiday,Jacques Tati,France
1954,"Bread, Love and Dreams",Luigi Comencini,Italy
1954,Gate of Hell,Teinosuke Kinugasa,Japan
1954,Romeo and Juliet,Renato Castellani,"United Kingdom, Italy"
1955,Diabolique,Henri-Georges Clouzot,France
1955,The Divided Heart,Charles Crichton,United Kingdom
1955,The Prisoner,Peter Glenville,United Kingdom
1955,The Great Adventure,Arne Sucksdorff,Sweden
1955,The End of the Affair,Edward Dmytryk,"United Kingdom, United States"
1956,Rififi,Jules Dassin,France
1956,The Silent World,Jacques Cousteau and Louis Malle,France
1956,War and Peace,King Vidor,"United States, Italy"
1956,Richard III,Laurence Olivier,United Kingdom
1956,La Strada,Federico Fellini,Italy
1957,Gervaise,René Clément,France
1957,A Man Escaped,Robert Bresson,France
1957,The Red Balloon,Albert Lamorisse,France
1957,Ordet,Carl Theodor Dreyer,Denmark
1957,Torero!,Carlos Velo,Mexico
1958,The Horse's Mouth,Ronald Neame,United Kingdom
1958,A Night to Remember,Roy Ward Baker,United Kingdom
1958,Mon Oncle,Jacques Tati,France
1958,Rouge et Noir,Claude Autant-Lara,France
1958,Pather Panchali,Satyajit Ray,India
1959,Wild Strawberries,Ingmar Bergman,Sweden
1959,The Roof,Vittorio De Sica,Italy
1959,Aparajito,Satyajit Ray,India
1959,Look Back in Anger,Tony Richardson,United Kingdom
1959,Room at the Top,Jack Clayton,United Kingdom
