col0,col1,col2,col3,col4
1981,Left wing,Minnesota,None,None
1982,Goaltender,Michigan St.,None,None
1983,Defense,Providence,None,None
1984,goalkeeper,Boston University,None,None
1985,Center,Harvard,None,None
1986,Right wing,Western Michigan,Left wing,Michigan St.
1987,Defense,Western Michigan,None,None
1988,Right wing,Lake Superior State,None,None
1989,Goaltender,Minnesota,None,None
1990,blueliner,Boston College,None,None
1991,D-man,Northern Michigan,None,None
1992,Defense,St. Lawrence,None,None
1993,center,North Dakota,None,None
1994,center,Clarkson,None,None
1995,defenceman,Maine,None,None
1996,Left wing,Boston University,None,None
1997,Left wing,Boston University,None,None
1998,Goaltender,Michigan St.,None,None
1999,Center,Michigan St.,None,None
2000,center,Wisconsin,None,None
2001,Right wing,Boston College,center,North Dakota
2002,center,St. Cloud State,Right wing,New Hampshire
2003,Left wing,Ferris State,Goaltender,Cornell
2004,ice hockey goaltender,Brown,Left wing,North Dakota
2005,Left wing,Colorado College,Goaltender,Cornell
2006,Goaltender,Wisconsin,Left wing,Boston College
2007,ice hockey goaltender,Notre Dame,center,Air Force
2008,Right wing,Miami University,Left wing,Boston College
2009,Goaltender,Northeastern,Left wing,Boston University
2010,Left wing,Maine,Right wing,New Hampshire
2011,Right wing,North Dakota,Right wing,Boston College
2012,Left wing,Maine,Right wing,Colgate
2013,Goaltender,Quinnipiac,Center,Boston College
2014,Left wing,St. Lawrence,center,St. Cloud State
2015,Center,Harvard,Goaltender,North Dakota
2016,Left wing,Michigan,ice hockey goaltender,Boston College
2017,center,Northeastern,Center,Union
2018,Center,Harvard,Center,Denver
2019,Defense,Harvard,Defense,St. Cloud State
2020,Goaltender,Maine,Center,North Dakota
2021,goalkeeper,Minnesota State,Center,North Dakota
2022,Right wing,Denver,Center,Minnesota
2023,Left wing,Minnesota,Center,Minnesota
2024,Right wing,North Dakota,Forward,Boston College
