col0,col1,col2,col3,col4
2000   (52nd),Bruce Willis,Friends,Paul Stevens,National Broadcasting Company
2000   (52nd),Anthony LaPaglia,Frasier,Simon Moon,NBC
2000   (52nd),"William H. Macy In 2000, Henry Winkler was nominated for the canceled NBC sitcom Battery Park. After the Television Academy learned that his episode aired in June — after the May 31 cut-off — Winkler was ruled ineligible and sixth place finisher William H. Macy received the nomination in his place.",Sports Night,Sam Donovan,ABC
2000   (52nd),Carlton Reiner,Beggars and Choosers,Sid Barry,Showtime
2000   (52nd),Tom Selleck,Friends,Dr. Richard Burke,NBC
2001   (53rd),Derek Jacobi,Frasier,Jackson Hedley,NBC
2001   (53rd),Robert Loggia,Malcolm in the Middle,Grandpa Victor,Fox
2001   (53rd),Victor Garber,Frasier,Ferguson,National Broadcasting Company
2001   (53rd),Gary Oldman,F.R.I.E.N.D.S,Richard Crosby,National Broadcasting Company
2001   (53rd),Michael York,The Lot,Colin Rhome,AMC
2002   (54th),Anthony LaPaglia,Frasier,Simon Moon,National Broadcasting Company
2002   (54th),Adam Arkin,Frasier,Tom,National Broadcasting Company
2002   (54th),Brian Cox,Frasier,Harry Moon,National Broadcasting Company
2002   (54th),Michael Douglas,Will & Grace,Det. Gavin Hatch,NBC
2002   (54th),Brad Pitt,F.R.I.E.N.D.S.,Will Colbert,NBC
2003   (55th),Gene Wilder,Will & Grace,Mr. Stein,NBC
2003   (55th),Hank Azaria,F.R.I.E.N.D.S,David,NBC
2003   (55th),David Duchovny,Life with Bonnie,Johnny Volcano,ABC
2003   (55th),Fred Willard,Everybody Loves Raymond,Hank MacDougall,CBS
2003   (55th),Jonathan Winters,Life with Bonnie,Q.T. Marlens,ABC
2004   (56th),John Turturro,Monk,Ambrose Monk,USA
2004   (56th),John Cleese,Will & Grace,Lyle Finster,NBC
2004   (56th),Danny DeVito,Friends,Roy Goodbody,NBC
2004   (56th),Anthony LaPaglia,Frasier,Simon Moon,NBC
2004   (56th),Fred Willard,Everybody Loves Raymond,Hank MacDougall,CBS
2005   (57th),Bobby Cannavale,Will & Grace,Vince D'Angelo,NBC
2005   (57th),Alec Baldwin,Will & Grace,Malcolm,National Broadcasting Company
2005   (57th),Victor Garber,Will & Grace,Peter Bovington,NBC
2005   (57th),Jeff Goldblum,Will & Grace,Scott Woolley,National Broadcasting Company
2005   (57th),Fred Willard,Everybody Loves Raymond,Hank MacDougall,CBS
2006   (58th),Leslie Jordan,Will & Grace,Beverley Leslie,NBC
2006   (58th),Alec Baldwin,Will & Grace,Malcolm,NBC
2006   (58th),Martin Sheen,Two and a Half Men,Harvey,CBS
2006   (58th),Patrick Stewart,Extras,Himself,HBO
2006   (58th),Ben Stiller,Extras,Himself,HBO
2007   (59th),Stanley Tucci,Monk,David Ruskin,USA
2007   (59th),Beau Bridges,My Name Is Earl,Carl Hickey,National Broadcasting Company
2007   (59th),Martin Landau,Entourage,Bob Ryan,HBO
2007   (59th),Ian McKellen,Extras,Himself,HBO
2007   (59th),Giovanni Ribisi,My Name Is Earl,Ralph Mariano,National Broadcasting Company
2008   (60th),Tim Conway,30 Rock,Bucky Bright,National Broadcasting Company
2008   (60th),Will Arnett,30 Rock,Devon Banks,NBC
2008   (60th),Shelley Berman,Curb Your Enthusiasm,Nat David,HBO
2008   (60th),Steve Buscemi,30 Rock,Lenny Wosniak,National Broadcasting Company
2008   (60th),Rip Torn,30 Rock,Don Geiss,NBC
2009   (61st),Justin Timberlake,Saturday Night Live,Various characters,NBC
2009   (61st),Alan Alda,30 Rock,Milton Greene,NBC
2009   (61st),Beau Bridges,Desperate Housewives,Eli Scruggs,ABC
2009   (61st),Jon Hamm,30 Rock,Dr. Drew Baird,National Broadcasting Company
2009   (61st),Steve Martin,30 Rock,Gavin Volure,National Broadcasting Company
