col0,col1,col2
🇦🇺,Melbourne,Melbourne Airport
Oz,Sydney,Sydney Airport
Austria,Vienna,Vienna International Airport
bh,Manama,Bahrain International Airport
Belgium,Brussels,Brussels Airport
Bangladesh,Dhaka,Hazrat Shahjalal International Airport
China,Beijing,Beijing Capital International Airport
China,Chengdu,Chengdu Shuangliu International Airport
China,Chongqing,Chongqing Jiangbei International Airport
China,Guangzhou,Guangzhou Baiyun International Airport
China,Kunming,Kunming Changshui International Airport
China,Shanghai,Shanghai Pudong International Airport
France,Paris,Charles de Gaulle Airport
Germany,Berlin,Berlin Schönefeld Airport
Frankfurt,Frankfurt Airport,
Munich,Munich Airport,
Hong Kong,Hong Kong,Hong Kong International Airport
India,Ahmedabad,Ahmedabad Airport
India,Bangalore,Kempegowda International Airport
India,Chennai,Chennai International Airport
India,Coimbatore,Coimbatore International Airport
India,Delhi,Indira Gandhi International Airport
India,Gaya,Gaya Airport
India,Goa,Dabolim Airport
India,Hyderabad,Rajiv Gandhi International Airport
India,Kochi,Cochin International Airport
India,Kolkata,Netaji Subhas Chandra Bose International Airport
India,Kozhikode,Kozhikode International Airport
India,Madurai,Madurai Airport
India,Mumbai,Chhatrapati Shivaji Maharaj International Airport
India,Thiruvananthapuram,Thiruvananthapuram International Airport
India,Tiruchirappalli,Tiruchirappalli International Airport
India,Varanasi,Lal Bahadur Shastri Airport
Indonesia,Jakarta,Soekarno-Hatta International Airport
Indonesia,Medan,Kualanamu International Airport
Italy,Milan,Milan Malpensa Airport
Italy,Rome,Leonardo da Vinci-Fiumicino Airport
Japan,Fukuoka,Fukuoka Airport
Japan,Tokyo,Narita International Airport
Kenya,Nairobi,Jomo Kenyatta International Airport
Kuwait,Kuwait City,Kuwait International Airport
Lebanon,Beirut,Beirut-Rafic Hariri International Airport
Malaysia,Kuala Lumpur,Kuala Lumpur International Airport
Maldives,Gan,Gan International Airport
Maldives,Malé,Velana International Airport
Nepal,Kathmandu,Tribhuvan International Airport
Netherlands,Amsterdam,Amsterdam Airport Schiphol
Oman,Muscat,Muscat International Airport
Pakistan,Karachi,Jinnah International Airport
Pakistan,Lahore,Allama Iqbal International Airport
Philippines,Manila,Ninoy Aquino International Airport
Qatar,Doha,Hamad International Airport
Russia,Moscow,Moscow Domodedovo Airport
Saudi Arabia,Dammam,King Fahd International Airport
Saudi Arabia,Jeddah,King Abdulaziz International Airport
Saudi Arabia,Riyadh,King Khalid International Airport
Singapore,Singapore,Changi Airport
Seychelles,Mahé,Seychelles International Airport
South Korea,Seoul,Incheon International Airport
Sri Lanka,Colombo,Bandaranaike International Airport
Sri Lanka,Hambantota,Mattala Rajapaksa International Airport
Sweden,Stockholm,Stockholm Arlanda Airport
Switzerland,Zürich,Zurich Airport
Thailand,Bangkok,Don Mueang International Airport
Thailand,Bangkok,Suvarnabhumi Airport
United Arab Emirates,Abu Dhabi,Zayed International Airport
United Arab Emirates,Dubai,Dubai International Airport
United Arab Emirates,Sharjah,Sharjah International Airport
United Kingdom,London,Gatwick Airport
United Kingdom,London,Heathrow Airport
Vietnam,Ho Chi Minh City,Tan Son Nhat International Airport
