col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
City of Chester / Chester N & Neston ('24),Morrison,Sir Peter Hugh Morrison,Brandreth,Russell,Russell,Russell,Russell,Russell,Mosley,Matheson,Matheson,Matheson,Matheson,Dixon,Dixon
Congleton,Winterton,Winterton,Winterton,Winterton,Winterton,Winterton,Winterton,Winterton,Fiona Claire Bruce,Bruce,Fiona Claire Bruce,Fiona Claire Bruce,Fiona Claire Bruce,Bruce,Russell
Crewe and Nantwich,Dunwoody,Dunwoody,Dunwoody,Dunwoody,Dunwoody,Dunwoody,Gwyneth Patricia Phillips,Anthony Edward Timpson,Timpson,Anthony Edward Timpson,Smith,Smith,Kieran John Mullan,Mullan,Naismith
Eddisbury / Chester S & Eddisbury (2024),Goodlad,Goodlad,Goodlad,Goodlad,O'Brien,O'Brien,O'Brien,Stephen Rothwell O'Brien,O'Brien,Antoinette Geraldine Mackeson-Sandbach,Antoinette Geraldine Mackeson-Sandbach,Antoinette Geraldine Sandbach,Anthony Edward Timpson,Anthony Edward Timpson,Brandreth
Ellesmere Port and Neston / E. P. & Bromborough (2024) 1,Woodcock,Michael Woodcock,Andrew Peter Miller,Miller,Andrew Peter Miller,Miller,Miller,Miller,Miller,Justin Piers Richard Madders,Justin Piers Richard Madders,Madders,Madders,Madders,Justin Piers Richard Madders
Halton / Widnes & Halewood (2024) 1,Oakes,Oakes,Oakes,Twigg,Twigg,Twigg,Twigg,John Derek Twigg,Twigg,Twigg,John Derek Twigg,Twigg,John Derek Twigg,Twigg,Twigg
Macclesfield,Sir Nicholas Raymond Winterton,Winterton,Winterton,Sir Nicholas Raymond Winterton,Winterton,Sir Nicholas Raymond Winterton,Winterton,Sir Nicholas Raymond Winterton,Rutley,David Henry Rutley,David Henry Rutley,Rutley,Rutley,David Henry Rutley,Roca
Tatton,Mostyn Neil Hamilton,Mostyn Neil Hamilton,Hamilton,Bell,Bell,Osborne,Osborne,George Gideon Oliver Osborne,Osborne,Gideon Oliver Osborne,McVey,Esther Louise McVey,McVey,McVey,Esther Louise McVey
Warrington South,Carlisle,Christopher John Butler,Hall,Helen Mary Southworth,Helen Mary Southworth,Helen Mary Southworth,Southworth,Southworth,Mowat,Mowat,Rashid,Rashid,Andrew John Carter,Carter,Hall
Warrington North,Hoyle,Hoyle,Hoyle,Helen Mary Jones,Jones,Jones,Jones,Jones,Jones,Jones,Jones,Jones,Charlotte Louise Nichols,Nichols,Nichols
Weaver Vale / Runcorn and Helsby (2024),,,,Hall,Michael Thomas Hall,Hall,Hall,Hall,"Graham Evans, Baron Evans of Rainow",Evans,Amesbury,Michael Lee Amesbury,Amesbury,Michael Lee Amesbury,Michael Lee Amesbury
