col0,col1,col2,col3
The King's Speech,Tom Hooper,"Iain Canning, Emile Sherman, Gareth Unwin",United Kingdom   Australia
Black Swan,Darren Aronofsky,"Darren Aronofsky, Scott Franklin, Mike Medavoy, Arnold Messer, Brian Oliver",America (United States)
Inception,Christopher Nolan,"Christopher Nolan, Emma Thomas",United Kingdom
The Social Network,David Andrew Leo Fincher,"David Fincher, Scott Rudin, Dana Brunetti, Michael De Luca, Ceán Chaffin, Kevin Spacey",United States
True Grit,Joel and Ethan Coen,"Joel and Ethan Coen, Scott Rudin",United States
The Artist,Michel Hazanavicius,Thomas Langmann,France
The Descendants,Alexander Payne,"Alexander Payne, Jim Taylor, Jim Burke",U.S. of America
Drive,Nicolas Winding Refn,"Adam Siegel, Marc Platt",United States
The Help,Tate Taylor,"Brunson Green, Chris Columbus, Michael Barnathan",United States
Tinker Tailor Soldier Spy,Tomas Alfredson,"Tim Bevan, Robyn Slovo, Eric Fellner",U.S.A.
Argo,Ben Affleck,"Grant Heslov, Ben Affleck, George Clooney",United States
Les Misérables,Tom Hooper,"Tim Bevan, Eric Fellner, Debra Hayward, Cameron Mackintosh",United Kingdom
Life of Pi,Ang Lee,"Gil Netter, Ang Lee, David Womark",United States   Canada
Lincoln,Steven Spielberg,"Steven Spielberg, Kathleen Kennedy",United States
Zero Dark Thirty,Kathryn Bigelow,"Mark Boal, Kathryn Bigelow, Megan Ellison",United States
12 Years a Slave,Steve McQueen,"Brad Pitt, Anthony Katagas, Dede Gardner, Jeremy Kleiner, Steve McQueen",United States   United Kingdom
American Hustle,David O. Russell,"Charles Roven, Richard Suckle, Megan Ellison, Jonathan Gordon",United States
Captain Phillips,Paul Greengrass,"Scott Rudin, Dana Brunetti, Michael De Luca",United States
Gravity,Alfonso Cuarón,"Alfonso Cuarón, David Heyman",United States   United Kingdom
Philomena,Stephen Frears,"Gabrielle Tana, Steve Coogan, Tracey Seaward",United Kingdom
Boyhood,Richard Linklater,"Richard Linklater, Cathleen Sutherland",United States
Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,"Alejandro G. Iñárritu, John Lesher, James W. Skotchdopole",America
The Grand Budapest Hotel,Wes Anderson,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",US of A
The Imitation Game,Morten Tyldum,"Nora Grossman, Ido Ostrowsky, Teddy Schwarzman",United States
The Theory of Everything,James Marsh,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten",United Kingdom
The Revenant,Alejandro G. Iñárritu,"Steve Golin, Alejandro G. Iñárritu, Arnon Milchan, Mary Parent, Keith Redmon",United States
The Big Short,Adam McKay,"Dede Gardner, Jeremy Kleiner, Brad Pitt",United States
Bridge of Spies,Steven Spielberg,"Kristie Macosko Krieger, Marc Platt, Steven Spielberg",United States
Carol,Todd Haynes,"Elizabeth Karlsen, Christine Vachon, Stephen Woolley",United Kingdom   United States
Spotlight,Tom McCarthy,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, Michael Sugar",United States
La La Land,Damien Chazelle,"Fred Berger, Jordan Horowitz, Marc Platt",the US
Arrival,Denis Villeneuve,"Dan Levine, Shawn Levy, David Linde, Aaron Ryder",United States
"I, Daniel Blake",Ken Loach,Rebecca O'Brien,United Kingdom
Manchester by the Sea,Kenneth Lonergan,"Lauren Beck, Matt Damon, Chris Moore, Kimberly Steward, Kevin J. Walsh",United States
Moonlight,Barry Jenkins,"Dede Gardner, Jeremy Kleiner, Adele Romanski",the U.S. of A
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"Graham Broadbent, Pete Czernin, Martin McDonagh",United States   United Kingdom
Call Me by Your Name,Luca Guadagnino,"Emilie Georges, Luca Guadagnino, Marco Morabito, Peter Spears",Italy   United States   France
Darkest Hour,Joe Wright,"Tim Bevan, Lisa Bruce, Eric Fellner, Anthony McCarten, Douglas Urbanski",United Kingdom
Dunkirk,Christopher Nolan,"Christopher Nolan, Emma Thomas",United Kingdom   United States
The Shape of Water,Guillermo del Toro,"Guillermo del Toro, J. Miles Dale",United States
Roma,Alfonso Cuarón,"Alfonso Cuarón, Gabriela Rodriguez, Nicolas Celis",Mexico
BlacKkKlansman,Spike Lee,"Jason Blum, Spike Lee, Raymond Mansfield, Sean McKittrick, Jordan Peele, Shaun Redick",United States
The Favourite,Yorgos Lanthimos,"Cecil Dempsey, Ed Guiney, Lee Magiday, Yorgos Lanthimos",United Kingdom   United States
Green Book,Peter Farrelly,"Jim Burke, Brian Hayes Currie,  Peter Farrelly, Nick Vallelonga, Charles B. Wessler",United States
A Star is Born,Bradley Cooper,"Bill Gerber, Lynette Howell Taylor",U.S.A.
1917,Sam Mendes,"Pippa Harris, Callum McDougall, Sam Mendes, Jayne-Ann Tenggren",United Kingdom   United States
The Irishman,Martin Scorsese,"Robert De Niro, Jane Rosenthal, Martin Scorsese, Emma Tillinger Koskoff",US
Joker,Todd Phillips,"Bradley Cooper, Todd Phillips, Emma Tillinger Koskoff",United States
Once Upon a Time in Hollywood,Quentin Tarantino,"David Heyman, Shannon McIntosh, Quentin Tarantino",United States   United Kingdom
"Parasite (기생충, Gisaengchung)",Bong Joon-ho,"Bong Joon-ho, Kwak Sin-ae",South Korea
