col0,col1,col2,col3
2010,Colin Firth,Prince Albert of Cornwall and York,King's Speech
2010,"Jeffrey Leon ""Jeff"" Bridges",Rooster Cogburn,True Grit
2010,Robert Selden Duvall,Felix Bush,Get Low
2010,Jesse Eisenberg,Mark Zuckerberg,The Social Network
2010,James Franco,Aron Ralston,127 Hours
2010,Ryan Gosling,Dean Pereira,Blue Valentine
2011,George Clooney,Matt King,The Descendants
2011,Leonardo DiCaprio,J. Edgar Hoover,J. Edgar
2011,Jean Dujardin,George Valentin,The Artist
2011,Michael Fassbender,Brandon Sullivan,Shame
2011,Ryan Gosling,Driver,Drive
2011,Brad Pitt,Billy Beane,Moneyball
2012,Daniel Day-Lewis,Abraham Lincoln,Lincoln
2012,Bradley Cooper,"Patrizio Pat Solitano, Jr.",Silver Linings Playbook
2012,John Hawkes,Mark O'Brien,The Sessions
2012,Hugh Jackman,Jean Valjean,Les Misérables
2012,Joaquin Phoenix,Freddie Quell,The Master
2012,Denzel Washington,"William Whip Whitaker, Sr.",Flight
2013,Matthew McConaughey,Ron Woodroof,Dallas Buyers Club
2013,Christian Bale,Irving Rosenfeld,American Hustle
2013,Bruce Dern,Woody Grant,Nebraska
2013,Chiwetel Ejiofor,Solomon Northup,12 Years a Slave
2013,Tom Hanks,Captain Richard Phillips,Captain Phillips
2013,Robert Redford,Our Man,All Is Lost
2014,Michael Keaton,Riggan Thomson,Birdman
2014,Benedict Cumberbatch,Alan Turing,The Imitation Game
2014,Ralph Fiennes,Monsieur Gustave H.,The Grand Budapest Hotel
2014,Jake Gyllenhaal,Louis Lou Bloom,Nightcrawler
2014,David Oyelowo,Martin Luther King Jr.,Selma
2014,Eddie Redmayne,Stephen Hawking,The Theory of Everything
2015,Leonardo DiCaprio,Hugh Glass,The Revenant
2015,Bryan Cranston,Dalton Trumbo,Trumbo
2015,Matt Damon,Mark Watney,The Martian
2015,Johnny Depp,Whitey Bulger,Black Mass
2015,Michael Fassbender,Steve Jobs,Steve Jobs
2015,Eddie Redmayne,Lili Elbe / Einar Wegener,The Danish Girl
2016,Casey Affleck,Lee Chandler,Manchester by the Sea
2016,Joel Edgerton,Richard Loving,Loving
2016,Andrew Garfield,Desmond T. Doss,Hacksaw Ridge
2016,Ryan Gosling,Sebastian Wilder,La La Land
2016,Tom Hanks,Captain Chesley Sully Sullenberger,Sully
2016,Denzel Washington,Troy Maxson,Fences
2017,Gary Oldman,Winston Churchill,Darkest Hour
2017,Timothée Chalamet,Elio Perlman,Call Me by Your Name
2017,Daniel Day-Lewis,Reynolds Woodcock,Phantom Thread
2017,James Franco,Tommy Wiseau,The Disaster Artist
2017,Jake Gyllenhaal,Jeff Bauman,Stronger
2017,Tom Hanks,Ben Bradlee,The Post
2017,Daniel Kaluuya,Chris Washington,Get Out
2018,Christian Bale,Dick Cheney,Vice
2018,Bradley Cooper,Jackson Maine,A Star Is Born
2018,Willem Dafoe,Vincent van Gogh,At Eternity's Gate
2018,Ryan Gosling,Neil Armstrong,First Man
2018,Ethan Hawke,Reverend Ernst Toller,First Reformed
2018,Rami Malek,Freddie Mercury,Bohemian Rhapsody
2018,Viggo Mortensen,Frank Tony Lip Vallelonga,Green Book
2019,Joaquin Phoenix,Arthur Fleck / Joker,Joker
2019,Antonio Banderas,Salvador Mallo,Pain and Glory
2019,Robert De Niro,Frank Sheeran,The Irishman
2019,Leonardo DiCaprio,Rick Dalton,Once Upon a Time in Hollywood
2019,Adam Driver,Charlie Barber,Marriage Story
2019,Eddie Murphy,Rudy Ray Moore,Dolemite Is My Name
2019,Adam Sandler,Howard Ratner,Uncut Gems
