col0,col1
Norayr Sargsyan,"Parakar, Armenia"
Brennon James Dowrick,"Wagga Wagga, New South Wales"
Bret Richard Hudson,"Sydney, New South Wales"
Shane de Freitas,"Bridgetown, Barbados"
Aleksandr Belanovsky,"Minsk, Belarus"
Andrey Kan,"Baranavichy, Belarus"
Ivan Pavlovsky,"Grodno, Belarus"
Vitaly Rudnitsky,"Mogilev, Belarus"
Vitaly Scherbo,"Minsk, Belarus"
Aleksandr Shostak,"Minsk, Belarus"
Aleksey Sinkevich,"Vitebsk, Belarus"
Krasimir Dunev,"Plovdiv, Bulgaria"
Kalofer Hristozov,"Plovdiv, Bulgaria"
Ivan Ivanov,"Varna, Bulgaria"
Dimitar Lunchev,"Ruse, Bulgaria"
Vasil Vetsev,"Sofia, Bulgaria"
Deyan Yordanov,"Ruse, Bulgaria"
Yordan Yovchev,"Plovdiv, Bulgaria"
Kris Burley,"Truro, Nova Scotia"
Richard Ikeda,"Kamloops, British Columbia"
Alan Nolet,"Toronto, Ontario"
Fan Bin,"Pingdingshan, Henan"
Fan Hongbin,"Zhuozhou, Hebei"
Huang Liping,"Wuhan, Hubei"
Li Xiaoshuang,"Xiantao, Hubei"
Shen Jian,"Xintai, Shandong"
Aleksej Demjanov,"Cherkessk, Russia"
Jiří Fiřt,"Prague, Czech Republic"
Thiérry Aymes,"Ollioules, France"
Patrice Casimir,"Saint-Pierre, Réunion"
Sébastien Darrigade,"Saint-Mandé, France"
Frédéric Lemoine,"Pantin, France"
Frédérick Nicolas,"La Tronche, France"
Éric Poujade,"Aix-en-Provence, France"
Sébastien Tayac,"Nice, France"
Ilia Giorgadze,"Kutaisi, Georgia"
Valery Belenky,"Baku, Azerbaijan"
Uwe Billerbeck,"Esslingen am Neckar, Germany"
Jan-Peter Nikiferow,"Magdeburg, Germany"
Karsten Oelsch,"Erlabrunn, Germany"
Marius Tobă,"Reșița, Romania"
Oliver Walther,"Halle, Germany"
Andreas Wecker,"Staßfurt, Germany"
Dominic Brindle,"Bradford, England"
Lee McDermott,"London, England"
Ioannis Melissanidis,"Dachau, Germany"
Szilveszter Csollány,"Sopron, Hungary"
Krisztián Jordanov,"Sofia, Bulgaria"
Zoltán Supola,"Dunaújváros, Hungary"
Rúnar Alexandersson,"Smolensk, Russia"
Marcello Barbieri,"Modena, Italy"
Paolo Bucci,"Milan, Italy"
Jury Chechi,"Prato, Italy"
Francesco Colombo,"Carate Brianza, Italy"
Roberto Galli,"Gallarate, Italy"
Sergio Luini,"Busto Arsizio, Italy"
Boris Preti,"Gallarate, Italy"
Yoshiaki Hatakeda,"Tokushima Prefecture, Japan"
Shigeru Kurihara,"Saitama Prefecture, Japan"
Toshiharu Sato,"Osaka, Japan"
Hikaru Tanaka,"Tanabe, Japan"
Naoya Tsukahara,"Nagasaki, Japan"
Takashi Uchiyama,"Saitama Prefecture, Japan"
Sergey Fedorchenko,"Almaty, Kazakhstan"
Flemming Solberg,"Drammen, Norway"
Diego Lizardi,"San Juan, Puerto Rico"
Dan Burincă,"Sibiu, Romania"
Adrian Ianculescu,"Lugoj, Romania"
Cristian Leric,"Arad, Romania"
Nistor Șandro,"Oradea, Romania"
Nicu Stroia,"Pângărați, Romania"
Robert Tăciulet,"Buzău, Romania"
Marius Urzică,"Toplița, Romania"
Sergei Kharkov,"Moscow, Russia"
Nikolai Kryukov,"Voronezh, Russia"
Aleksei Nemov,"Barashevo, Russia"
Yevgeni Podgorny,"Novosibirsk, Russia"
Dmitri Trush,"Seversk, Russia"
Dmitri Vasilenko,"Cherkessk, Russia"
Aleksei Voropayev,"Moscow, Russia"
Han Yun-su,"Suwon, South Korea"
Jo Seong-min,"Jeollabuk, South Korea"
Kim Dong-hwa,"Masan, South Korea"
Yeo Hong-chul,"Gwangju, South Korea"
Jesús Carballo,"Madrid, Spain"
Michael Engeler,"St. Gallen, Switzerland"
Li Donghua,"Chengdu, China"
Ihor Korobchynskyi,"Antratsyt, Ukraine"
Oleg Kosyak,"Kyiv, Ukraine"
Grigoriy Misyutin,"Oleksandriia, Ukraine"
Volodymyr Shamenko,"Taraz, Kazakhstan"
Rustam Sharipov,"Dushanbe, Tajikistan"
Oleksandr Svitlychniy,"Kharkiv, Ukraine"
Yuriy Yermakov,"Makiivka, Ukraine"
Mihal Bagiu,"Timișoara, Romania"
Jair Lynch,"Amherst, Massachusetts"
John Macready,"Los Angeles, California"
John Roethlisberger,"Fort Atkinson, Wisconsin"
Kip Simons,"Media, Pennsylvania"
Chainey Umphrey,"Albuquerque, New Mexico"
Blaine Wilson,"Columbus, Ohio"
