col0,col1,col2,col3
2010   (31st),"Kim Cattrall, Kristin Davis, Cynthia Nixon and Sarah Jessica Parker",Sex and the City 2,"Samantha Jones, Charlotte York Goldenblatt, Miranda Hobbes and Carrie Bradshaw"
2010   (31st),Jennifer Aniston,The Bounty Hunter,Nicole Hurley
2010   (31st),Jennifer Aniston,The Switch,Kassie Larson
2010   (31st),Miley Cyrus,The Last Song,Ronnie Miller
2010   (31st),Megan Fox,Jonah Hex,Tallulah Black / Lilah
2010   (31st),Kristen Stewart,The Twilight Saga: Eclipse,Bella Swan
2011   (32nd),Adam Sandler,Jack and Jill,Jill Sadelstein
2011   (32nd),Martin Lawrence,"Big Mommas: Like Father, Like Son",Big Momma
2011   (32nd),Sarah Palin,The Undefeated,Herself
2011   (32nd),Sarah Jessica Parker,I Don't Know How She Does It,Kate Reddy
2011   (32nd),Sarah Jessica Parker,New Year's Eve,Kim Doyle
2011   (32nd),Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 1,Bella Swan
2012   (33rd),Kristen Stewart,Snow White & the Huntsman,Snow White
2012   (33rd),Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 2,Bella Swan
2012   (33rd),Katherine Heigl,One for the Money,Stephanie Plum
2012   (33rd),Milla Jovovich,Resident Evil: Retribution,Alice
2012   (33rd),Tyler Perry,Madea's Witness Protection,Mabel Madea Simmons
2012   (33rd),Barbra Streisand,The Guilt Trip,Joyce Brewster
2013   (34th),Tyler Perry,A Madea Christmas,Mabel Madea Simmons
2013   (34th),Halle Berry,The Call,Jordan Turner
2013   (34th),Halle Berry,Movie 43,Emily Browning
2013   (34th),Selena Gomez,Getaway,The Kid
2013   (34th),Lindsay Lohan,The Canyons,Tara Lloyd
2013   (34th),Naomi Watts,Diana,Princess Diana
2013   (34th),Naomi Watts,Movie 43,Samantha Miller
2014   (35th),Cameron Diaz,The Other Woman,Carly Whitten
2014   (35th),Cameron Diaz,Sex Tape,Annie Hargrove
2014   (35th),Drew Barrymore,Blended,Lauren Reynolds
2014   (35th),Melissa McCarthy,Tammy,Tammy Banks
2014   (35th),Charlize Theron,A Million Ways to Die in the West,Anna Barnes-Leatherwood
2014   (35th),Gaia Weiss,The Legend of Hercules,Hebe
2015   (36th),Dakota Johnson,Fifty Shades of Grey,Anastasia Ana Steele
2015   (36th),Katherine Heigl,Home Sweet Hell,Mona Champagne
2015   (36th),Mila Kunis,Jupiter Ascending,Jupiter Jones
2015   (36th),Jennifer Lopez,The Boy Next Door,Claire Peterson
2015   (36th),Gwyneth Paltrow,Mortdecai,Johanna Mortdecai
2016   (37th),Rebekah Turner,Hillary's America: The Secret History of the Democratic Party,Hillary Clinton
2016   (37th),Megan Fox,Teenage Mutant Ninja Turtles: Out of the Shadows,April O'Neil
2016   (37th),Tyler Perry,Boo! A Madea Halloween,Mabel Madea Simmons
2016   (37th),Julia Roberts,Mother's Day,Miranda Collins
2016   (37th),Naomi Watts,Shut In,Mary Portman
2016   (37th),Naomi Watts,The Divergent Series: Allegiant,Evelyn Johnson-Eaton
2016   (37th),Shailene Woodley,The Divergent Series: Allegiant,Beatrice Tris Prior
2017   (38th),Tyler Perry,Boo 2! A Madea Halloween,Mabel Madea Simmons
2017   (38th),Katherine Heigl,Unforgettable,Tessa Connover
2017   (38th),Dakota Johnson,Fifty Shades Darker,Anastasia Ana Steele
2017   (38th),Jennifer Lawrence,mother!,mother
2017   (38th),Emma Watson,The Circle,Mae Holland
2018   (39th),Melissa McCarthy,The Happytime Murders,Connie Edwards
2018   (39th),Melissa McCarthy,Life of the Party,Deanna Miles
2018   (39th),Jennifer Garner,Peppermint,Riley North
2018   (39th),Amber Heard,London Fields,Nicola Six
2018   (39th),Helen Mirren,Winchester,Sarah Winchester
2018   (39th),Amanda Seyfried,The Clapper,Judy
2019   (40th),Hilary Duff,The Haunting of Sharon Tate,Sharon Tate
2019   (40th),Anne Hathaway,The Hustle,Josephine Chesterfield
2019   (40th),Anne Hathaway,Serenity,Karen Zariakas
2019   (40th),Francesca Hayward,Cats,Victoria
2019   (40th),Tyler Perry,A Madea Family Funeral,Mabel Madea Simmons
2019   (40th),Rebel Wilson,The Hustle,Penny Rust
