col0,col1,col2,col3
July 8,Memphis,United States,Mid-South Coliseum
July 10,Oklahoma City,United States,Myriad Convention Center
July 11,Dallas,United States,Reunion Arena
July 12,Houston,United States,The Summit
July 15,San Antonio,United States,HemisFair Arena
July 17,Baton Rouge,United States,Riverside Centroplex Arena
July 18,Mobile,United States,Mobile Municipal Auditorium
July 22,Atlanta,United States,Omni Coliseum
July 24,Greensboro,the U.S. of A,Greensboro Coliseum
July 25,Charlotte,USA,Charlotte Coliseum
July 26,Hampton,U. S.,Hampton Coliseum
July 28,Lakeland,United States,Lakeland Civic Center
July 31,Landover,the US,Capital Centre
August 1,Landover,USA,Capital Centre
August 2,Buffalo,United States,Buffalo Memorial Auditorium
August 4,Montreal,Canada,Montreal Forum
August 5,Toronto,Canada,Maple Leaf Gardens
August 7,Uniondale,USA,Nassau Veterans Memorial Coliseum
August 8,Cincinnati,United States,Riverfront Coliseum
August 9,Richfield,United States,Richfield Coliseum
August 13,Pittsburgh,United States,Civic Arena
August 14,Philadelphia,United States,Spectrum
August 15,Hartford,U.S.A.,Hartford Civic Center
August 16,Providence,USA,Providence Civic Center
August 18,New York City,United States,Madison Square Garden
August 19,New York City,United States,Madison Square Garden
August 21,Detroit,United States,Joe Louis Arena
August 22,Indianapolis,US of A,Market Square Arena
August 23,Trotwood,United States,Hara Arena
August 26,Milwaukee,U. S.,MECCA Arena
August 28,Chicago,United States,Chicago Stadium
August 29,Lexington,the US,Rupp Arena
August 31,Nashville,United States,Nashville Municipal Auditorium
September 1,Kansas City,United States,Kemper Arena
September 2,St. Louis,the US of A,Checkerdome
September 3,Denver,United States,McNichols Sports Arena
September 5,Chicago,United States,Chicago Stadium
September 6,Winchester,United States,Las Vegas Convention Center
September 8,San Diego,the US,San Diego Sports Arena
September 10,Daly City,US of America,Cow Palace
September 15,Tempe,the U.S. of America,ASU Activity Center
September 18,Inglewood,United States,The Forum
September 19,Inglewood,the United States,The Forum
September 22,Oakland,Murica,Oakland-Alameda County Coliseum Arena
September 25,Inglewood,the US of America,The Forum
September 26,Inglewood,United States,The Forum
