col0,col1,col2
1,1933,Varna
2,1934,Sofia
3,1935,Rousse
4,1936,Sofia
5,1937,Sredets
6,1938,Varna
7,1940,Sofija
8,1942,Sofia
9,1943,Sredets
10,1945,Serdica
11,1946,Sofia
12,1947,Serdica
13,1948,Serdica
14,1949,Sofia
15,1950,Sofija
16,1951,Sredez
17,1952,Serdica
18,1953,Sofia
19,1954,Serdica
20,1955,Sredets
21,1957,Sofia
22,1958,Sredez
23,1959,Sofia
24,1960,Sredets
25,1961,Sredets
26,1962,Sofia
27,1963,Sofia
28,1964,Sredez
29,1965,Varna
30,1966,Serdica
31,1968,Sofia
32,1969,Plovdiv
33,1970,Sredets
34,1971,Sofia
35,1972,Sredez
36,1973,Sofia
37,1973,Sredez
38,1974,Asenovgrad
39,1975,Pernik
40,1976,Serdica
41,1977,Sofia
42,1978,Vratza
43,1979,Sofija
44,1980,Sredez
45,1981,Sofia
46,1982,Serdica
47,1983,Pernik
48,1984,Sofia
49,1985,Sofia
50,1986,Serdica
51,1987,Elenite
52,1988,Sredets
53,1989,Sofia
54,1990,Sofia
55,1991,Pazardzhik
56,1992,Bankya
57,1993,Pirdop
58,1994,Sofia
59,1995,Sredez
60,1996,Sredez
61,1997,Shumen
62,1998,Dupnitsa
63,1999,Plovdiv
64,2000,Asenovgrad
65,2001,Tsarevo
66,2002,Sofija
67,2003,Sofia
68,2004,Sofia
69,2005,Pleven
70,2006,Svilengrad
71,2007,Pernik
72,2008,Plovdiv
73,2009,Blagoevgrad
74,2010,Kiustendil
75,2011,Bankya
76,2012,Panagyurishte
77,2013,Bankya
78,2014,Kozloduy
79,2015,Pleven
80,2016,Pleven
81,2017,Montana
82,2018,Kozloduy
83,2019,Kozloduy
84,2020,Sofija
,2023,Sredez
