col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
1979,Louise Aitken,Ford Fiesta,MON,SWE,POR,KEN,GRE,NZL,FIN,CAN,ITA,FRA,GBR   Ret,CIV,NC,0
1980,Mogil Motors,Fiesta Mk1,MON,SWE,POR,KEN,GRC,ARG,FIN,NZL,ITA,FRA,GBR   Ret,CIV,NC,0
1981,M.C.D. Services,Ford Escort RS2000,MON,SWE,POR,KEN,FRA,GRE,ARG,BRA,FIN,ITA,CIV,GBR   19,NC,0
1982,M.C.D. Services,Ford Escort RS2000,MON,SWE,POR,KEN,FRA,GRE,NZL,BRA,FIN,ITA,CIV,GBR   20,NC,0
1983,Louise Aitken,Ford Escort XR3i,,SWE   60,POR,KEN,FRA,GRE,NZL,ARG,FIN,ITA,CIV,,NC,0
1984,R.E.D.,Ford Escort RS1600,MON,SWE   23,POR,KEN,FRA,GRE,NZL,ARG,FIN,ITA,CIV,GBR   Ret,NC,0
1985,Peugeot Talbot Sport,Peugeot 205 GTI,MON,SWE,POR,KEN,FRA,GRE,NZL,ARG,FIN,ITA,CIV,GBR   16,NC,0
1986,Team Nissan Europe,Nissan 240RS,MON,SWE,POR,KEN,FRA,GRE,NZL,ARG,FIN,CIV,ITA,GBR   15,NC,0
1987,Peugeot Talbot Sport,Peugeot 205 GTI,MON,SWE,POR,KEN,FRA,GRE,USA,NZL,ARG,FIN,CIV,ITA,NC,0
1988,Peugeot Talbot Sport,Peugeot 205 GTI,MON,SWE,POR,KEN,FRA,GRE,USA,NZL,ARG,FIN,CIV,ITA,NC,0
1989,Vauxhall Dealer Sport,Vauxhall Astra GTE,SWE,MON,POR,KEN,FRA,GRE,NZL,ARG,FIN,AUS,ITA,CIV,NC,0
1990,GM Euro Sport,Opel Kadett GSI,,POR   Ret,KEN,FRA   Ret,GRC,NZL   11,ARG,FIN,AUS   13,ITA   18,CIV,,NC,0
1991,BP Ford Abu Dhabi WRT,Ford Sierra Cosworth RS 4x4,MON,SWE,POR,KEN,FRA,GRC,NZL,ARG,FIN,AUS,ITA,CIV,62nd,1
