col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
Player,-2004,03.26,03.29,05.21,05.26,05.28,07.23,08.01,08.06,2005,Total
Homare Sawa,90(49),O,O,O(2),O,O(1),O,O,O,9(3),99(52)
Nozomi Yamago,71(0),O,-,-,-,O,-,O,O,5(0),76(0)
Tomoe Sakai,68(2),O,O,O,O,O,O(1),O,O,9(1),77(3)
Hiromi Isozaki,65(4),O,O,O,O,O,O,O,O,9(0),74(4)
Mio Otani,50(31),-,-,O,O,O,O,O,O,7(0),57(31)
Naoko Kawakami,44(0),O,O,O,O,-,-,-,-,4(0),48(0)
Miyuki Yanagita,38(3),O(1),O,O,O(2),O,O,O,O,9(3),47(6)
Maruyama Karina,28(9),-,-,-,-,-,O,O,O,3(0),31(9)
Kozue Ando,18(3),O(1),O,O,O,O,O,O,O,9(1),27(4)
Kyoko Yano,14(1),-,-,-,O,O,-,O,O,5(0),19(1)
Aya Shimokozuru,10(0),-,-,-,-,O,O,O,O,5(0),15(0)
Aya Miyama,7(4),O,O(1),O(1),O,O,O,O,O,9(2),16(6)
Shinobu Ono,6(5),-,-,O,O,O,O(1),O,O,7(1),13(6)
Ayako Kitamoto,2(3),O,O,O,-,O,-,-,-,4(0),6(3)
Akiko Sudo,2(0),O,O,O(1),O,O,-,-,-,5(1),7(1)
Miho Fukumoto,2(0),-,O,O,O,-,O,-,-,4(0),6(0)
Yuki Nagasato,1(0),O,O,O(2),O(1),O(1),O(2),O,O,9(6),10(6)
Nayuha Toyoda,1(0),O,O,-,-,-,O,O,-,4(0),5(0)
Rumi Utsugi,0(0),-,-,O,O,-,O,-,O,5(0),5(0)
Maiko Nakaoka,0(0),-,-,O,O,O,-,-,-,3(0),3(0)
