col0,col1
1,"Aviation Amendment Act, 1984"
2,"Health Amendment Act, 1984"
3,"Mental Health Amendment Act, 1984"
4,"Black Communities Development Act, 1984"
5,"South African Transport Services Act, 1984"
6,"Education and Heraldry Laws Amendment Act, 1984"
7,"Trade Practices Amendment Act, 1984"
8,"Import and Export Control Amendment Act, 1984"
9,"Sugar Amendment Act, 1984"
10,"Inventions Development Amendment Act, 1984"
11,"Prescription Amendment Act, 1984"
12,"Administration of Estates Amendment Act, 1984"
13,"John Dunn (Distribution of Land) Amendment Act, 1984"
14,"Trade Metrology Amendment Act, 1984"
15,"Share Blocks Control Amendment Act, 1984"
16,"Price Control Amendment Act, 1984"
17,"South African Teachers' Council for Whites Amendment Act, 1984"
18,"Removal of Restrictions Amendment Act, 1984"
19,"Town and Regional Planners Act, 1984"
20,"Community Development Amendment Act, 1984"
21,"Sea-shore Amendment Act, 1984"
22,"Additional Post Office Appropriation Act, 1984"
23,"Public Service Amendment Act, 1984"
24,"Part Appropriation Act, 1984"
25,"Government Villages Amendment Act, 1984"
26,"Wage Amendment Act, 1984"
27,"Basic Conditions of Employment Amendment Act, 1984"
28,"Additional Appropriation Act, 1984"
29,"Workmen's Compensation Amendment Act, 1984"
30,"Income Tax Amendment Act, 1984"
31,"Livestock Improvement Amendment Act, 1984"
32,"Abattoir Industry Amendment Act, 1984"
33,"Subdivision of Agricultural Land Amendment Act, 1984"
34,"Transport Services Appropriation Act, 1984"
35,"Animal Diseases Act, 1984"
36,"National Building Regulations and Building Standards Amendment Act, 1984"
37,"Post Office Amendment Act, 1984"
38,"Inspection of Financial Institutions Act, 1984"
39,"Financial Institutions (Investment of Finds) Act, 1984"
40,"Professional Land Surveyors' and Technical Surveyors' Act, 1984 (before 1993)    Professional and Technical Surveyors' Act, 1984 (after 1993)"
41,"Post Office Appropriation Act, 1984"
42,"Electoral Act Amendment Act, 1984"
43,"South African Citizenship Amendment Act, 1984"
44,"National Key Points Amendment Act, 1984"
45,"Public Investment Commissioners Act, 1984"
46,"Corporation for Public Deposits Act, 1984"
47,"South African Reserve Bank Amendment Act, 1984"
48,"Public Accountants' and Auditors' Amendment Act, 1984"
49,"Aliens and Immigration Laws Amendment Act, 1984"
50,"Standards Amendment Act, 1984"
51,"Estate Agents Amendment Act, 1984"
52,"Copyright Amendment Act, 1984"
53,"Industrial Development Amendment Act, 1984"
54,"Small Business Development Amendment Act, 1984"
55,"Judges' Remuneration Amendment Act, 1984"
56,"Magistrates' Courts Amendment Act, 1984"
57,"Liquor Amendment Act, 1984"
58,"Medical, Dental and Supplementary Health Service Professions Amendment Act, 1984"
59,"Medical Schemes Amendment Act, 1984"
60,"Admission of Advocates Amendment Act, 1984"
61,"Small Claims Courts Act, 1984"
62,"Deeds Registries Amendment Act, 1984"
63,"Wine and Spirits Amendment Act, 1984"
64,"Scientific Research Council Amendment Act, 1984"
65,"Commission for Administration Act, 1984 (before 1994)    Public Service Commission Act, 1984 (after 1994)"
66,"Marketing Amendment Act, 1984"
67,"Local Authorities Loans Fund Act, 1984"
68,"Police Amendment Act, 1984"
69,"Close Corporations Act, 1984"
70,"Companies Amendment Act, 1984"
71,"Protection of Businesses Amendment Act, 1984"
72,"Housing Amendment Act, 1984"
73,"State Oil Fund Amendment Act, 1984"
74,"Education and Training Amendment Act, 1984"
75,"Universities, National Education Policy and Technikons Amendment Act, 1984"
76,"National Policy for General Education Affairs Act, 1984"
77,"Technikons (Education and Training) Amendment Act, 1984"
78,"Indians Education Amendment Act, 1984"
79,"Rating of State Property Act, 1984"
80,"Promotion of the Density of Population in Designated Areas Amendment Act, 1984"
81,"Labour Relations Amendment Act, 1984"
82,"Scientific Research Council Act, 1984"
83,"Laws on Co-operation and Development Amendment Act, 1984"
84,"Insolvency Amendment Act, 1984"
85,"South African Law Commission Amendment Act, 1984"
86,"Financial Institutions Amendment Act, 1984"
87,"Defence Amendment Act, 1984"
88,"Matrimonial Property Act, 1984"
89,"Customs and Excise Amendment Act, 1984"
90,"Provincial Powers Amendment Act, 1984"
91,"University Staff (Education and Training) Act, 1984"
92,"Tertiary Education (Education and Training) Act, 1984"
93,"Second South African Transport Services Amendment Act, 1984"
94,"Payment of Members of Parliament Amendment Act, 1984"
95,"Powers and Privileges of Parliament Amendment Act, 1984"
96,"Water Amendment Act, 1984"
97,"University of the Orange Free State (Private) Amendment Act, 1984"
98,"Appropriation Act, 1984"
99,"Sales Tax Amendment Act, 1984"
100,"Exchequer and Audit Amendment Act, 1984"
101,"Group Areas Amendment Act, 1984"
102,"National Policy for General Housing Matters Act, 1984"
103,"Population Registration and Elections Amendment Act, 1984"
104,"Physical Planning Amendment Act, 1984"
105,"Constitution Amendment Act, 1984"
106,"Human Tissue Amendment Act, 1984"
107,"Parliamentary and Provincial Medical Aid Scheme Amendment Act, 1984"
108,"Attorneys Amendment Act, 1984"
109,"Criminal Procedure Matters Amendment Act, 1984"
110,"Justices of the Peace and Commissioners of Oaths Amendment Act, 1984"
111,"Public Service Act, 1984"
112,"Members of Parliament and Political Office-bearers Pension Scheme Act, 1984"
113,"Finance Act, 1984"
114,"Financial Relations Amendment Act, 1984"
115,"Remuneration of Town Clerks Act, 1984"
116,"Promotion of Local Government Affairs Amendment Act, 1984"
117,"Local Government Bodies Franchise Act, 1984"
118,"Revenue Laws Amendment Act, 1984"
119,"State President's Committee on National Priorities Act, 1984"
120,"Revenue Accounts Financing Act, 1984"
121,"Income Tax Act, 1984"
122,"Forest Act, 1984"
123,"Pension Laws Amendment Act, 1984"
124,"Pensions (Supplementary) Act, 1984"
125,"Paarl Mountain Amendment Act, 1984"
"The Republic of South Africa Constitution Act, 1983, came into force on 3 September 1984; elections were held for the new Houses of Representatives and Delegates, while the existing House of Assembly continued without an election.","The Republic of South Africa Constitution Act, 1983, came into force on 3 September 1984; elections were held for the new Houses of Representatives and Delegates, while the existing House of Assembly continued without an election."
