col0,col1,col2,col3,col4,col5,col6,col7,col8
Muchachos jugando a soldados,Yes!,Already done,Already done,Yes!,Yes!,Yes!,Yes!,3
The Magpie on the Gallows,Yes!,Already done,Already done,Already done,Yes!,Yes!,Yes!,5
L'entrevue des deux rois sur l'île des Faisans de 1660,Yes!,Yes!,Yes!,Yes!,Yes!,Yes!,Yes!,3
La rendición de Breda,Already done,Already done,Already done,Already done,Yes!,Yes!,Already done,1
Combate de mujeres,Yes!,Already done,Yes!,Yes!,Yes!,Yes!,Yes!,2
Allegorie op de overwinning van de Hollandse op de Spaanse vloot bij Gibraltar,Yes!,Yes!,,Yes!,Yes!,Yes!,Yes!,3
Las Ciencias y las Artes,Yes!,Yes!,Yes!,Yes!,Yes!,Yes!,Yes!,2
La Conversió de Sant Pau,Yes!,Yes!,,Already done,Yes!,Yes!,Yes!,2
Cacería del tabladillo en Aranjuez,Yes!,Already done,,Already done,Yes!,Yes!,Yes!,1
Hércules lucha con el león de Nemea,Yes!,Already done,Yes!,Yes!,Yes!,Yes!,,1
El sueño de Jacob,Yes!,Already done,Already done,Already done,Yes!,Yes!,Yes!,4
Mont Sainte-Victoire*,Yes!,Yes!,Already done,Yes!,,Yes!,,1
Desembarcament de soldats procedents de Cuba,Yes!,Yes!,,Yes!,Yes!,Yes!,Yes!,1
"Le Congrès de Paris, 30 mars 1856",Yes!,,Yes!,Yes!,Yes!,Yes!,Yes!,2
La messe en Kabylie,Yes!,,,,Yes!,Yes!,Yes!,1
Carlos II con armadura,Yes!,Yes!,Yes!,Yes!,Yes!,Yes!,,0
Hércules separa los montes Calpe y Abyla,Yes!,Yes!,Yes!,Yes!,Yes!,Yes!,,0
De Vrede maant de kerken tot verdraagzaamheid,Yes!,Yes!,,Yes!,Yes!,Yes!,,0
Las hilanderas (La fábula de Aracne),Already done,Already done,Already done,Already done,Already done,,,1
Retrato de Diego de Covarrubias y Leiva,,Yes,,,Yes,Yes,Yes,0
Le Rêve,Yes!,Yes!,Already done,Yes!,Yes!,Yes!,,0
Les Alliés,Yes!,Yes!,Yes!,,Yes!,Yes!,,0
challenge totals,24,12,9,13,21,22,14,#
,eu,es,fr,ca,gl,ast,oc,#
