col0,col1,col2
Andrew Garfield,Never Let Me Go,Tommy D
Christian Charles Phillip Bale,The Fighter,Dicky Eklund
Tom Hardy,Inception,Eames
Garrett Hedlund,Tron: Legacy,Sam Flynn
John Malkovich,Red,Marvin Boggs
Mark Ruffalo,Shutter Island,Chuck Aule / Dr. Lester Sheehan
Andy Serkis,Rise of the Planet of the Apes,Caesar
Ralph Fiennes,Harry Potter and the Deathly Hallows - Part 2,Lord Voldemort
Harrison Ford,Cowboys & Aliens,Colonel Woodrow Dolarhyde
Tom Hiddleston,Thor,Loki
Alan Rickman,Harry Potter and the Deathly Hallows - Part 2,Severus Snape
Stanley Tucci,Captain America: The First Avenger,Dr. Abraham Erskine
Clark Gregg,The Avengers,Agent Phil Coulson
Javier Bardem,Skyfall,Raoul Silva
Michael Fassbender,Prometheus,David 8
Joseph Gordon-Levitt,The Dark Knight Rises,John Blake
Ian McKellen,The Hobbit: An Unexpected Journey,Gandalf the Grey
Christoph Waltz,Django Unchained,Dr. King Schultz
Ben Kingsley,Iron Man 3,Trevor Slattery
Daniel Brühl,Rush,Niki Lauda
George Clooney,Gravity,Matt Kowalski
Benedict Cumberbatch,Star Trek Into Darkness,John Harrison / Khan
Harrison Ford,Ender's Game,Colonel Hyrum Graff
Tom Hiddleston,Thor: The Dark World,Loki
Bill Nighy,About Time,James Lake
Richard Armitage,The Hobbit: The Battle of the Five Armies,Thorin Oakenshield
Josh Brolin,Inherent Vice,Det. Christian F. Bigfoot Bjornsen
Samuel L. Jackson,Captain America: The Winter Soldier,Nick Fury
Anthony Mackie,Captain America: The Winter Soldier,Sam Wilson / Falcon
Andy Serkis,Dawn of the Planet of the Apes,Caesar
J. K. Simmons,Whiplash,Terence Fletcher
Adam Driver,Star Wars: The Force Awakens,Kylo Ren
Paul Bettany,Avengers: Age of Ultron,J.A.R.V.I.S. and Vision
Michael Douglas,Ant-Man,Hank Pym
Walton Goggins,The Hateful Eight,Sheriff Chris Mannix
Simon Pegg,Mission: Impossible - Rogue Nation,Benji Dunn
Michael Shannon,99 Homes,Rick Carver
John Goodman,10 Cloverfield Lane,Howard Stambler
Chadwick Boseman,Captain America: Civil War,T'Challa / Black Panther
Dan Fogler,Fantastic Beasts and Where to Find Them,Jacob Kowalski
Diego Luna,Rogue One: A Star Wars Story,Cassian Andor
Zachary Quinto,Star Trek Beyond,Commander Spock
Christopher Walken,The Jungle Book,King Louie (voice)
Patrick Stewart,Logan,Charles Xavier / Professor X
Harrison Ford,Blade Runner 2049,Rick Deckard
Michael B. Jordan,Black Panther,N'Jadaka / Erik Killmonger Stevens
Michael Keaton,Spider-Man: Homecoming,Adrian Toomes / Vulture
Chris Pine,Wonder Woman,Steve Trevor
Michael Rooker,Guardians of the Galaxy Vol. 2,Yondu
Bill Skarsgård,It,It / Pennywise the Dancing Clown
Josh Brolin,Avengers: Infinity War,Thanos
John Lithgow,Pet Sematary,Jud Crandall
Lin-Manuel Miranda,Mary Poppins Returns,Jack
Lewis Pullman,Bad Times at the El Royale,Miles Miller
Jeremy Renner,Avengers: Endgame,Clint Barton / Hawkeye
Will Smith,Aladdin,Genie
Steven Yeun,Burning,Ben
Bill Hader,It Chapter Two,Richard Richie Tozier
Adam Driver,Star Wars: The Rise of Skywalker,Kylo Ren
Chris Evans,Knives Out,Hugh Ransom Drysdale
Ian McDiarmid,Star Wars: The Rise of Skywalker,Emperor Palpatine
Robert Pattinson,Tenet,Neil
Donnie Yen,Mulan,Commander Tung
