col0,col1,col2,col3,col4,col5
1908 Jubilee Australasian Football Carnival,New South Wales,New Zealand,Queensland,South Australia Australian rules football,Tasmania
1911 Adelaide Carnival,New South Wales,South Australia,Tasmania,Victoria Australian rules football,Western Australia Australian rules football
1914 Sydney Football Carnival,New South Wales,Queensland,South Australia Australian rules football,Tasmania,Victoria
1921 Perth Football Carnival,South Australia,Victoria,Western Australia Australian rules football,,
1924 Hobart Football Carnival,South Australia,Victoria Australian rules football,Western Australia,,
1927 Melbourne Football Carnival,New South Wales,Queensland,South Australia Australian rules football,Tasmania,Victoria
1930 Adelaide Football Carnival,New South Wales,Queensland,South Australia,Tasmania,Victoria
1933 Sydney Football Carnival,New South Wales,Queensland Australian rules football,South Australia Australian rules football,Tasmania,Victoria Australian rules football
1937 Perth Football Carnival,South Australia Australian rules football,Tasmania,Victoria,Western Australia,
1947 Hobart Football Carnival,Canberra,New South Wales,Queensland,South Australia,Tasmania Australian rules football
1950 Brisbane Football Carnival,Amateurs,Canberra,New South Wales Australian rules football,Queensland Australian rules football,South Australia
1953 Adelaide Football Carnival,South Australia Australian rules football,Tasmania,Victoria (VFA),Victoria (VFL),Western Australia Australian rules football
1956 Perth Football Carnival,South Australia,Tasmania Australian rules football,Victoria (VFA),Victoria Australian rules football,Western Australia Australian rules football
1958 Centenary Carnival,Amateurs,Canberra,New South Wales,Queensland,South Australia Australian rules football
1960 Minor States Carnival,Amateurs,Canberra,New South Wales Australian rules football,Queensland Australian rules football,South Australia Australian rules football
1961 Brisbane Football Carnival,South Australia,Tasmania Australian rules football,Victoria Australian rules football,Western Australia,
1966 Hobart Football Carnival,South Australia,Tasmania Australian rules football,Victoria Australian rules football,Victoria (VFL),Western Australia
1968 Minor States Carnival,Amateurs,Canberra,New South Wales,Queensland Australian rules football,
1969 Adelaide Football Carnival,South Australia,Tasmania Australian rules football,Victoria (VFA),Victoria Australian rules football,Western Australia Australian rules football
1972 Perth Football Carnival,South Australia,Tasmania Australian rules football,Victoria (VFA),Victoria Australian rules football,Western Australia
1974 Minor States Carnival,Amateurs,Canberra,New South Wales Australian rules football,Queensland,
1975 Knockout Football Carnival,South Australia,Tasmania Australian rules football,Victoria,Western Australia Australian rules football,
Australian National Football Carnival Matches played under State of Origin rules,Australian National Football Carnival Matches played under State of Origin rules,Australian National Football Carnival Matches played under State of Origin rules,Australian National Football Carnival Matches played under State of Origin rules,Australian National Football Carnival Matches played under State of Origin rules,Australian National Football Carnival Matches played under State of Origin rules
1979 State of Origin Carnival,Amateurs,Canberra,New South Wales Australian rules football,North. Territory,Queensland
1980 State of Origin Carnival,South Australia,Tasmania,Victoria Australian rules football,Western Australia,
1983 Australian Football Championships,South Australia,Victoria Australian rules football,Western Australia Australian rules football,,
1984 Australian Football Championships,South Australia Australian rules football,Victoria Australian rules football,Western Australia,,
1985 Australian Football Championships,South Australia Australian rules football,Victoria,Western Australia Australian rules football,,
1986 Australian Football Championships,South Australia Australian rules football,Victoria Australian rules football,Western Australia Australian rules football,,
1987 Australian Football Championships,South Australia,Victoria Australian rules football,Western Australia Australian rules football,,
1988 Bicentennial Carnival,Amateurs,Canberra,New South Wales,North. Territory,Queensland Australian rules football
1993 State of Origin Championships,New South Wales/   ACT,Queensland/   North. Territory,South Australia,Tasmania,Victoria
