col0,col1,col2,col3,col4,col5
1832,William Wirt,Anti-Masonic,Fmr. Attorney General,7.8%,Amos Ellmaker
1832,John Floyd,Nullifier,Virginia Governor,0%,Henry Lee
1844,James G. Birney,Liberty,Fmr. state legislator,2.3%,Thomas Morris
"United States presidential election, 1848",Martin Van Buren,Free Soil,Fmr. President,10.1%,Charles F. Adams Sr.
1852,John P. Hale,Free Soilers,Senator,4.9%,George W. Julian
1856,Millard Fillmore,American,Fmr. President,21.5%,Andrew J. Donelson
1860,John C. Breckinridge,Southern Democratic,US Vice President,18.2%,Joseph Lane
1860,John Bell,Constitutional Union,Fmr. Senator,12.6%,Edward Everett
1880,James B. Weaver,Greenback,Representative,3.4%,Barzillai J. Chambers
1884,John St. John,Prohibition,Fmr. Governor,1.5%,William Daniel
1884,Benjamin Butler,Greenback,Fmr. Governor,1.3%,Absolom M. West
1888,Clinton B. Fisk,Prohibition,General,2.2%,John A. Brooks
1888,Alson Streeter,Union Labor,State legislator,1.3%,Charles E. Cunningham
1892,James B. Weaver,Populist,Fmr. Representative,8.5%,James G. Field
1892,John Bidwell,Prohibition,Fmr. Representative,2.2%,James B. Cranfill
1900,John G. Woolley,Prohibition,Attorney,1.5%,Henry B. Metcalf
1904,Eugene V. Debs,Socialist,Fmr. state legislator,3.0%,Ben Hanford
1904,Silas C. Swallow,Prohibition,Minister,1.9%,George W. Carroll
1908,Eugene V. Debs,Socialist,Fmr. state legislator,2.8%,Ben Hanford
1908,Eugene W. Chafin,Prohibition,Attorney,1.7%,Aaron S. Watkins
1912,Theodore Roosevelt,Progressive,Fmr. President,27.4%,Hiram Johnson
1912,Eugene V. Debs,Socialist,Fmr. state legislator,6.0%,Emil Seidel
1912,Eugene W. Chafin,Prohibition,Attorney,1.7%,Aaron S. Watkins
1916,Allan L. Benson,Socialist,Journalist,3.2%,George R. Kirkpatrick
1916,Frank Hanly,Prohibition,Fmr. Governor,1.2%,Ira Landrith
1920,Eugene V. Debs,Socialist,Fmr. state legislator,3.4%,Seymour Stedman
1924,Robert La Follette,Progressive,Senator,16.6%,Burton K. Wheeler
1932,Norman Thomas,Socialist,Minister,2.2%,James H. Maurer
1936,William Lemke,Union,Representative,1.9%,Thomas C. O'Brien
1948,Strom Thurmond,States' Rights,Governor,2.4%,Fielding L. Wright
1948,Henry A. Wallace,Progressive,Fmr. Vice President,2.4%,Glen H. Taylor
1968,George Wallace,American Independent,Fmr. Governor,13.5%,Curtis LeMay
1972,John G. Schmitz,American Independent,Representative,1.4%,Thomas J. Anderson
1980,John B. Anderson,Independent,Representative,6.6%,Patrick Lucey
1980,Ed Clark,Libertarian,Attorney,1.1%,David Koch
1992,Ross Perot,Independent,Businessman,18.9%,James Stockdale
1996,Ross Perot,Reform,Businessman,8.4%,Pat Choate
2000,Ralph Nader,Green,Attorney,2.7%,Winona LaDuke
2016,Gary Johnson,Libertarian,Fmr. Governor,3.3%,William Weld
2016,Jill Stein,Green,Physician,1.1%,Ajamu Baraka
2020,Jo Jorgensen,Libertarian,Professor,1.2%,Spike Cohen
