col0,col1,col2,col3,col4,col5,col6,col7,col8
Maria J. Alves,T12,100m,13.36,11 q,13.21,10,did not advance,did not advance
Maria J. Alves,T12,200m,27.16,11,did not advance,did not advance,did not advance,did not advance
Maria José Alves,T12,400m,1:01.79,6 B,style=text-align:center; colspan=2,DNS,DNS,None
Sheila Finder,T46,200m,28.01,14,did not advance,did not advance,did not advance,did not advance
Terezinha Guilhermina,T11,100m,12.48,2 Q,style=text-align:center; colspan=2,12.40,,None
Terezinha Guilhermina,T11,200m,25.16,1 Q,style=text-align:center; colspan=2,25.14,,None
Terezinha Guilhermina,T12,400m,57.70,3 Q,style=text-align:center; colspan=2,57.02,,None
Sirlene Guilhermino,T12,100m,12.95,5 Q,12.88,6 B,12.95,6
Sirlene Guilhermino,T12,200m,26.57,8 q,26.91,8,did not advance,did not advance
Sirlene Guilhermino,T12,400m,1:02.08,7 B,style=text-align:center; colspan=2,DNS,DNS,None
Indayana Martins,T13,100m,13.68,13,did not advance,did not advance,did not advance,did not advance
Indayana Martins,T13,200m,28.41,11,did not advance,did not advance,did not advance,did not advance
Indayana Martins,T13,400m,1:05.56,10,did not advance,did not advance,did not advance,did not advance
Ádria Santos,T11,100m,13.11,4 Q,style=text-align:center; colspan=2,13.07,,None
Ádria Santos,T11,200m,27.37,7 B,style=text-align:center; colspan=2,28.15,8,None
Jenifer Santos,T38,100m,14.69,6 Q,style=text-align:center; colspan=2,14.31,4,None
Jenifer Santos,T38,200m,31.22,9,did not advance,did not advance,did not advance,did not advance
Jerusa Santos,T11,100m,13.16,7 B,style=text-align:center; colspan=2,12.99,5,None
Jerusa Santos,T11,200m,26.05,3 Q,style=text-align:center; colspan=2,26.09,,None
Fernanda Silva,T46,200m,27.47,13,did not advance,did not advance,did not advance,did not advance
Joana Silva,T13,100m,13.17,11,did not advance,did not advance,did not advance,did not advance
Joana Silva,T13,200m,26.78,8 q,style=text-align:center; colspan=2,26.85,7,None
Joana Silva,T13,400m,1:01.46,8 q,style=text-align:center; colspan=2,1:02.08,7,None
Ana Tércia Soares,T12,100m,13.20,10 q,13.24,11,did not advance,did not advance
Ana Tércia Soares,T12,200m,26.95,10,did not advance,did not advance,did not advance,did not advance
