col0,col1,col2
8 October,Alanis Morissette,Junkie Tour
9 October,Alanis Nadine Morissette,Junkie Tour
2003,2003,2003
7 February,Cliff Richard,Wanted World Tour
20 February,The Rolling Stones,Licks Tour
22 February,The Rolling Stones,Licks Tour
17 May,Kiss,Rock the Nation World Tour
2005,2005,2005
28 April,Destiny's Child,Destiny Fulfilled... and Lovin' It
3 October,Black Eyed Peas,Monkey Business Tour
2006,2006,2006
27 April,Korn,See You on the Other Side World Tour
7 November,Pearl Jam,2006 World Tour
8 November,Pearl Jam,2006 World Tour
18 November,Pearl Jam,2006 World Tour
23 November,Kylie Minogue,Showgirl: The Homecoming Tour
24 November,Kylie Minogue,Showgirl: The Homecoming Tour
26 November,Kylie Minogue,Showgirl: The Homecoming Tour
2007,2007,2007
25 January,Roger Waters,The Dark Side of the Moon Live
27 February,Westlife,The Love Tour
16 April,Red Hot Chili Peppers,Stadium Arcadium World Tour
17 April,Red Hot Chili Peppers,Stadium Arcadium World Tour
19 April,Red Hot Chili Peppers,Stadium Arcadium World Tour
21 April,Beyoncé,The Beyonce Experience
15 June,Guns N' Roses,Chinese Democracy Tour
16 June,Guns N' Roses,Chinese Democracy Tour
24 July,Christina Aguilera,Back to Basics Tour
25 July,Christina Aguilera,Back to Basics Tour
7 September,Snow Patrol,Eyes Open Tour
8 September,Powderfinger   Silverchair,Across the Great Divide tour
9 September,Powderfinger   Silverchair,Across the Great Divide tour
31 October,Justin Timberlake,FutureSex/LoveShow
1 November,Justin Timberlake,FutureSex/LoveShow
2008,2008,2008
9 February,Iron Maiden,Somewhere Back in Time World Tour
10 February,Iron Maiden,Somewhere Back in Time World Tour
22 February,Backstreet Boys,Unbreakable Tour
20 March,Kiss,Alive 35 World Tour
4 April,Maroon 5,It Won't Be Soon Before Long Tour
5 April,Celine Dion,Taking Chances World Tour
6 April,Celine Dion,Taking Chances World Tour
12 September,Judas Priest,2008 - 2009 World Tour
26 October,Slipknot,All Hope Is Gone World Tour
7 November,Rihanna,Good Girl Gone Bad Tour
8 November,Rihanna,Good Girl Gone Bad Tour
9 November,Rihanna,Good Girl Gone Bad Tour
6 December,Kanye West,Glow in the Dark Tour
12 December,Alicia Keys,As I Am Tour
14 December,Kylie Minogue,KylieX2008
16 December,Kylie Minogue,KylieX2008
17 December,Kylie Minogue,KylieX2008
2009,2009,2009
11 March,Coldplay,Viva la Vida Tour
12 March,Coldplay,Viva la Vida Tour
14 March,Coldplay,Viva la Vida Tour
15 March,Coldplay,Viva la Vida Tour
22 May,The Pussycat Dolls,Doll Domination Tour
23 May,The Pussycat Dolls,Doll Domination Tour
9 July,Jay Chou,2007 the World Tours
18 September,Beyoncé,I Am... World Tour
19 September,Beyoncé,I Am... World Tour
2 October,Black Eyed Peas,The E.N.D. World Tour
3 October,Black Eyed Peas,The E.N.D. World Tour
13 November,Nickelback,Dark Horse Tour
14 November,Nickelback,Dark Horse Tour
16 November,Britney Spears,Circus Tour
17 November,Britney Spears,Circus Tour
19 November,Britney Spears,Circus Tour
20 November,Britney Spears,Circus Tour
2010,2010,2010
24 February,Whitney Houston,Nothing but Love World Tour
17 April,Kelly Clarkson,All I Ever Wanted Tour
18 September,Metallica,World Magnetic Tour
8 November,Leonard Cohen,2008 - 2010 World Tour
9 November,Leonard Cohen,2008 - 2010 World Tour
20 November,Flo Rida   Jay Sean   Ciara   Ja Rule   Travie McCoy,Summerbeatz
6 December,Eagles,Long Road Out of Eden Tour
7 December,Eagles,Long Road Out of Eden Tour
9 December,Muse,Resistance Tour
10 December,Muse,Resistance Tour
11 December,Linkin Park,A Thousand Suns World Tour
15 December,Linkin Park,A Thousand Suns World Tour
