col0,col1,col2,col3
Berkovići,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Bijeljina,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Bileća,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Kostajnica,Serb Democratic Party,Serb Democratic Party,Party of Democratic Progress
Brod,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Bratunac,Serb Democratic Party,Serb Democratic Party,Coalition SDA-SBB
Čajniče,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Čelinac,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Derventa,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Doboj,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Donji Žabar,Serb Democratic Party,Serb Radical Party,Serb Democratic Party
Foča,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Gacko,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Banja Luka,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Gradiška,Serb Democratic Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Han Pijesak,Serb Democratic Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Istočni Drvar,Independent,Independent,Alliance of Independent Social Democrats
Istočna Ilidža,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Istočni Mostar,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Istočni Stari Grad,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Istočno Novo Sarajevo,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Jezero,Progressive Srpska Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Kalinovik,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Kneževo,Independent,Independent,Alliance of Independent Social Democrats
Kozarska Dubica,Democratic People's Alliance,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Kotor Varoš,Alliance of Independent Social Democrats,Party of Democratic Progress,Serb Democratic Party
Krupa na Uni,Serb Democratic Party,Democratic People's Alliance,Democratic People's Alliance
Kupres,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Laktaši,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Ljubinje,Serb Democratic Party,Democratic People's Alliance,Serb Democratic Party
Lopare,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Milići,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Modriča,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Mrkonjić Grad,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Nevesinje,Serb Democratic Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Novi Grad,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Novo Goražde,Serb Democratic Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Osmaci,Serb Democratic Party,Serb Democratic Party,Alliance of Independent Social Democrats
Oštra Luka,Democratic People's Alliance,Democratic People's Alliance,Alliance of Independent Social Democrats
Pale,Serb Democratic Party,Coalition United for Pale,Alliance of Independent Social Democrats
Pelagićevo,Independent,Socialist Party,Croatian Democratic Union 1990
Petrovac,Independent,Democratic People's Alliance,Democratic People's Alliance
Petrovo,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Prijedor,Democratic People's Alliance,Democratic People's Alliance,Democratic People's Alliance
Prnjavor,Serb Democratic Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Ribnik,Democratic People's Alliance,Socialist Party,Alliance of Independent Social Democrats
Rogatica,Serb Democratic Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Rudo,Serbian Radical Party of Republika Srpska,Serbian Radical Party of Republika Srpska,Alliance of Independent Social Democrats
Šamac,Alliance of Independent Social Democrats,National Democratic Movement,Alliance of Independent Social Democrats
Šekovići,Serb Democratic Party,Socialist Party,Party of Democratic Progress
Šipovo,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Sokolac,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Srbac,Socialist Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Srebrenica,Independent,Coalition Together for Srebrenica,Coalition SDA-SBB-SBiH
Stanari,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Teslić,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Trebinje,Party of Democratic Progress,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Trnovo,Serb Democratic Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Ugljevik,Serb Democratic Party,Serb Democratic Party,Serb Democratic Party
Višegrad,Serb Democratic Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Vlasenica,Serb Democratic Party,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
Vukosavlje,Party of Democratic Action,Socialist Party,Coalition SDA-SBB
Zvornik,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats,Alliance of Independent Social Democrats
