col0,col1,col2,col3,col4,col5
24 December 1740,Denbighshire,u,Sir Watkin Williams-Wynn,Sir Watkin Williams-Wynn,Steward of Bromfield and Yale
27 December 1740,Malmesbury,u,William Rawlinson Earle,William Rawlinson Earle,Clerk of the Ordnance
27 November 1740,Dartmouth,u,George Treby,George Treby,Junior Lord of the Treasury
2 May 1740,Wilton,u,William Herbert,William Herbert,Groom of the Bedchamber
28 April 1740,New Windsor,u,Rt. Hon. Lord Sydney Beauclerk,Lord Sidney Beauclerk,Vice-Chamberlain of the Household
10 April 1740,Brecon,c,John Talbot,John Talbot,Puisne Justice of Chester
3 January 1740,Monmouthshire,u,Charles Hanbury Williams,Charles Hanbury Williams,Paymaster of the Marines
28 May 1739,New Shoreham,c,John Phillipson,John Phillipson,Commissioner of the Navy
2 June 1738,Bury St Edmunds,u,Thomas Hervey,Thomas Hervey,Surveyor of the King's Gardens
29 May 1738,Helston,u,John Harris,John Harris,Paymaster of the Board of Works
25 May 1738,Dartmouth,u,Walter Carey,Walter Carey,Second Clerk Comptroller of the Green Cloth
22 May 1738,Seaford,u,William Hay,William Hay,Victualling Commissioner
17 May 1738,Kingston upon Hull,u,George Crowle,George Crowle,Commissioner of the Navy
10 March 1738,New Windsor,c,Lord Vere Beauclerk,Lord Vere Beauclerk,Naval Lord (Two MPs elected due to a Double Return)
10 March 1738,New Windsor,c,Lord Vere Beauclerk,Richard Oldfield,Naval Lord (Two MPs elected due to a Double Return)
10 March 1738,New Windsor,c,Lord Vere Beauclerk,Lord Vere Beauclerk,Beauclerk declared elected 27 March 1738
10 March 1738,New Windsor,c,Richard Oldfield,Lord Vere Beauclerk,Beauclerk declared elected 27 March 1738
13 February 1738,Stamford,u,William Noel,William Noel,King's Counsel
1 February 1738,Ripon,u,William Aislabie,William Aislabie,Auditor of the Imprest
4 August 1737,Dumfriesshire,u,Charles Erskine,Charles Erskine,Lord Advocate
7 July 1737,Knaresborough,u,Richard Arundell,Richard Arundell,Master of the Mint
7 July 1737,Northumberland,u,Ralph Jenison,Ralph Jenison,Master of the Buckhounds
1 July 1737,Hythe,u,William Glanville,William Glanville,Irish Revenue Commissioner
30 June 1737,Wilton,u,Robert Sawyer Herbert,Robert Sawyer Herbert,Lord of Trade
28 June 1737,Malmesbury,u,Giles Earle,Giles Earle,Junior Lord of the Treasury
27 June 1737,Newport (I.o.W.),u,The Viscount Boyne,The Viscount Boyne,Irish Revenue Commissioner
27 June 1737,Whitchurch,u,John Mordaunt,John Mordaunt,Equerry to the King
22 June 1737,Chippenham,c,Rogers Holland,Edward Bayntun Rolt,Chief Justice of the North Wales Circuit
22 June 1737,Hindon,u,Henry Fox,Henry Fox,Surveyor-General of Works
10 February 1737,Tiverton,u,Dudley Ryder,Dudley Ryder,Attorney General for England and Wales
22 June 1736,Pembrokeshire,u,John Campbell,John Campbell,Lord of the Admiralty
28 May 1736,Droitwich,u,Thomas Winnington,Thomas Winnington,Junior Lord of the Treasury
5 April 1736,Hythe,u,Hercules Baker,Hercules Baker,Treasurer of Greenwich Hospital
24 February 1736,Dorchester,u,John Browne,John Browne,King's Counsel
27 May 1735,St Mawes,u,Richard Plumer,Richard Plumer,Lord of Trade
21 May 1735,Reading,u,Richard Potenger,Richard Potenger,Puisne Justice of Chester
20 May 1735,Wendover,u,John Hampden,John Hampden,Commissary General for Gibraltar
20 May 1735,Horsham,u,Henry Ingram,Henry Ingram,Commissary General of Stores for Minorca
17 May 1735,Honiton,u,Sir William Yonge,Sir William Yonge,Secretary at War
9 April 1735,Hastings,u,Sir William Ashburnham,Sir William Ashburnham,Receiver of Fines in the Alienation Office
27 February 1735,Aldeburgh,u,George Purvis,George Purvis,Commissioner of the Navy
