col0,col1,col2,col3
2010,Melissa Chessington Leo,The Fighter,Alice Eklund
2010,Amy Adams,The Fighter,Charlene Fleming
2010,Helena Bonham-Carter,The King's Speech,Queen Elizabeth
2010,Hailee Steinfeld,True Grit,Mattalyn Mattie Ross
2010,Jacki Weaver,Animal Kingdom,Janine Smurf Cody
2011,Octavia Spencer,The Help,Minny Jackson
2011,Bérénice Bejo,The Artist,Peppy Miller
2011,Melissa McCarthy,Bridesmaids,Megan Price
2011,Carey Mulligan,Shame,Sissy Sullivan
2011,Shailene Woodley,The Descendants,Alexandra Alex King
2012,Anne Hathaway,Les Misérables,Fantine
2012,Amy Adams,The Master,Peggy Dodd
2012,Samantha Barks,Les Misérables,Éponine
2012,Sally Field,Lincoln,Mary Todd Lincoln
2012,Helen Hunt,The Sessions,Cheryl Cohen-Greene
2013,Lupita Nyong'o,12 Years a Slave,Patsey
2013,Scarlett Johansson,Her,Samantha
2013,Jennifer Lawrence,American Hustle,Rosalyn Rosenfeld
2013,Octavia Spencer,Fruitvale Station,Wanda Johnson
2013,June Squibb,Nebraska,Kate Grant
2014,Patricia Arquette,Boyhood,Olivia Evans
2014,Jessica Chastain,A Most Violent Year,Anna Morales
2014,Laura Dern,Wild,Bobbi Grey
2014,Emma Stone,Birdman,Sam Thomson
2014,Tilda Swinton,Snowpiercer,Deputy-Minister Mason
2015,Alicia Vikander,Ex Machina,Ava
2015,Jennifer Jason Leigh,The Hateful Eight,Daisy Domergue
2015,Rooney Mara,Carol,Therese Belivet
2015,Alicia Vikander,The Danish Girl,Gerda Wegener
2015,Kate Winslet,Steve Jobs,Joanna Hoffman
2016,Viola Davis,Fences,Rose Maxson
2016,Greta Gerwig,20th Century Women,Abbie
2016,Naomie Harris,Moonlight,Paula
2016,Molly Shannon,Other People,Joanne Mayer
2016,Michelle Williams,Manchester by the Sea,Randi Chandler
2017,Laurie Metcalf,Lady Bird,Marion McPherson
2017,Mary J. Blige,Mudbound,Florence Jackson
2017,Tiffany Haddish,Girls Trip,Dina
2017,Holly Hunter,The Big Sick,Beth Gardner
2017,Allison Janney,"I, Tonya",LaVona Golden
2018,Regina King,If Beale Street Could Talk,Sharon Rivers
2018,Cynthia Erivo,Bad Times at the El Royale,Darlene Sweet
2018,Nicole Kidman,Boy Erased,Nancy Eamons
2018,Emma Stone,The Favourite,Abigail Masham
2018,Rachel Weisz,The Favourite,Sarah Churchill
2019,Jennifer Lopez,Hustlers,Ramona Vega
2019,Laura Dern,Marriage Story,Nora Fanshaw
2019,Scarlett Johansson,Jojo Rabbit,Rosie Betzler
2019,Florence Pugh,Little Women,Amy March
2019,Zhao Shuzhen,The Farewell,Nai Nai
